,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
0,1,1,Sung Kang,63,75.6,1134,15
1,2,2,Bobby Gates,82,86.8,1476,17
2,3,3,Bubba Watson,85,94.8,1422,15
3,4,4,Derek Lamely,65,97.5,1170,12
4,5,5,Will Strickler,51,102.0,918,9
5,6,6,Ángel Cabrera,50,112.5,900,8
6,7,7,Greg Chalmers,88,113.1,1584,14
7,8,8,Scott McCarron,65,117.0,1170,10
8,9,9,Kyle Stanley,98,117.6,1764,15
9,10,10,Rickie Fowler,84,121.5,1458,12
10,11,11,Sergio Garcia,61,122.0,1098,9
11,T12,T12,Andres Romero,77,126.0,1386,11
12,T12,T12,D.J. Trahan,91,126.0,1638,13
13,14,14,Chris Couch,73,131.4,1314,10
14,15,15,Nate Smith,66,132.0,1188,9
15,16,16,Lucas Glover,74,133.2,1332,10
16,17,17,Bo Van Pelt,92,135.0,1620,12
17,18,18,Webb Simpson,98,135.7,1764,13
18,19,19,Steve Marino,76,136.8,1368,10
19,20,20,George McNeill,69,138.0,1242,9
20,T21,T21,John Rollins,85,139.1,1530,11
21,T21,T21,Brandt Snedeker,85,139.1,1530,11
22,23,23,Kevin Chappell,78,140.4,1404,10
23,24,24,Kevin Stadler,88,144.0,1584,11
24,T25,T25,D.A. Points,89,145.6,1602,11
25,T25,T25,Brendan Steele,89,145.6,1602,11
26,27,27,Michael Bradley,74,148.0,1332,9
27,T28,T28,Joe Ogilvie,75,150.0,1350,9
28,T28,T28,Daniel Summerhays,75,150.0,1350,9
29,T30,T30,Robert Karlsson,61,151.7,1062,7
30,T30,T30,Adam Scott,60,151.7,1062,7
31,32,32,Martin Laird,77,152.0,1368,9
32,33,33,Nick Watney,80,154.0,1386,9
33,34,34,Steven Bowditch,86,154.8,1548,10
34,T35,T35,Ricky Barnes,78,156.0,1404,9
35,T35,T35,Scott Piercy,78,156.0,1404,9
36,T35,T35,Josh Teater,104,156.0,1872,12
37,38,38,Tag Ridings,87,156.6,1566,10
38,39,39,Jimmy Walker,79,158.0,1422,9
39,40,40,J.B. Holmes,57,159.0,954,6
40,41,41,Lee Janzen,62,159.4,1116,7
41,42,42,Dustin Johnson,72,159.8,1278,8
42,43,43,Hunter Mahan,92,160.2,1602,10
43,44,44,Troy Merritt,63,162.0,1134,7
44,T45,T45,Keegan Bradley,91,163.8,1638,10
45,T45,T45,Troy Matteson,91,163.8,1638,10
46,47,47,Charley Hoffman,93,165.6,1656,10
47,48,48,Jarrod Lyle,83,166.0,1494,9
48,49,49,Ben Martin,74,166.5,1332,8
49,50,50,Gary Woodland,93,167.4,1674,10
50,T51,T51,Matt Bettencourt,84,168.0,1512,9
51,T51,T51,Fabián Gómez,84,168.0,1512,9
52,T53,T53,Billy Mayfair,94,169.2,1692,10
53,T53,T53,Graeme McDowell,50,169.2,846,5
54,55,55,Zack Miller,86,172.0,1548,9
55,56,56,Scott Gutschewski,67,172.3,1206,7
56,T57,T57,Phil Mickelson,79,173.3,1386,8
57,T57,T57,Justin Rose,79,173.3,1386,8
58,T59,T59,Zach Johnson,79,175.5,1404,8
59,T59,T59,David Toms,78,175.5,1404,8
60,61,61,Chris Stroud,88,176.0,1584,9
61,62,62,Kevin Kisner,70,180.0,1260,7
62,63,63,Jeff Overton,92,182.0,1638,9
63,64,64,John Merrick,71,182.6,1278,7
64,T65,T65,Kris Blanks,92,184.0,1656,9
65,T65,T65,Bill Haas,93,184.0,1656,9
66,67,67,Jonathan Byrd,83,184.5,1476,8
67,68,68,Shane Bertsch,62,186.0,1116,6
68,69,69,Robert Garrigus,83,186.8,1494,8
69,70,70,Carl Pettersson,95,190.0,1710,9
70,71,71,Jason Bohn,74,190.3,1332,7
71,72,72,Boo Weekley,66,198.0,1188,6
72,73,73,D.J. Brigman,67,201.0,1206,6
73,74,74,Camilo Villegas,69,204.0,1224,6
74,75,75,Steve Stricker,70,207.0,1242,6
75,76,76,Sean O'Hair,71,210.0,1260,6
76,77,77,John Senden,94,211.5,1692,8
77,T78,T78,Alex Cejka,59,212.4,1062,5
78,T78,T78,Matt McQuillan,59,212.4,1062,5
79,T80,T80,Andres Gonzales,60,216.0,1080,5
80,T80,T80,Charles Howell III,108,216.0,1944,9
81,T80,T80,Kevin Na,84,216.0,1512,7
82,T80,T80,Jhonattan Vegas,84,216.0,1512,7
