,Reverse_Bounce_Back_RANK THIS WEEK,Reverse_Bounce_Back_RANK LAST WEEK,Reverse_Bounce_Back_PLAYER NAME,Reverse_Bounce_Back_ROUNDS,Reverse_Bounce_Back_% UNDER THEN OVER PAR,Reverse_Bounce_Back_TOTAL UNDER THEN OVER PAR,Reverse_Bounce_Back_UNDER PAR
0,1,1,Steve Elkington,50,10.27,15,146
1,2,2,Jerry Kelly,85,10.74,29,270
2,T3,T3,Bryce Molder,82,11.11,33,297
3,T3,T3,David Toms,78,11.11,33,297
4,5,5,Alexandre Rocha,65,11.28,22,195
5,T6,T6,Luke Donald,73,11.36,31,273
6,T6,T6,Charles Howell III,108,11.36,41,361
7,8,8,Steve Stricker,70,11.7,33,282
8,9,9,Brandt Jobe,100,11.86,42,354
9,10,10,William McGirt,103,12.0,39,325
10,11,11,J.J. Henry,96,12.05,37,307
11,12,12,Bill Haas,93,12.08,40,331
12,T13,T13,Rory Sabbatini,85,12.38,38,307
13,T13,T13,Webb Simpson,98,12.38,51,412
14,15,15,Vaughn Taylor,89,12.42,38,306
15,16,16,Hunter Haas,96,12.46,42,337
16,17,17,Shane Bertsch,62,12.5,27,216
17,18,18,Ian Poulter,52,12.64,22,174
18,19,19,Heath Slocum,89,12.71,37,291
19,20,20,Spencer Levin,113,12.85,50,389
20,21,21,Brian Gay,90,12.93,41,317
21,22,22,Kevin Chappell,78,12.94,33,255
22,T23,T23,Jason Dufner,78,12.95,36,278
23,T23,T23,Jim Furyk,87,12.95,36,278
24,25,25,Brian Davis,105,13.03,49,376
25,26,26,Carl Pettersson,95,13.29,46,346
26,27,27,Johnson Wagner,81,13.33,34,255
27,28,28,Sergio Garcia,61,13.37,27,202
28,29,29,Blake Adams,116,13.38,55,411
29,30,30,John Rollins,85,13.42,40,298
30,31,31,Chez Reavie,92,13.47,45,334
31,32,32,Ryuji Imada,83,13.55,37,273
32,33,33,Justin Rose,79,13.6,37,272
33,T34,T34,Michael Thompson,79,13.64,36,264
34,T34,T34,Y.E. Yang,63,13.64,27,198
35,36,36,Zach Johnson,79,13.65,37,271
36,37,37,David Hearn,88,13.75,40,291
37,38,38,Nick Watney,80,13.77,42,305
38,39,39,Robert Allenby,84,13.78,39,283
39,40,40,Martin Laird,77,13.88,39,281
40,41,41,Freddie Jacobson,92,13.89,45,324
41,42,42,Jason Day,76,13.92,38,273
42,43,43,Ricky Barnes,78,13.94,35,251
43,44,44,Joe Durant,71,14.01,29,207
44,45,45,Billy Mayfair,94,14.15,46,325
45,46,46,Chris Couch,73,14.18,39,275
46,47,47,Chris DiMarco,93,14.29,43,301
47,48,48,Anthony Kim,72,14.34,35,244
48,49,49,Bo Van Pelt,92,14.38,45,313
49,50,50,Troy Merritt,63,14.44,26,180
50,51,51,Stewart Cink,72,14.52,35,241
51,52,52,D.A. Points,89,14.6,46,315
52,53,53,Tommy Gainey,104,14.63,55,376
53,54,54,Mark Wilson,89,14.64,41,280
54,55,55,Kevin Streelman,90,14.77,44,298
55,T56,T56,Chris Riley,76,14.78,34,230
56,T56,T56,Nate Smith,66,14.78,30,203
57,58,58,Jason Bohn,74,14.79,38,257
58,59,59,Brandt Snedeker,85,14.84,46,310
59,60,60,Michael Putnam,67,14.85,30,202
60,61,61,Matt Kuchar,94,14.97,50,334
61,62,62,Chad Campbell,99,15.02,50,333
62,63,63,Dean Wilson,62,15.03,29,193
63,64,64,Tom Gillis,55,15.2,26,171
64,65,65,Charlie Wi,83,15.22,44,289
65,66,66,Alex Cejka,59,15.23,30,197
66,67,67,D.J. Trahan,91,15.38,46,299
67,68,68,Gary Woodland,93,15.47,56,362
68,69,69,Josh Teater,104,15.49,57,368
69,70,70,Rod Pampling,72,15.55,37,238
70,71,71,Steve Marino,76,15.58,43,276
71,72,72,Matt Bettencourt,84,15.6,44,282
72,73,73,Ben Martin,74,15.65,41,262
73,74,74,John Senden,94,15.68,53,338
74,T75,T75,Arjun Atwal,91,15.69,48,306
75,T75,T75,Billy Horschel,75,15.69,40,255
76,77,77,Kris Blanks,92,15.71,49,312
77,78,78,Cameron Tringale,110,15.72,58,369
78,79,79,Rickie Fowler,84,15.76,52,330
79,80,80,David Mathis,83,15.81,43,272
80,81,81,Michael Bradley,74,15.94,40,251
81,82,82,Adam Scott,60,15.96,34,213
82,T83,T83,J.P. Hayes,56,15.98,27,169
83,T83,T83,John Merrick,71,15.98,39,244
84,85,85,Paul Stankowski,78,16.09,42,261
85,T86,T86,Ben Curtis,66,16.1,33,205
86,T86,T86,Hunter Mahan,92,16.1,57,354
87,88,88,Trevor Immelman,84,16.15,42,260
88,89,89,Nick O'Hern,89,16.16,48,297
89,90,90,Brendon de Jonge,105,16.19,62,383
90,91,91,Briny Baird,60,16.26,33,203
91,92,92,Robert Karlsson,61,16.27,34,209
92,93,93,Joseph Bramlett,73,16.31,38,233
93,94,94,Padraig Harrington,60,16.33,32,196
94,95,95,Davis Love III,70,16.37,37,226
95,96,96,Bubba Watson,85,16.45,50,304
96,97,97,Troy Matteson,91,16.46,53,322
97,98,98,Ben Crane,76,16.47,41,249
98,T99,T99,Tim Herron,85,16.55,48,290
99,T99,T99,Scott Piercy,78,16.55,47,284
100,101,101,Daniel Summerhays,75,16.58,33,199
101,102,102,Pat Perez,76,16.61,46,277
102,103,103,Chris Stroud,88,16.67,50,300
103,104,104,Jonathan Byrd,83,16.73,47,281
104,105,105,Andres Gonzales,60,16.75,33,197
105,106,106,Greg Chalmers,88,16.84,49,291
106,107,107,James Driscoll,71,16.94,42,248
107,108,108,Charley Hoffman,93,16.95,60,354
108,109,109,Brendan Steele,89,17.05,52,305
109,110,110,Phil Mickelson,79,17.06,50,293
110,111,111,Stephen Ames,69,17.19,38,221
111,112,112,Bobby Gates,82,17.22,47,273
112,113,113,Ryan Moore,79,17.24,45,261
113,114,114,K.J. Choi,77,17.27,43,249
114,115,115,Keegan Bradley,91,17.28,56,324
115,116,116,Marc Leishman,87,17.3,50,289
116,T117,T117,Shaun Micheel,77,17.35,38,219
117,T117,T117,Charl Schwartzel,58,17.35,34,196
118,119,119,Scott Stallings,84,17.36,50,288
119,T120,T120,Graeme McDowell,50,17.37,29,167
120,T120,T120,Garrett Willis,71,17.37,41,236
121,122,122,George McNeill,69,17.41,43,247
122,123,123,Ernie Els,71,17.43,38,218
123,124,124,Sung Kang,63,17.48,36,206
124,125,125,Jim Herman,69,17.51,38,217
125,T126,T126,Steve Flesch,88,17.57,52,296
126,T126,T126,Robert Garrigus,83,17.57,55,313
127,128,128,Roland Thatcher,67,17.62,37,210
128,129,129,Michael Connell,76,17.65,39,221
129,130,130,Stuart Appleby,65,17.73,36,203
130,131,131,Cameron Beckman,71,17.81,44,247
131,T132,T132,Zack Miller,86,17.83,51,286
132,T132,T132,Kevin Na,84,17.83,56,314
