,Par_Breakers_RANK THIS WEEK,Par_Breakers_RANK LAST WEEK,Par_Breakers_PLAYER NAME,Par_Breakers_ROUNDS,Par_Breakers_%,Par_Breakers_# BIRDIES/EAGLES,Par_Breakers_# HOLES
0,1,1,Webb Simpson,98,24.26,428,1764
1,2,2,Steve Stricker,70,24.24,301,1242
2,3,3,Dustin Johnson,72,23.94,306,1278
3,4,4,Luke Donald,73,23.8,287,1206
4,5,5,Rickie Fowler,84,23.53,343,1458
5,6,6,Nick Watney,80,23.45,325,1386
6,7,7,J.B. Holmes,57,23.27,222,954
7,8,8,Hunter Mahan,92,23.16,371,1602
8,9,9,Aaron Baddeley,77,23.09,320,1386
9,10,10,Kyle Stanley,98,23.07,407,1764
10,11,11,Charley Hoffman,93,22.83,378,1656
11,12,12,Bubba Watson,85,22.78,324,1422
12,13,13,Jason Day,76,22.75,299,1314
13,14,14,Andres Romero,77,22.73,315,1386
14,15,15,Gary Woodland,93,22.58,378,1674
15,16,16,David Toms,78,22.44,315,1404
16,17,17,Matt Kuchar,94,22.22,352,1584
17,18,18,Martin Laird,77,22.08,302,1368
18,19,19,Robert Garrigus,83,22.02,329,1494
19,20,20,Phil Mickelson,79,22.01,305,1386
20,21,21,Steven Bowditch,86,21.96,340,1548
21,22,22,Chris Couch,73,21.92,288,1314
22,23,23,Ángel Cabrera,50,21.78,196,900
23,24,24,Kevin Na,84,21.76,329,1512
24,25,25,Adam Scott,60,21.75,231,1062
25,26,26,Brandt Snedeker,85,21.7,332,1530
26,27,27,Jhonattan Vegas,84,21.69,328,1512
27,28,28,Chris Kirk,87,21.52,337,1566
28,29,29,Steve Marino,76,21.49,294,1368
29,30,30,Chez Reavie,92,21.44,355,1656
30,31,31,Brendon de Jonge,105,21.43,405,1890
31,32,32,Pat Perez,76,21.42,293,1368
32,33,33,Carl Pettersson,95,21.4,366,1710
33,T34,T34,Geoff Ogilvy,69,21.38,254,1188
34,T34,T34,Boo Weekley,66,21.38,254,1188
35,T36,T36,Tommy Gainey,104,21.37,400,1872
36,T36,T36,Scott Piercy,78,21.37,300,1404
37,T38,T38,Brandt Jobe,100,21.28,383,1800
38,T38,T38,John Senden,94,21.28,360,1692
39,40,40,Freddie Jacobson,92,21.2,351,1656
40,41,41,Bill Haas,93,21.14,350,1656
41,42,42,Keegan Bradley,91,21.12,346,1638
42,43,43,Rory Sabbatini,85,21.11,323,1530
43,44,44,Kevin Stadler,88,21.09,334,1584
44,45,45,Justin Rose,79,21.07,292,1386
45,46,46,Vijay Singh,79,21.03,299,1422
46,T47,T47,Blake Adams,116,21.02,439,2088
47,T47,T47,Lucas Glover,74,21.02,280,1332
48,49,49,Brian Davis,105,21.01,397,1890
49,50,50,Bryce Molder,82,21.0,310,1476
50,51,51,Lee Janzen,62,20.88,233,1116
51,52,52,D.A. Points,89,20.85,334,1602
52,53,53,Jason Dufner,78,20.8,292,1404
53,T54,T54,John Rollins,85,20.78,318,1530
54,T54,T54,Josh Teater,104,20.78,389,1872
55,T56,T56,Bill Lunde,92,20.77,344,1656
56,T56,T56,George McNeill,69,20.77,258,1242
57,58,58,Retief Goosen,50,20.75,183,882
58,59,59,Hunter Haas,96,20.72,358,1728
59,T60,T60,Graeme McDowell,50,20.69,175,846
60,T60,T60,Aron Price,58,20.69,216,1044
61,62,62,John Merrick,71,20.66,264,1278
62,63,63,Ben Martin,74,20.65,275,1332
63,64,64,Troy Matteson,91,20.63,338,1638
64,65,65,Bo Van Pelt,92,20.62,334,1620
65,66,66,Stewart Cink,72,20.56,259,1260
66,67,67,Charlie Wi,83,20.55,307,1494
