,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
0,1,1,Blake Adams,116,433
1,2,2,Webb Simpson,98,415
2,3,3,Spencer Levin,113,405
3,4,4,Brendon de Jonge,105,397
4,5,5,Tommy Gainey,104,393
5,T6,T6,Brian Davis,105,392
6,T6,T6,Kyle Stanley,98,392
7,8,8,Cameron Tringale,110,381
8,9,9,Brandt Jobe,100,378
9,10,10,Josh Teater,104,377
10,11,11,Charles Howell III,108,375
11,T12,T12,Charley Hoffman,93,368
12,T12,T12,Gary Woodland,93,368
13,14,14,Hunter Mahan,92,361
14,15,15,Carl Pettersson,95,357
15,16,16,Hunter Haas,96,354
16,17,17,John Senden,94,352
17,18,18,Chez Reavie,92,349
18,19,19,Matt Kuchar,94,347
19,T20,T20,Chad Campbell,99,346
20,T20,T20,Freddie Jacobson,92,346
21,22,22,William McGirt,103,343
22,23,23,Bill Haas,93,341
23,24,24,Bill Lunde,92,339
24,25,25,Billy Mayfair,94,337
25,26,26,Keegan Bradley,91,336
26,27,27,Rickie Fowler,84,331
27,T28,T28,Steven Bowditch,86,330
28,T28,T28,Chris Kirk,87,330
29,T30,T30,Brian Gay,90,328
30,T30,T30,Troy Matteson,91,328
31,T32,T32,D.A. Points,89,323
32,T32,T32,Kevin Stadler,88,323
33,T34,T34,Arjun Atwal,91,322
34,T34,T34,Kevin Na,84,322
35,T34,T34,Bo Van Pelt,92,322
36,T37,T37,Robert Garrigus,83,321
37,T37,T37,Brandt Snedeker,85,321
38,T37,T37,Jhonattan Vegas,84,321
39,40,40,Rory Sabbatini,85,320
40,41,41,Jeff Overton,92,318
41,T42,T42,J.J. Henry,96,316
42,T42,T42,Nick Watney,80,316
43,44,44,Kris Blanks,92,315
44,T45,T45,Aaron Baddeley,77,314
45,T45,T45,Chris DiMarco,93,314
46,T45,T45,Brendan Steele,89,314
47,48,48,Kevin Streelman,90,313
48,49,49,Steve Flesch,88,311
49,50,50,Vaughn Taylor,89,310
50,T51,T51,Chris Stroud,88,309
51,T51,T51,Bubba Watson,85,309
52,53,53,Bryce Molder,82,308
53,T54,T54,Nick O'Hern,89,307
54,T54,T54,John Rollins,85,307
55,T54,T54,David Toms,78,307
56,T57,T57,Andres Romero,77,304
57,T57,T57,Charlie Wi,83,304
58,59,59,D.J. Trahan,91,303
59,T60,T60,Tim Herron,85,302
60,T60,T60,Marc Leishman,87,302
61,62,62,Heath Slocum,89,299
62,T63,T63,Dustin Johnson,72,298
63,T63,T63,Tim Petrovic,88,298
64,T65,T65,Fabián Gómez,84,297
65,T65,T65,David Hearn,88,297
66,T65,T65,Phil Mickelson,79,297
67,T68,T68,Vijay Singh,79,295
68,T68,T68,Scott Stallings,84,295
69,T68,T68,Steve Stricker,70,295
70,T71,T71,Jason Day,76,293
71,T71,T71,Martin Laird,77,293
72,T71,T71,Mark Wilson,89,293
73,74,74,Ryan Palmer,82,292
74,T75,T75,Jonathan Byrd,83,291
75,T75,T75,Scott Piercy,78,291
76,77,77,Robert Allenby,84,290
77,78,78,Matt Bettencourt,84,289
78,79,79,Tag Ridings,87,288
79,T80,T80,Greg Chalmers,88,287
80,T80,T80,Jason Dufner,78,287
81,T80,T80,Pat Perez,76,287
82,T83,T83,Jim Furyk,87,285
83,T83,T83,Ryuji Imada,83,285
84,T83,T83,David Mathis,83,285
85,T83,T83,Zack Miller,86,285
86,T87,T87,Luke Donald,73,284
87,T87,T87,Jerry Kelly,85,284
88,T87,T87,Steve Marino,76,284
89,T87,T87,Justin Rose,79,284
90,T91,T91,Chris Couch,73,278
91,T91,T91,Michael Thompson,79,278
92,T93,T93,Zach Johnson,79,275
93,T93,T93,Paul Stankowski,78,275
94,T95,T95,Alex Prugh,82,274
95,T95,T95,Jimmy Walker,79,274
96,97,97,Ryan Moore,79,271
97,98,98,Lucas Glover,74,270
98,T99,T99,Bobby Gates,82,269
99,T99,T99,Paul Goydos,81,269
100,T99,T99,Trevor Immelman,84,269
101,T102,T102,Joe Ogilvie,75,268
102,T102,T102,Johnson Wagner,81,268
103,104,104,Ben Martin,74,267
104,T105,T105,Jason Bohn,74,266
105,T105,T105,Nathan Green,81,266
106,107,107,Billy Horschel,75,264
107,T108,T108,Ricky Barnes,78,262
108,T108,T108,Jarrod Lyle,83,262
109,110,110,Kevin Chappell,78,261
110,111,111,K.J. Choi,77,259
111,112,112,John Merrick,71,257
112,T113,T113,Stewart Cink,72,255
113,T113,T113,James Driscoll,71,255
114,T115,T115,Michael Bradley,74,254
115,T115,T115,Ben Crane,76,254
116,117,117,Geoff Ogilvy,69,253
117,T118,T118,Cameron Beckman,71,252
118,T118,T118,Anthony Kim,72,252
119,120,120,George McNeill,69,249
120,T121,T121,Matt Jones,71,248
121,T121,T121,Rod Pampling,72,248
122,T121,T121,Boo Weekley,66,248
123,T124,T124,Bio Kim,71,247
124,T124,T124,Garrett Willis,71,247
125,126,126,Kent Jones,76,245
126,T127,T127,Joseph Bramlett,73,243
127,T127,T127,Colt Knost,80,243
128,T127,T127,Justin Leonard,82,243
129,130,130,Chris Riley,76,242
130,131,131,Davis Love III,70,241
131,132,132,Stephen Ames,69,236
132,133,133,Michael Connell,76,235
133,134,134,Camilo Villegas,69,229
134,135,135,Jim Herman,69,228
135,136,136,Ernie Els,71,227
136,137,137,Lee Janzen,62,226
137,138,138,Shaun Micheel,77,225
138,T139,T139,David Duval,67,224
139,T139,T139,Jim Renner,65,224
140,T139,T139,Adam Scott,60,224
141,142,142,Sean O'Hair,71,223
142,143,143,Kevin Kisner,70,222
143,T144,T144,Shane Bertsch,62,219
144,T144,T144,Michael Putnam,67,219
145,T144,T144,Roland Thatcher,67,219
146,T147,T147,Joe Durant,71,217
147,T147,T147,Derek Lamely,65,217
148,149,149,J.B. Holmes,57,216
149,150,150,D.J. Brigman,67,215
150,T151,T151,Scott Gutschewski,67,214
151,T151,T151,Aron Price,58,214
152,153,153,Scott McCarron,65,213
153,154,154,Ben Curtis,66,211
154,155,155,Woody Austin,59,210
155,T156,T156,Stuart Appleby,65,209
156,T156,T156,Briny Baird,60,209
157,T158,T158,Sung Kang,63,208
158,T158,T158,Robert Karlsson,61,208
159,T158,T158,Nate Smith,66,208
160,T161,T161,Sergio Garcia,61,207
161,T161,T161,Daniel Summerhays,75,207
162,163,163,Y.E. Yang,63,206
