,First_Tee_Early_Par_4_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Par_4_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Par_4_Scoring_Average_PLAYER NAME,First_Tee_Early_Par_4_Scoring_Average_ROUNDS,First_Tee_Early_Par_4_Scoring_Average_AVG,First_Tee_Early_Par_4_Scoring_Average_TOTAL STROKES,First_Tee_Early_Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Sergio Garcia,61,3.92,647,165
1,T2,T2,Shane Bertsch,62,3.94,615,156
2,T2,T2,Spencer Levin,113,3.94,1573,399
3,T2,T2,Bryce Molder,82,3.94,828,210
4,T2,T2,David Toms,78,3.94,867,220
5,6,6,Sung Kang,63,3.95,779,197
6,T7,T7,Brian Davis,105,3.96,1187,300
7,T7,T7,Hunter Mahan,92,3.96,1001,253
8,T9,T9,Charles Howell III,108,3.97,1262,318
9,T9,T9,Dustin Johnson,72,3.97,873,220
10,T9,T9,Ryan Palmer,82,3.97,1148,289
11,T9,T9,Chris Stroud,88,3.97,1170,295
12,T13,T13,Retief Goosen,50,3.98,843,212
13,T13,T13,David Hearn,88,3.98,1050,264
14,T13,T13,Freddie Jacobson,92,3.98,1340,337
15,T13,T13,Geoff Ogilvy,69,3.98,1058,266
16,T13,T13,Rory Sabbatini,85,3.98,1538,386
17,T13,T13,Adam Scott,60,3.98,446,112
18,T13,T13,Brandt Snedeker,85,3.98,777,195
19,T20,T20,Blake Adams,116,3.99,1980,496
20,T20,T20,Briny Baird,60,3.99,918,230
21,T20,T20,Brian Gay,90,3.99,1360,341
22,T20,T20,Nathan Green,81,3.99,1357,340
23,T20,T20,J.P. Hayes,56,3.99,515,129
24,T20,T20,Carl Pettersson,95,3.99,1466,367
25,T20,T20,Justin Rose,79,3.99,1354,339
26,T20,T20,Steve Stricker,70,3.99,523,131
27,T20,T20,Camilo Villegas,69,3.99,771,193
28,T29,T29,Stuart Appleby,65,4.0,904,226
29,T29,T29,Steven Bowditch,86,4.0,1113,278
30,T29,T29,Keegan Bradley,91,4.0,1060,265
31,T29,T29,Jonathan Byrd,83,4.0,1180,295
32,T29,T29,Ben Crane,76,4.0,1340,335
33,T29,T29,Rickie Fowler,84,4.0,871,218
34,T29,T29,Charley Hoffman,93,4.0,1613,403
35,T29,T29,Chris Kirk,87,4.0,1404,351
36,T29,T29,Nick O'Hern,89,4.0,903,226
37,T29,T29,Rod Pampling,72,4.0,919,230
38,T29,T29,Aron Price,58,4.0,805,201
39,T29,T29,John Rollins,85,4.0,1299,325
40,T29,T29,Charl Schwartzel,58,4.0,947,237
41,T29,T29,Vijay Singh,79,4.0,976,244
42,T29,T29,Heath Slocum,89,4.0,1329,332
43,T29,T29,Bo Van Pelt,92,4.0,1503,376
