,Tenth_Tee_Late_Round_2_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Round_2_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Round_2_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Round_2_Scoring_Average_AVG,Tenth_Tee_Late_Round_2_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Nick Watney,65.0,65,1
1,2,2,Aaron Baddeley,66.75,267,4
2,3,3,Phil Mickelson,67.0,67,1
3,4,4,Charl Schwartzel,67.33,202,3
4,5,5,Cameron Tringale,67.5,540,8
5,6,6,Bill Haas,67.67,203,3
6,7,7,Jason Bohn,67.8,339,5
7,T8,T8,Rod Pampling,68.0,272,4
8,T8,T8,Jhonattan Vegas,68.0,204,3
9,T8,T8,Camilo Villegas,68.0,204,3
10,T11,T11,Ricky Barnes,68.5,137,2
11,T11,T11,Trevor Immelman,68.5,137,2
12,T11,T11,Sung Kang,68.5,137,2
13,T11,T11,Geoff Ogilvy,68.5,274,4
14,T15,T15,David Hearn,68.67,206,3
15,T15,T15,David Toms,68.67,206,3
16,17,17,Justin Leonard,68.75,275,4
17,T18,T18,Keegan Bradley,69.0,276,4
18,T18,T18,Chris Couch,69.0,138,2
19,T18,T18,Ben Crane,69.0,552,8
20,T18,T18,Aron Price,69.0,276,4
21,22,22,Nathan Green,69.1,691,10
22,23,23,Brian Davis,69.13,553,8
23,24,24,Zach Johnson,69.25,277,4
24,25,25,Boo Weekley,69.29,485,7
25,T26,T26,Jonathan Byrd,69.33,416,6
26,T26,T26,Davis Love III,69.33,208,3
27,T26,T26,Paul Stankowski,69.33,416,6
28,29,29,Gary Woodland,69.4,347,5
29,30,30,Michael Connell,69.43,486,7
30,31,31,Michael Putnam,69.5,556,8
31,T32,T32,J.B. Holmes,69.6,348,5
32,T32,T32,Martin Laird,69.6,348,5
33,T32,T32,Mark Wilson,69.6,348,5
34,T35,T35,Tim Herron,69.67,418,6
35,T35,T35,Brendan Steele,69.67,418,6
36,37,37,Jason Dufner,69.7,697,10
37,38,38,Vaughn Taylor,69.71,488,7
38,T39,T39,Stewart Cink,69.75,279,4
39,T39,T39,Sergio Garcia,69.75,279,4
40,T39,T39,Webb Simpson,69.75,279,4
41,42,42,Charles Howell III,69.78,628,9
42,T43,T43,Ryan Moore,69.8,349,5
43,T43,T43,Jimmy Walker,69.8,349,5
44,45,45,Steven Bowditch,69.88,559,8
45,46,46,Kevin Stadler,69.89,629,9
46,T47,T47,Briny Baird,70.0,280,4
47,T47,T47,Jim Furyk,70.0,420,6
48,T47,T47,Freddie Jacobson,70.0,210,3
49,T47,T47,Jerry Kelly,70.0,560,8
50,T47,T47,Colt Knost,70.0,140,2
51,T47,T47,Ian Poulter,70.0,70,1
52,T47,T47,Brandt Snedeker,70.0,70,1
53,54,54,Michael Thompson,70.14,491,7
54,55,55,Tag Ridings,70.2,351,5
55,T56,T56,Shane Bertsch,70.25,281,4
56,T56,T56,Greg Chalmers,70.25,562,8
57,T56,T56,Lucas Glover,70.25,281,4
58,T59,T59,Hunter Mahan,70.33,211,3
59,T59,T59,David Mathis,70.33,422,6
60,T59,T59,Steve Stricker,70.33,211,3
61,T62,T62,Brendon de Jonge,70.4,704,10
62,T62,T62,Jim Renner,70.4,352,5
63,T62,T62,Dean Wilson,70.4,352,5
64,65,65,Hunter Haas,70.43,493,7
65,66,66,Chris Kirk,70.45,775,11
66,T67,T67,Steve Elkington,70.5,141,2
67,T67,T67,Lee Janzen,70.5,423,6
68,T67,T67,Shaun Micheel,70.5,564,8
69,T67,T67,Justin Rose,70.5,282,4
70,T71,T71,Kyle Stanley,70.57,494,7
71,T71,T71,Bo Van Pelt,70.57,494,7
72,T71,T71,Johnson Wagner,70.57,494,7
