,Tenth_Tee_Late_Round_5_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Round_5_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Round_5_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Round_5_Scoring_Average_AVG,Tenth_Tee_Late_Round_5_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Round_5_Scoring_Average_TOTAL ROUNDS
0,1,1,Zack Miller,64.0,64,1
1,2,2,Freddie Jacobson,66.0,66,1
2,T3,T3,Matt Bettencourt,67.0,67,1
3,T3,T3,Chad Campbell,67.0,67,1
4,T3,T3,Spencer Levin,67.0,67,1
5,T6,T6,Colt Knost,69.0,69,1
6,T6,T6,Pat Perez,69.0,69,1
7,T8,T8,Fabián Gómez,70.0,70,1
8,T8,T8,Jarrod Lyle,70.0,70,1
9,T10,T10,Michael Putnam,72.0,72,1
10,T10,T10,Chris Stroud,72.0,72,1
11,12,12,Hunter Haas,74.0,74,1
