,Tenth_Tee_Early_Par_4_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Par_4_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Par_4_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Par_4_Scoring_Average_ROUNDS,Tenth_Tee_Early_Par_4_Scoring_Average_AVG,Tenth_Tee_Early_Par_4_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Par_4_Scoring_Average_TOTAL HOLES
0,T1,T1,Rod Pampling,72,3.89,592,152
1,T1,T1,Kyle Stanley,98,3.89,545,140
2,T1,T1,Steve Stricker,70,3.89,436,112
3,T4,T4,John Senden,94,3.91,590,151
4,T4,T4,Brandt Snedeker,85,3.91,778,199
5,T6,T6,J.J. Henry,96,3.92,780,199
6,T6,T6,Lee Janzen,62,3.92,333,85
7,T6,T6,Nick Watney,80,3.92,674,172
8,T6,T6,Gary Woodland,93,3.92,764,195
9,10,10,Chris Couch,73,3.93,833,212
10,T11,T11,Chad Campbell,99,3.94,827,210
11,T11,T11,Alex Cejka,59,3.94,493,125
12,T11,T11,Brandt Jobe,100,3.94,587,149
13,T11,T11,Mark Wilson,89,3.94,548,139
14,T15,T15,Ben Crane,76,3.95,387,98
15,T15,T15,Jason Dufner,78,3.95,521,132
16,T15,T15,Rickie Fowler,84,3.95,655,166
17,T15,T15,Martin Laird,77,3.95,514,130
18,T15,T15,William McGirt,103,3.95,1079,273
19,T20,T20,Brendon de Jonge,105,3.96,887,224
20,T20,T20,Luke Donald,73,3.96,654,165
21,T20,T20,Steve Elkington,50,3.96,551,139
22,T20,T20,Hunter Haas,96,3.96,863,218
23,T24,T24,Jason Bohn,74,3.97,679,171
24,T24,T24,Tommy Gainey,104,3.97,833,210
25,T24,T24,Davis Love III,70,3.97,643,162
26,T24,T24,Billy Mayfair,94,3.97,798,201
27,T24,T24,Joe Ogilvie,75,3.97,639,161
28,T29,T29,K.J. Choi,77,3.98,753,189
29,T29,T29,Brian Davis,105,3.98,984,247
30,T29,T29,Tom Gillis,55,3.98,434,109
31,T29,T29,Webb Simpson,98,3.98,851,214
32,T29,T29,Kevin Streelman,90,3.98,835,210
33,T34,T34,Ricky Barnes,78,3.99,663,166
34,T34,T34,Greg Chalmers,88,3.99,978,245
35,T34,T34,Ben Curtis,66,3.99,347,87
36,T34,T34,Zach Johnson,79,3.99,531,133
37,T34,T34,Matt Kuchar,94,3.99,801,201
38,T34,T34,Troy Matteson,91,3.99,626,157
39,T34,T34,John Merrick,71,3.99,682,171
40,T34,T34,Scott Piercy,78,3.99,638,160
41,T34,T34,D.A. Points,89,3.99,371,93
42,T34,T34,Vaughn Taylor,89,3.99,791,198
43,T34,T34,Johnson Wagner,81,3.99,531,133
44,T34,T34,Y.E. Yang,63,3.99,395,99
45,T46,T46,Stephen Ames,69,4.0,957,239
46,T46,T46,Kris Blanks,92,4.0,804,201
47,T46,T46,Sergio Garcia,61,4.0,536,134
48,T46,T46,Lucas Glover,74,4.0,532,133
49,T46,T46,Paul Goydos,81,4.0,991,248
50,T46,T46,Trevor Immelman,84,4.0,855,214
51,T46,T46,Jeff Overton,92,4.0,892,223
52,T46,T46,Paul Stankowski,78,4.0,900,225
53,T46,T46,Will Strickler,51,4.0,428,107
54,T55,T55,Woody Austin,59,4.01,657,164
55,T55,T55,Padraig Harrington,60,4.01,606,151
56,T55,T55,Charley Hoffman,93,4.01,602,150
57,T55,T55,Steve Marino,76,4.01,670,167
58,T55,T55,John Rollins,85,4.01,553,138
59,T55,T55,Rory Sabbatini,85,4.01,594,148
60,T55,T55,Jhonattan Vegas,84,4.01,1014,253
61,T55,T55,Bubba Watson,85,4.01,807,201
62,T55,T55,Dean Wilson,62,4.01,594,148
63,T64,T64,Blake Adams,116,4.02,833,207
64,T64,T64,Briny Baird,60,4.02,491,122
65,T64,T64,Keegan Bradley,91,4.02,808,201
66,T64,T64,Joe Durant,71,4.02,833,207
67,T64,T64,Jim Furyk,87,4.02,675,168
68,T64,T64,Robert Garrigus,83,4.02,519,129
69,T64,T64,Andres Gonzales,60,4.02,522,130
70,T64,T64,Nathan Green,81,4.02,563,140
71,T64,T64,David Hearn,88,4.02,1073,267
72,T64,T64,Tim Herron,85,4.02,925,230
73,T64,T64,Jerry Kelly,85,4.02,583,145
74,T64,T64,Ben Martin,74,4.02,559,139
75,T64,T64,Scott McCarron,65,4.02,780,194
76,T64,T64,Phil Mickelson,79,4.02,783,195
77,T64,T64,Chris Stroud,88,4.02,607,151
78,T79,T79,Joseph Bramlett,73,4.03,786,195
79,T79,T79,Stewart Cink,72,4.03,596,148
80,T79,T79,Jason Day,76,4.03,640,159
81,T79,T79,Retief Goosen,50,4.03,351,87
82,T79,T79,Bill Haas,93,4.03,580,144
83,T79,T79,Billy Horschel,75,4.03,737,183
84,T79,T79,Robert Karlsson,61,4.03,310,77
85,T79,T79,Anthony Kim,72,4.03,628,156
86,T79,T79,Rocco Mediate,53,4.03,536,133
87,T79,T79,Bryce Molder,82,4.03,737,183
88,T79,T79,Kevin Na,84,4.03,612,152
89,T79,T79,Pat Perez,76,4.03,746,185
90,T79,T79,Tim Petrovic,88,4.03,899,223
91,T79,T79,Carl Pettersson,95,4.03,702,174
92,T79,T79,Justin Rose,79,4.03,556,138
93,T79,T79,Vijay Singh,79,4.03,742,184
94,T79,T79,Heath Slocum,89,4.03,838,208
95,T79,T79,David Toms,78,4.03,797,198
96,T79,T79,Bo Van Pelt,92,4.03,387,96
97,T98,T98,Kevin Chappell,78,4.04,845,209
98,T98,T98,Matt Jones,71,4.04,432,107
99,T98,T98,Ryan Palmer,82,4.04,424,105
100,T98,T98,Ian Poulter,52,4.04,319,79
101,T98,T98,Charl Schwartzel,58,4.04,218,54
102,T98,T98,Michael Thompson,79,4.04,800,198
103,T104,T104,Arjun Atwal,91,4.05,774,191
104,T104,T104,Michael Connell,76,4.05,867,214
105,T104,T104,Chris DiMarco,93,4.05,879,217
106,T104,T104,David Duval,67,4.05,518,128
107,T104,T104,Ernie Els,71,4.05,858,212
108,T104,T104,Charles Howell III,108,4.05,660,163
109,T104,T104,Chris Kirk,87,4.05,547,135
110,T104,T104,Colt Knost,80,4.05,1061,262
111,T104,T104,Spencer Levin,113,4.05,700,173
112,T104,T104,Hunter Mahan,92,4.05,862,213
113,T104,T104,George McNeill,69,4.05,587,145
114,T104,T104,Nick O'Hern,89,4.05,794,196
115,T104,T104,Geoff Ogilvy,69,4.05,498,123
116,T104,T104,Chez Reavie,92,4.05,603,149
117,T104,T104,Chris Riley,76,4.05,928,229
118,T104,T104,D.J. Trahan,91,4.05,616,152
119,T104,T104,Cameron Tringale,110,4.05,1008,249
120,T104,T104,Charlie Wi,83,4.05,969,239
121,T122,T122,Jonathan Byrd,83,4.06,776,191
122,T122,T122,James Driscoll,71,4.06,739,182
123,T122,T122,Steve Flesch,88,4.06,1222,301
124,T122,T122,Harrison Frazar,58,4.06,402,99
125,T122,T122,Jim Renner,65,4.06,528,130
126,T122,T122,Andres Romero,77,4.06,661,163
127,T122,T122,Brendan Steele,89,4.06,788,194
128,T122,T122,Roland Thatcher,67,4.06,653,161
129,T122,T122,Garrett Willis,71,4.06,520,128
130,T131,T131,Aaron Baddeley,77,4.07,521,128
