,Late_Round_3_Scoring_Average_RANK THIS WEEK,Late_Round_3_Scoring_Average_RANK LAST WEEK,Late_Round_3_Scoring_Average_PLAYER NAME,Late_Round_3_Scoring_Average_AVG,Late_Round_3_Scoring_Average_TOTAL STROKES,Late_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Woody Austin,66.0,132,2
1,2,2,Michael Bradley,67.0,201,3
2,3,3,Martin Laird,67.43,472,7
3,4,4,Pat Perez,67.5,270,4
4,5,5,Steve Stricker,67.93,951,14
5,T6,T6,Ben Curtis,68.0,136,2
6,T6,T6,Anthony Kim,68.0,272,4
7,8,8,Kevin Chappell,68.17,409,6
8,9,9,Webb Simpson,68.21,1296,19
9,10,10,Jonathan Byrd,68.43,479,7
10,11,11,Bryce Molder,68.44,616,9
11,12,12,Nick Watney,68.57,960,14
12,13,13,Stephen Ames,68.67,412,6
13,14,14,Andres Romero,68.71,481,7
14,T15,T15,Briny Baird,68.83,413,6
15,T15,T15,Justin Rose,68.83,413,6
16,17,17,Jason Day,68.88,551,8
17,18,18,Steve Marino,68.91,758,11
18,19,19,Blake Adams,68.92,827,12
19,T20,T20,Scott Gutschewski,69.0,207,3
20,T20,T20,Matt Jones,69.0,276,4
21,T20,T20,Sung Kang,69.0,138,2
22,T20,T20,Kevin Kisner,69.0,69,1
23,T20,T20,Will Strickler,69.0,69,1
24,T25,T25,George McNeill,69.11,622,9
25,T25,T25,Kevin Na,69.11,622,9
26,27,27,Joe Ogilvie,69.13,553,8
27,28,28,Jimmy Walker,69.2,346,5
28,29,29,Aaron Baddeley,69.22,623,9
29,30,30,Cameron Beckman,69.25,277,4
30,T31,T31,Freddie Jacobson,69.33,832,12
31,T31,T31,Zach Johnson,69.33,416,6
32,T31,T31,Matt McQuillan,69.33,416,6
33,T31,T31,Shaun Micheel,69.33,208,3
34,35,35,Charles Howell III,69.36,971,14
35,36,36,Colt Knost,69.4,347,5
36,37,37,Bill Haas,69.46,903,13
37,38,38,Retief Goosen,69.5,139,2
38,T39,T39,Brendon de Jonge,69.57,974,14
39,T39,T39,Billy Horschel,69.57,487,7
40,T39,T39,John Merrick,69.57,487,7
41,42,42,Tommy Gainey,69.6,696,10
42,T43,T43,Tim Herron,69.63,557,8
43,T43,T43,J.B. Holmes,69.63,557,8
44,T43,T43,John Rollins,69.63,557,8
45,46,46,Vaughn Taylor,69.64,766,11
46,T47,T47,Andres Gonzales,69.67,209,3
47,T47,T47,Hunter Mahan,69.67,627,9
48,49,49,Arjun Atwal,69.71,488,7
49,50,50,Luke Donald,69.73,767,11
50,T51,T51,Ángel Cabrera,69.75,279,4
51,T51,T51,Richard Johnson,69.75,279,4
52,T51,T51,Dustin Johnson,69.75,558,8
53,T51,T51,D.J. Trahan,69.75,558,8
54,55,55,Nate Smith,69.8,349,5
55,T56,T56,Matt Kuchar,69.83,838,12
56,T56,T56,Aron Price,69.83,419,6
57,58,58,Trevor Immelman,69.89,629,9
58,T59,T59,Alex Cejka,70.0,70,1
59,T59,T59,Greg Chalmers,70.0,560,8
60,T59,T59,David Duval,70.0,70,1
61,T59,T59,Steve Elkington,70.0,350,5
62,T59,T59,Robert Karlsson,70.0,350,5
63,T59,T59,Jerry Kelly,70.0,630,9
64,T59,T59,Chris Kirk,70.0,490,7
65,T59,T59,Justin Leonard,70.0,560,8
66,T59,T59,Scott McCarron,70.0,140,2
67,T59,T59,Scott Stallings,70.0,420,6
68,T59,T59,Dean Wilson,70.0,420,6
69,70,70,Gary Woodland,70.07,981,14
70,71,71,Vijay Singh,70.1,701,10
71,72,72,Ryan Palmer,70.13,561,8
72,73,73,Marc Leishman,70.14,491,7
73,74,74,Jim Renner,70.17,421,6
74,75,75,Kevin Stadler,70.22,632,9
75,T76,T76,Jim Herman,70.25,562,8
76,T76,T76,Sean O'Hair,70.25,281,4
77,78,78,Nick O'Hern,70.27,773,11
78,T79,T79,Charley Hoffman,70.29,492,7
79,T79,T79,Kevin Streelman,70.29,492,7
80,T81,T81,Bill Lunde,70.33,633,9
81,T81,T81,David Mathis,70.33,422,6
82,T81,T81,Bo Van Pelt,70.33,422,6
83,T84,T84,Rickie Fowler,70.38,915,13
84,T84,T84,David Hearn,70.38,563,8
85,T84,T84,Chez Reavie,70.38,563,8
86,T84,T84,Charlie Wi,70.38,563,8
87,88,88,David Toms,70.4,704,10
88,89,89,Brandt Jobe,70.45,775,11
89,T90,T90,Shane Bertsch,70.5,282,4
90,T90,T90,Kris Blanks,70.5,705,10
91,T90,T90,K.J. Choi,70.5,705,10
92,T90,T90,Bobby Gates,70.5,423,6
93,T90,T90,Bio Kim,70.5,141,2
94,T90,T90,Ben Martin,70.5,423,6
95,T90,T90,Tim Petrovic,70.5,423,6
96,T90,T90,Daniel Summerhays,70.5,282,4
97,T90,T90,Roland Thatcher,70.5,282,4
98,T90,T90,Michael Thompson,70.5,564,8
99,T90,T90,Y.E. Yang,70.5,423,6
100,101,101,Jim Furyk,70.54,917,13
101,102,102,Keegan Bradley,70.56,635,9
102,103,103,John Senden,70.67,848,12
103,104,104,Chris Couch,70.71,495,7
104,105,105,Adam Scott,70.73,778,11
105,106,106,Brendan Steele,70.77,920,13
106,107,107,Davis Love III,70.78,637,9
107,T108,T108,Ernie Els,70.8,354,5
108,T108,T108,Spencer Levin,70.8,1062,15
109,110,110,Ian Poulter,70.86,496,7
110,111,111,Padraig Harrington,70.88,567,8
111,112,112,Kyle Stanley,70.89,638,9
112,T113,T113,Brian Gay,70.9,709,10
113,T113,T113,Hunter Haas,70.9,709,10
114,T113,T113,Jhonattan Vegas,70.9,709,10
115,T116,T116,Robert Allenby,71.0,355,5
116,T116,T116,Matt Bettencourt,71.0,568,8
117,T116,T116,Steve Flesch,71.0,426,6
118,T116,T116,Jarrod Lyle,71.0,568,8
119,T116,T116,Geoff Ogilvy,71.0,568,8
120,T116,T116,Carl Pettersson,71.0,781,11
121,T116,T116,D.A. Points,71.0,710,10
122,T116,T116,Bubba Watson,71.0,639,9
123,124,124,Brandt Snedeker,71.08,924,13
124,125,125,Jeff Overton,71.09,782,11
125,126,126,Lucas Glover,71.15,925,13
126,127,127,Troy Matteson,71.2,712,10
127,128,128,Brian Davis,71.21,997,14
128,129,129,Johnson Wagner,71.22,641,9
129,T130,T130,D.J. Brigman,71.25,285,4
130,T130,T130,Kent Jones,71.25,570,8
131,T130,T130,Graeme McDowell,71.25,285,4
132,T133,T133,Paul Goydos,71.29,499,7
133,T133,T133,William McGirt,71.29,998,14
134,T133,T133,Camilo Villegas,71.29,499,7
135,T136,T136,Derek Lamely,71.33,214,3
136,T136,T136,Rocco Mediate,71.33,214,3
137,T136,T136,Rod Pampling,71.33,428,6
138,T136,T136,Michael Putnam,71.33,214,3
139,140,140,Jason Dufner,71.36,785,11
140,141,141,Ricky Barnes,71.4,714,10
141,142,142,Heath Slocum,71.43,500,7
