,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
0,1,1,Webb Simpson,98,69.05,4281,62
1,2,2,Luke Donald,73,69.17,2905,42
2,3,3,Matt Kuchar,94,69.56,3756,54
3,4,4,Nick Watney,80,69.65,3343,48
4,5,5,Steve Stricker,70,69.66,3274,47
5,6,6,Aaron Baddeley,77,69.69,3136,45
6,7,7,J.B. Holmes,57,69.7,1882,27
7,8,8,Jason Day,76,69.84,2654,38
8,9,9,Hunter Mahan,92,69.85,3283,47
9,10,10,Bryce Molder,82,69.93,3147,45
10,11,11,David Toms,78,70.05,2802,40
11,12,12,Charles Howell III,108,70.06,4484,64
12,T13,T13,Robert Karlsson,61,70.07,2032,29
13,T13,T13,Martin Laird,77,70.07,2943,42
14,15,15,Adam Scott,60,70.08,2663,38
15,16,16,Jimmy Walker,79,70.11,2594,37
16,17,17,Carl Pettersson,95,70.15,3227,46
17,18,18,George McNeill,69,70.18,2316,33
18,19,19,K.J. Choi,77,70.19,2948,42
19,20,20,Freddie Jacobson,92,70.2,3440,49
20,21,21,Andres Romero,77,70.21,2668,38
21,T22,T22,Tommy Gainey,104,70.22,3862,55
22,T22,T22,Bill Haas,93,70.22,3581,51
23,T22,T22,Zach Johnson,79,70.22,2598,37
24,25,25,Kevin Stadler,88,70.26,2951,42
25,26,26,Jerry Kelly,85,70.27,3092,44
26,T27,T27,Briny Baird,60,70.29,1968,28
27,T27,T27,Chris Couch,73,70.29,2460,35
28,29,29,Jim Furyk,87,70.35,3588,51
29,T30,T30,Jason Dufner,78,70.4,3027,43
30,T30,T30,John Rollins,85,70.4,2957,42
31,32,32,Phil Mickelson,79,70.41,2746,39
32,33,33,Gary Woodland,93,70.42,3873,55
33,T34,T34,John Merrick,71,70.45,2677,38
34,T34,T34,Geoff Ogilvy,69,70.45,2184,31
35,T36,T36,Jonathan Byrd,83,70.47,2678,38
36,T36,T36,Chris Kirk,87,70.47,3030,43
37,T38,T38,Brandt Jobe,100,70.48,3524,50
38,T38,T38,Spencer Levin,113,70.48,4299,61
39,T40,T40,Bill Lunde,92,70.49,2890,41
40,T40,T40,Bo Van Pelt,92,70.49,3313,47
41,T42,T42,Kris Blanks,92,70.5,3243,46
42,T42,T42,Steve Marino,76,70.5,2820,40
43,T42,T42,Aron Price,58,70.5,1974,28
44,T42,T42,Chez Reavie,92,70.5,3102,44
45,T46,T46,Brandt Snedeker,85,70.51,3455,49
46,T46,T46,Kyle Stanley,98,70.51,3314,47
47,T48,T48,Brendon de Jonge,105,70.53,3879,55
48,T48,T48,Ryan Moore,79,70.53,2680,38
49,T50,T50,Greg Chalmers,88,70.54,2892,41
50,T50,T50,Brian Gay,90,70.54,3245,46
51,T52,T52,David Hearn,88,70.55,2822,40
52,T52,T52,David Mathis,83,70.55,2822,40
53,T54,T54,Padraig Harrington,60,70.56,1905,27
54,T54,T54,Trevor Immelman,84,70.56,2893,41
55,56,56,Jason Bohn,74,70.57,2117,30
56,T57,T57,Kevin Na,84,70.59,2753,39
57,T57,T57,Mark Wilson,89,70.59,3106,44
58,T59,T59,Jeff Overton,92,70.62,2754,39
59,T59,T59,John Senden,94,70.62,3743,53
60,T61,T61,Hunter Haas,96,70.63,3390,48
61,T61,T61,Kevin Streelman,90,70.63,2684,38
62,T63,T63,Robert Garrigus,83,70.64,2755,39
63,T63,T63,Billy Mayfair,94,70.64,2967,42
64,T63,T63,Justin Rose,79,70.64,2331,33
65,66,66,Bubba Watson,85,70.65,2614,37
66,67,67,Michael Bradley,74,70.66,2261,32
67,T68,T68,Ryuji Imada,83,70.69,2757,39
68,T68,T68,Dustin Johnson,72,70.69,2757,39
69,T70,T70,Shane Bertsch,62,70.72,2263,32
70,T70,T70,Jim Renner,65,70.72,2263,32
71,72,72,Boo Weekley,66,70.73,1839,26
72,73,73,Nick O'Hern,89,70.74,3537,50
73,T74,T74,William McGirt,103,70.75,3750,53
74,T74,T74,D.A. Points,89,70.75,3113,44
75,T76,T76,Blake Adams,116,70.76,3609,51
76,T76,T76,Woody Austin,59,70.76,1769,25
77,T76,T76,Michael Thompson,79,70.76,2972,42
78,T76,T76,Jhonattan Vegas,84,70.76,2901,41
79,T80,T80,Ben Crane,76,70.79,2407,34
80,T80,T80,Sergio Garcia,61,70.79,2407,34
81,T80,T80,Michael Putnam,67,70.79,1982,28
82,83,83,Ricky Barnes,78,70.8,2903,41
83,84,84,Matt McQuillan,59,70.82,2408,34
84,T85,T85,Charl Schwartzel,58,70.83,2054,29
85,T85,T85,D.J. Trahan,91,70.83,3258,46
86,87,87,Cameron Tringale,110,70.84,3896,55
87,88,88,Keegan Bradley,91,70.85,3401,48
88,T89,T89,Tim Petrovic,88,70.86,3047,43
89,T89,T89,Y.E. Yang,63,70.86,2055,29
90,91,91,Stephen Ames,69,70.87,2126,30
91,T92,T92,Chris DiMarco,93,70.88,2906,41
92,T92,T92,Vijay Singh,79,70.88,2835,40
93,94,94,Camilo Villegas,69,70.89,2552,36
94,T95,T95,Tim Herron,85,70.9,2907,41
95,T95,T95,Davis Love III,70,70.9,2765,39
96,97,97,Joe Ogilvie,75,70.91,2482,35
97,T98,T98,Chad Campbell,99,70.93,3192,45
98,T98,T98,Scott Stallings,84,70.93,2908,41
99,100,100,Ian Poulter,52,70.96,1703,24
100,T101,T101,Jim Herman,69,70.97,2768,39
101,T101,T101,Rod Pampling,72,70.97,2626,37
102,T103,T103,Brian Davis,105,71.0,3834,54
103,T103,T103,Lucas Glover,74,71.0,2840,40
104,T103,T103,Pat Perez,76,71.0,2272,32
105,T103,T103,Charlie Wi,83,71.0,2698,38
106,107,107,Ernie Els,71,71.03,2131,30
107,108,108,Josh Teater,104,71.04,3339,47
108,109,109,Johnson Wagner,81,71.05,2842,40
109,110,110,Justin Leonard,82,71.07,3056,43
110,111,111,Steve Elkington,50,71.08,1706,24
111,T112,T112,Chris Stroud,88,71.09,3341,47
112,T112,T112,Vaughn Taylor,89,71.09,3270,46
113,114,114,Alexandre Rocha,65,71.1,2062,29
114,T115,T115,Fabián Gómez,84,71.14,3130,44
115,T115,T115,Graeme McDowell,50,71.14,1565,22
116,T117,T117,Rickie Fowler,84,71.15,3273,46
117,T117,T117,Paul Goydos,81,71.15,2846,40
118,119,119,Scott McCarron,65,71.16,1779,25
119,120,120,Ben Curtis,66,71.17,2135,30
120,T121,T121,Billy Horschel,75,71.19,2563,36
121,T121,T121,Troy Matteson,91,71.19,3346,47
122,T121,T121,Shaun Micheel,77,71.19,2278,32
123,124,124,Sean O'Hair,71,71.21,2421,34
124,T125,T125,Robert Allenby,84,71.23,2493,35
125,T125,T125,Steve Flesch,88,71.23,2778,39
126,T125,T125,Sung Kang,63,71.23,2137,30
127,T128,T128,Lee Janzen,62,71.24,1781,25
128,T128,T128,Kent Jones,76,71.24,2351,33
129,130,130,Michael Connell,76,71.25,2565,36
130,131,131,Jarrod Lyle,83,71.26,3064,43
131,132,132,Ángel Cabrera,50,71.27,1853,26
132,T133,T133,Retief Goosen,50,71.29,1497,21
133,T133,T133,Paul Stankowski,78,71.29,2424,34
134,T135,T135,Arjun Atwal,91,71.3,2852,40
135,T135,T135,Matt Jones,71,71.3,2638,37
136,T137,T137,Heath Slocum,89,71.33,2782,39
137,T137,T137,Dean Wilson,62,71.33,2140,30
138,139,139,Cameron Beckman,71,71.35,2212,31
139,140,140,Alex Cejka,59,71.36,1784,25
140,141,141,Richard Johnson,64,71.37,1927,27
141,T142,T142,Marc Leishman,87,71.38,2855,40
142,T142,T142,Garrett Willis,71,71.38,2641,37
143,144,144,Scott Piercy,78,71.42,2714,38
144,T145,T145,Anthony Kim,72,71.44,2286,32
145,T145,T145,Ben Martin,74,71.44,2786,39
146,T147,T147,Bobby Gates,82,71.45,2858,40
147,T147,T147,Charley Hoffman,93,71.45,2858,40
148,T149,T149,Zack Miller,86,71.46,2787,39
149,T149,T149,Marc Turnesa,54,71.46,1715,24
150,T151,T151,Kevin Chappell,78,71.48,3002,42
151,T151,T151,Brendan Steele,89,71.48,3288,46
152,153,153,Steven Bowditch,86,71.49,3074,43
153,154,154,Tag Ridings,87,71.5,2574,36
154,155,155,Stewart Cink,72,71.52,2360,33
155,156,156,Rory Sabbatini,85,71.56,2576,36
156,157,157,J.J. Henry,96,71.57,3149,44
157,158,158,Chris Riley,76,71.58,2362,33
158,T159,T159,Ryan Palmer,82,71.63,3080,43
159,T159,T159,Daniel Summerhays,75,71.63,2507,35
160,161,161,Kevin Kisner,70,71.66,2293,32
161,162,162,Harrison Frazar,58,71.67,1935,27
162,163,163,Bio Kim,71,71.77,2512,35
163,164,164,Joseph Bramlett,73,71.8,2154,30
164,165,165,Nathan Green,81,71.81,2657,37
165,166,166,Joe Durant,71,71.84,2227,31
166,167,167,Andres Gonzales,60,71.88,1797,25
167,T168,T168,Matt Bettencourt,84,71.9,2948,41
168,T168,T168,David Duval,67,71.9,2229,31
169,170,170,Colt Knost,80,71.92,2661,37
170,171,171,Nate Smith,66,71.94,2518,35
171,172,172,D.J. Brigman,67,71.96,2015,28
172,173,173,Roland Thatcher,67,71.97,2303,32
173,174,174,Scott Gutschewski,67,72.0,2160,30
174,T175,T175,Stuart Appleby,65,72.03,2521,35
175,T175,T175,Martin Piller,63,72.03,2377,33
176,T177,T177,James Driscoll,71,72.13,2164,30
177,T177,T177,J.P. Hayes,56,72.13,2164,30
178,179,179,Derek Lamely,65,72.17,2093,29
179,180,180,Troy Merritt,63,72.19,1949,27
180,181,181,Tom Gillis,55,72.29,1518,21
181,182,182,Alex Prugh,82,72.46,2536,35
182,183,183,Will Strickler,51,72.73,1600,22
183,184,184,Justin Hicks,60,72.74,2473,34
184,185,185,Rich Beem,53,72.81,1893,26
185,186,186,Rocco Mediate,53,72.96,1678,23
