,Early_Scoring_Average_RANK THIS WEEK,Early_Scoring_Average_RANK LAST WEEK,Early_Scoring_Average_PLAYER NAME,Early_Scoring_Average_ROUNDS,Early_Scoring_Average_AVG,Early_Scoring_Average_TOTAL STROKES,Early_Scoring_Average_TOTAL EARLY ROUNDS
0,1,1,Steve Stricker,70,68.64,1510,22
1,2,2,David Toms,78,69.03,2623,38
2,3,3,Brandt Snedeker,85,69.17,2490,36
3,4,4,Webb Simpson,98,69.36,2497,36
4,5,5,Spencer Levin,113,69.44,3611,52
5,6,6,Nick Watney,80,69.45,2014,29
6,T7,T7,Luke Donald,73,69.52,1738,25
7,T7,T7,Sergio Garcia,61,69.52,1877,27
8,9,9,Charles Howell III,108,69.55,3060,44
9,T10,T10,Rickie Fowler,84,69.66,2438,35
10,T10,T10,Gary Woodland,93,69.66,2647,38
11,12,12,Matt Kuchar,94,69.68,2369,34
12,13,13,John Merrick,71,69.73,2301,33
13,14,14,Brian Davis,105,69.76,3558,51
14,15,15,Brendon de Jonge,105,69.82,3491,50
15,16,16,John Senden,94,69.83,2863,41
16,17,17,Jason Day,76,69.89,2446,35
17,18,18,Zach Johnson,79,69.95,2868,41
18,19,19,Chad Campbell,99,69.96,3778,54
19,20,20,Rod Pampling,72,69.97,2449,35
20,21,21,Bill Haas,93,69.98,2869,41
21,T22,T22,J.J. Henry,96,70.0,3640,52
22,T22,T22,Phil Mickelson,79,70.0,2660,38
23,T24,T24,Ryan Palmer,82,70.05,2592,37
24,T24,T24,Chris Stroud,88,70.05,2872,41
25,T26,T26,Chris Couch,73,70.08,2663,38
26,T26,T26,Rory Sabbatini,85,70.08,3434,49
27,T26,T26,Heath Slocum,89,70.08,3434,49
28,T29,T29,Brian Gay,90,70.09,3084,44
29,T29,T29,Bo Van Pelt,92,70.09,3014,43
30,31,31,Chris Kirk,87,70.11,3085,44
31,T32,T32,Freddie Jacobson,92,70.12,3015,43
32,T32,T32,Hunter Mahan,92,70.12,2945,42
33,34,34,Ben Crane,76,70.13,2735,39
34,35,35,Kyle Stanley,98,70.14,3577,51
