,Front_9_Round_4_Scoring_Average_RANK THIS WEEK,Front_9_Round_4_Scoring_Average_RANK LAST WEEK,Front_9_Round_4_Scoring_Average_PLAYER NAME,Front_9_Round_4_Scoring_Average_AVG,Front_9_Round_4_Scoring_Average_TOTAL STROKES,Front_9_Round_4_Scoring_Average_TOTAL ROUNDS
128,T127,T127,Lucas Glover,35.67,535,15
129,T127,T127,J.B. Holmes,35.67,428,12
130,T127,T127,Billy Horschel,35.67,428,12
131,T127,T127,Colt Knost,35.67,428,12
132,T127,T127,Michael Putnam,35.67,428,12
133,T127,T127,Bo Van Pelt,35.67,642,18
134,135,135,Brian Davis,35.71,750,21
135,136,136,Jonathan Byrd,35.73,536,15
136,T137,T137,Padraig Harrington,35.75,429,12
137,T137,T137,Nick O'Hern,35.75,572,16
138,T137,T137,Y.E. Yang,35.75,429,12
139,T140,T140,Ernie Els,35.79,501,14
140,T140,T140,Bubba Watson,35.79,680,19
141,T142,T142,Arjun Atwal,35.8,537,15
142,T142,T142,Alexandre Rocha,35.8,358,10
143,T142,T142,Dean Wilson,35.8,358,10
144,145,145,Justin Hicks,35.83,215,6
145,146,146,Kyle Stanley,35.85,717,20
146,147,147,Nathan Green,35.86,502,14
147,148,148,Scott Piercy,35.87,538,15
148,149,149,Matt Jones,35.9,359,10
149,150,150,Shaun Micheel,35.92,431,12
150,T151,T151,Robert Garrigus,35.94,575,16
151,T151,T151,Ryan Palmer,35.94,575,16
152,T153,T153,D.J. Brigman,36.0,360,10
153,T153,T153,Steve Flesch,36.0,612,17
154,T153,T153,J.P. Hayes,36.0,288,8
155,T153,T153,Martin Laird,36.0,540,15
156,T153,T153,Ian Poulter,36.0,360,10
157,T153,T153,Daniel Summerhays,36.0,288,8
158,159,159,Vaughn Taylor,36.06,613,17
159,160,160,Bobby Gates,36.09,397,11
160,161,161,Bill Lunde,36.11,650,18
161,162,162,Paul Goydos,36.14,506,14
162,163,163,Scott Stallings,36.15,470,13
163,T164,T164,Cameron Beckman,36.17,434,12
164,T164,T164,Kevin Chappell,36.17,434,12
165,T164,T164,Zack Miller,36.17,434,12
166,T164,T164,Will Strickler,36.17,217,6
167,168,168,Charlie Wi,36.19,579,16
168,169,169,Jim Renner,36.2,362,10
169,170,170,John Merrick,36.21,507,14
170,171,171,Nate Smith,36.22,326,9
171,172,172,Chris Riley,36.23,471,13
172,173,173,Stewart Cink,36.29,508,14
173,174,174,Alex Cejka,36.3,363,10
174,175,175,Chris Couch,36.31,581,16
175,176,176,Michael Connell,36.33,436,12
176,177,177,Steve Marino,36.43,510,14
177,T178,T178,Jim Herman,36.5,438,12
178,T178,T178,Martin Piller,36.5,292,8
179,T180,T180,Fabián Gómez,36.53,548,15
180,T180,T180,William McGirt,36.53,694,19
181,182,182,Kevin Stadler,36.63,586,16
182,183,183,David Mathis,36.75,588,16
183,184,184,Scott Gutschewski,37.11,334,9
184,185,185,Rocco Mediate,37.17,223,6
185,186,186,Rich Beem,37.67,226,6
