,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
0,1,1,Luke Donald,73,+2.17,69.3,71.47
1,2,2,Steve Stricker,70,+1.81,69.33,71.14
2,3,3,Webb Simpson,98,+1.70,69.16,70.86
3,4,4,Nick Watney,80,+1.46,69.57,71.03
4,T5,T5,Matt Kuchar,94,+1.45,69.6,71.05
5,T5,T5,Charl Schwartzel,58,+1.45,70.5,71.95
6,7,7,Phil Mickelson,79,+1.31,70.21,71.52
7,8,8,Charles Howell III,108,+1.30,69.85,71.15
8,T9,T9,Sergio Garcia,61,+1.27,70.23,71.5
9,T9,T9,David Toms,78,+1.27,69.55,70.82
10,11,11,Jason Day,76,+1.24,69.86,71.1
11,12,12,Hunter Mahan,92,+1.21,69.98,71.19
12,13,13,Gary Woodland,93,+1.12,70.11,71.23
13,14,14,K.J. Choi,77,+1.06,70.52,71.58
14,T15,T15,Freddie Jacobson,92,+1.05,70.16,71.21
15,T15,T15,Brandt Snedeker,85,+1.05,69.94,70.99
16,17,17,Spencer Levin,113,+1.03,70.0,71.03
17,18,18,Adam Scott,60,+1.02,70.24,71.26
18,T19,T19,Rickie Fowler,84,+1.01,70.51,71.52
19,T19,T19,Zach Johnson,79,+1.01,70.08,71.09
20,21,21,Bill Haas,93,+.94,70.11,71.05
21,22,22,John Senden,94,+.90,70.28,71.18
22,T23,T23,Justin Rose,79,+.88,70.45,71.33
23,T23,T23,Bo Van Pelt,92,+.88,70.3,71.18
24,25,25,Aaron Baddeley,77,+.87,70.22,71.09
25,26,26,Martin Laird,77,+.86,70.17,71.03
26,27,27,J.B. Holmes,57,+.80,70.77,71.57
27,T28,T28,Brandt Jobe,100,+.79,70.33,71.12
28,T28,T28,Robert Karlsson,61,+.79,70.64,71.43
29,30,30,Dustin Johnson,72,+.76,70.75,71.51
30,31,31,Brian Gay,90,+.74,70.32,71.06
31,32,32,Keegan Bradley,91,+.73,70.63,71.36
32,T33,T33,Robert Allenby,84,+.69,70.69,71.38
33,T33,T33,Kyle Stanley,98,+.69,70.32,71.01
34,T35,T35,Jason Dufner,78,+.67,70.36,71.03
35,T35,T35,Ryan Moore,79,+.67,70.63,71.3
36,T35,T35,Carl Pettersson,95,+.67,70.25,70.92
37,T38,T38,Chad Campbell,99,+.65,70.4,71.05
38,T38,T38,Bryce Molder,82,+.65,70.17,70.82
39,T38,T38,Geoff Ogilvy,69,+.65,70.53,71.18
40,41,41,Kevin Na,84,+.64,70.43,71.07
41,42,42,Bubba Watson,85,+.63,70.56,71.19
42,43,43,Y.E. Yang,63,+.62,70.8,71.42
43,T44,T44,Brian Davis,105,+.61,70.4,71.01
44,T44,T44,Brendon de Jonge,105,+.61,70.19,70.8
45,T46,T46,Jim Furyk,87,+.57,70.57,71.14
46,T46,T46,Chris Kirk,87,+.57,70.29,70.86
47,48,48,Stewart Cink,72,+.56,71.0,71.56
48,T49,T49,Rory Sabbatini,85,+.54,70.71,71.25
49,T49,T49,Kevin Streelman,90,+.54,70.69,71.23
50,T51,T51,Ben Crane,76,+.52,70.44,70.96
51,T51,T51,Jerry Kelly,85,+.52,70.24,70.76
52,53,53,Chris Couch,73,+.51,70.18,70.69
53,T54,T54,Ángel Cabrera,50,+.50,71.02,71.52
54,T54,T54,D.A. Points,89,+.50,70.81,71.31
55,T56,T56,Briny Baird,60,+.49,70.37,70.86
56,T56,T56,Trevor Immelman,84,+.49,70.62,71.11
57,58,58,John Merrick,71,+.47,70.11,70.58
58,59,59,Jimmy Walker,79,+.45,70.66,71.11
59,60,60,J.J. Henry,96,+.44,70.72,71.16
60,T61,T61,John Rollins,85,+.43,70.4,70.83
61,T61,T61,Mark Wilson,89,+.43,70.55,70.98
62,T63,T63,Greg Chalmers,88,+.42,70.59,71.01
63,T63,T63,Lucas Glover,74,+.42,70.74,71.16
64,T65,T65,Pat Perez,76,+.40,70.79,71.19
65,T65,T65,Andres Romero,77,+.40,70.68,71.08
66,T67,T67,Blake Adams,116,+.39,70.42,70.81
67,T67,T67,Davis Love III,70,+.39,70.76,71.15
68,T67,T67,Vijay Singh,79,+.39,70.68,71.07
69,T70,T70,Hunter Haas,96,+.38,70.64,71.02
70,T70,T70,Steve Marino,76,+.38,70.71,71.09
71,72,72,Billy Mayfair,94,+.36,70.41,70.77
72,T73,T73,Ryan Palmer,82,+.34,70.9,71.24
73,T73,T73,Chez Reavie,92,+.34,70.61,70.95
74,75,75,Nick O'Hern,89,+.32,70.72,71.04
75,76,76,Charlie Wi,83,+.31,70.76,71.07
76,T77,T77,Ricky Barnes,78,+.30,70.9,71.2
77,T77,T77,Retief Goosen,50,+.30,70.76,71.06
78,T77,T77,Tim Herron,85,+.30,70.71,71.01
79,T77,T77,Scott Piercy,78,+.30,70.83,71.13
80,T81,T81,Ian Poulter,52,+.26,70.9,71.16
81,T81,T81,Johnson Wagner,81,+.26,70.75,71.01
82,83,83,Robert Garrigus,83,+.25,70.95,71.2
83,84,84,William McGirt,103,+.24,70.6,70.84
84,T85,T85,Jonathan Byrd,83,+.23,70.57,70.8
85,T85,T85,David Hearn,88,+.23,70.4,70.63
86,T87,T87,Bill Lunde,92,+.22,70.7,70.92
87,T87,T87,Rod Pampling,72,+.22,70.49,70.71
88,89,89,Cameron Tringale,110,+.21,70.65,70.86
89,T90,T90,Charley Hoffman,93,+.20,70.86,71.06
