,GIR_Putting_-_Inside_5_RANK THIS WEEK,GIR_Putting_-_Inside_5_RANK LAST WEEK,GIR_Putting_-_Inside_5_PLAYER NAME,GIR_Putting_-_Inside_5_ROUNDS,GIR_Putting_-_Inside_5_%,GIR_Putting_-_Inside_5_ATTEMPTS,GIR_Putting_-_Inside_5_PUTTS MADE
0,1,1,Briny Baird,98,97.56,41,40
1,2,2,Jeff Hart,63,94.74,19,18
2,3,3,Mark O'Meara,66,94.44,18,17
3,4,4,Patrick Sheehan,114,93.75,64,60
4,T5,T5,Brian Bateman,98,93.33,45,42
5,T5,T5,Stewart Cink,98,93.33,30,28
6,T5,T5,Tom Lehman,69,93.33,30,28
7,T8,T8,Len Mattiace,86,93.1,29,27
8,T8,T8,Arron Oberholser,65,93.1,29,27
9,10,10,John Rollins,97,93.02,43,40
10,T11,T11,Skip Kendall,80,92.86,28,26
11,T11,T11,Tim Petrovic,97,92.86,42,39
12,13,13,Charles Warren,89,92.45,53,49
13,T14,T14,Justin Bolli,65,92.31,39,36
14,T14,T14,Retief Goosen,71,92.31,26,24
15,T14,T14,Tim Herron,100,92.31,52,48
16,17,17,Michael Allen,90,91.84,49,45
17,T18,T18,John Cook,72,91.67,36,33
18,T18,T18,Lee Janzen,75,91.67,36,33
19,T18,T18,Richard Johnson,50,91.67,24,22
20,T18,T18,Mario Tiziani,67,91.67,36,33
21,22,22,Bo Van Pelt,112,91.53,59,54
22,23,23,Kevin Stadler,96,91.49,47,43
23,24,24,Brendan Jones,81,91.18,34,31
24,25,25,Zach Johnson,96,91.07,56,51
25,T26,T26,James Driscoll,73,90.91,33,30
26,T26,T26,Steve Elkington,67,90.91,33,30
27,T26,T26,Robert Gamez,91,90.91,44,40
28,29,29,Tiger Woods,76,90.7,43,39
29,30,30,Robert Allenby,95,90.63,32,29
30,T31,T31,Luke Donald,67,90.48,21,19
31,T31,T31,Loren Roberts,54,90.48,21,19
32,T33,T33,John Elliott,58,90.32,31,28
33,T33,T33,J.P. Hayes,63,90.32,31,28
34,T35,T35,Brandt Jobe,96,90.0,50,45
35,T35,T35,Ian Poulter,62,90.0,10,9
36,T35,T35,Duffy Waldorf,86,90.0,40,36
37,T38,T38,Freddie Jacobson,72,89.66,29,26
38,T38,T38,Bob Tway,87,89.66,29,26
39,40,40,Dennis Paulson,63,89.47,19,17
40,41,41,Corey Pavin,77,89.29,28,25
41,42,42,Hunter Mahan,103,89.09,55,49
42,T43,T43,Peter Lonard,85,88.89,36,32
43,T43,T43,Jesper Parnevik,84,88.89,36,32
44,45,45,Jim Furyk,94,88.64,44,39
45,46,46,Brad Faxon,75,88.57,35,31
46,T47,T47,K.J. Choi,78,88.46,26,23
47,T47,T47,Chris Riley,67,88.46,26,23
48,T49,T49,Sean O'Hair,103,88.37,43,38
49,T49,T49,Kenny Perry,82,88.37,43,38
50,T51,T51,Robert Damron,89,88.24,34,30
51,T51,T51,Scott Hend,75,88.24,34,30
52,T53,T53,Bart Bryant,91,88.1,42,37
53,T53,T53,Todd Fischer,99,88.1,42,37
54,T55,T55,Brenden Pappas,51,88.0,25,22
55,T55,T55,Adam Scott,72,88.0,25,22
56,57,57,Jonathan Kaye,77,87.88,33,29
57,58,58,Mathias Grönberg,60,87.5,24,21
58,59,59,Tag Ridings,93,87.23,47,41
59,T60,T60,Rob Rashell,65,87.1,31,27
60,T60,T60,Mark Wilson,74,87.1,31,27
61,62,62,Jonathan Byrd,103,86.84,38,33
62,T63,T63,José Coceres,56,86.67,30,26
63,T63,T63,Brett Quigley,96,86.67,45,39
64,T63,T63,Steve Stricker,62,86.67,30,26
65,T63,T63,Kirk Triplett,55,86.67,15,13
66,67,67,Mark Hensby,70,86.49,37,32
67,T68,T68,Bill Glasson,54,86.36,22,19
68,T68,T68,Steve Jones,56,86.36,22,19
69,T68,T68,Larry Mize,54,86.36,22,19
70,71,71,Rocco Mediate,73,86.27,51,44
71,T72,T72,Cameron Beckman,96,85.71,49,42
72,T72,T72,Tom Byrum,83,85.71,35,30
73,T72,T72,Tom Gillis,77,85.71,28,24
74,T72,T72,Hunter Haas,83,85.71,35,30
75,T72,T72,Padraig Harrington,50,85.71,21,18
76,T72,T72,Dudley Hart,84,85.71,28,24
77,T72,T72,Vijay Singh,111,85.71,49,42
78,T72,T72,Kevin Sutherland,89,85.71,35,30
79,T80,T80,Tim Clark,92,85.42,48,41
80,T80,T80,Roland Thatcher,75,85.42,48,41
81,82,82,Geoff Ogilvy,97,85.37,41,35
82,83,83,Ben Crane,78,85.29,34,29
83,84,84,Hidemichi Tanaka,106,85.25,61,52
84,T85,T85,Tjaart van der Walt,56,85.19,27,23
85,T85,T85,Charlie Wi,67,85.19,27,23
86,T87,T87,J.J. Henry,102,85.0,60,51
87,T87,T87,Neal Lancaster,95,85.0,60,51
88,89,89,Vaughn Taylor,99,84.75,59,50
89,T90,T90,Charles Howell III,95,84.62,26,22
90,T90,T90,Kent Jones,99,84.62,39,33
91,92,92,Woody Austin,100,84.44,45,38
92,93,93,Mark Calcavecchia,92,84.31,51,43
93,T94,T94,Marco Dawson,82,84.21,38,32
94,T94,T94,Bob Heintz,67,84.21,38,32
95,T94,T94,Phillip Price,77,84.21,38,32
96,97,97,Shigeki Maruyama,99,84.09,44,37
97,98,98,Olin Browne,99,83.72,43,36
98,T99,T99,Tommy Armour III,103,83.67,49,41
99,T99,T99,Ryan Palmer,101,83.67,49,41
100,T101,T101,Rich Beem,66,83.33,30,25
101,T101,T101,Mark Brooks,72,83.33,30,25
102,T101,T101,Ben Curtis,65,83.33,24,20
103,T101,T101,Matt Davidson,53,83.33,18,15
104,T101,T101,David Hearn,68,83.33,36,30
105,T101,T101,Jerry Kelly,101,83.33,42,35
106,T101,T101,Franklin Langham,91,83.33,48,40
107,T101,T101,Jeff Maggert,79,83.33,42,35
108,T101,T101,Craig Perks,67,83.33,36,30
109,T101,T101,Joey Snyder III,102,83.33,48,40
110,111,111,Carl Pettersson,109,83.08,65,54
111,T112,T112,Joe Ogilvie,103,83.02,53,44
112,T112,T112,Ted Purdy,122,83.02,53,44
113,114,114,Joe Durant,81,82.98,47,39
114,T115,T115,Jeff Brehaut,71,82.93,41,34
115,T115,T115,Jeff Sluman,94,82.93,41,34
116,T117,T117,Stephen Ames,82,82.86,35,29
117,T117,T117,Dean Wilson,86,82.86,35,29
118,T119,T119,Fred Couples,72,82.76,29,24
119,T119,T119,Chris DiMarco,83,82.76,29,24
120,T119,T119,David Toms,87,82.76,29,24
121,122,122,Bob Estes,92,82.69,52,43
122,T123,T123,Gavin Coles,70,82.61,23,19
123,T123,T123,Matt Gogel,78,82.61,23,19
124,T123,T123,Todd Hamilton,94,82.61,46,38
