,Approach_Putt_Performance_RANK THIS WEEK,Approach_Putt_Performance_RANK LAST WEEK,Approach_Putt_Performance_PLAYER NAME,Approach_Putt_Performance_ROUNDS,Approach_Putt_Performance_VALUE,Approach_Putt_Performance_ATTEMPTS,Approach_Putt_Performance_TOTAL DISTANCE (FEET)
0,T1,T1,Jeff Hart,63,"2' 3""",625,1418.8329999999999
1,T1,T1,Corey Pavin,77,"2' 3""",623,1408.0829999999999
2,T3,T3,Jason Bohn,91,"2' 4""",883,2091.667
3,T3,T3,John Cook,72,"2' 4""",633,1482.4170000000001
4,T3,T3,Fred Couples,72,"2' 4""",482,1114.5
5,T3,T3,Chris DiMarco,83,"2' 4""",610,1448.5
6,T3,T3,Bob Estes,92,"2' 4""",837,1978.4170000000001
7,T3,T3,Todd Fischer,99,"2' 4""",896,2124.0
8,T3,T3,Retief Goosen,71,"2' 4""",475,1100.083
9,T3,T3,Hunter Haas,83,"2' 4""",758,1799.25
10,T3,T3,Bob Heintz,67,"2' 4""",623,1449.9170000000001
11,T3,T3,Tom Lehman,69,"2' 4""",556,1283.167
12,T3,T3,Chris Riley,67,"2' 4""",441,1033.75
13,T3,T3,Joey Sindelar,104,"2' 4""",1085,2562.917
14,T15,T15,Arjun Atwal,65,"2' 5""",627,1536.1670000000001
15,T15,T15,Doug Barron,70,"2' 5""",701,1678.25
16,T15,T15,Justin Bolli,65,"2' 5""",627,1518.6670000000001
17,T15,T15,Mark Brooks,72,"2' 5""",664,1597.0829999999999
18,T15,T15,Alex Cejka,84,"2' 5""",771,1863.5829999999999
19,T15,T15,Stewart Cink,98,"2' 5""",753,1815.5829999999999
20,T15,T15,Paul Claxton,79,"2' 5""",736,1809.0
21,T15,T15,Glen Day,80,"2' 5""",740,1782.6670000000001
22,T15,T15,Carlos Franco,78,"2' 5""",725,1771.5
23,T15,T15,Jay Haas,54,"2' 5""",420,1030.083
24,T15,T15,J.J. Henry,102,"2' 5""",991,2382.167
25,T15,T15,Tim Herron,100,"2' 5""",764,1842.5829999999999
26,T15,T15,Glen Hnatiuk,59,"2' 5""",570,1374.8329999999999
27,T15,T15,Zach Johnson,96,"2' 5""",882,2164.0
28,T15,T15,Jonathan Kaye,77,"2' 5""",687,1640.5829999999999
29,T15,T15,Jerry Kelly,101,"2' 5""",823,2020.4170000000001
30,T15,T15,Skip Kendall,80,"2' 5""",766,1836.8329999999999
31,T15,T15,Matt Kuchar,60,"2' 5""",590,1425.25
32,T15,T15,Justin Leonard,78,"2' 5""",567,1354.8329999999999
33,T15,T15,Scott McCarron,78,"2' 5""",651,1569.1670000000001
34,T15,T15,Mark O'Meara,66,"2' 5""",522,1279.833
35,T15,T15,José María Olazábal,55,"2' 5""",412,987.4169999999999
36,T15,T15,Carl Pettersson,109,"2' 5""",991,2429.583
37,T15,T15,Loren Roberts,54,"2' 5""",511,1246.333
38,T15,T15,Jeff Sluman,94,"2' 5""",919,2244.833
39,T15,T15,Steve Stricker,62,"2' 5""",568,1352.4170000000001
40,T15,T15,Hidemichi Tanaka,106,"2' 5""",1019,2468.25
41,T15,T15,Vaughn Taylor,99,"2' 5""",947,2271.25
42,T15,T15,Omar Uresti,84,"2' 5""",797,1957.1670000000001
43,T15,T15,Scott Verplank,87,"2' 5""",695,1687.9170000000001
44,T15,T15,Dean Wilson,86,"2' 5""",847,2081.583
45,T15,T15,Tiger Woods,76,"2' 5""",556,1326.75
46,T47,T47,Robert Allenby,95,"2' 6""",821,2077.667
47,T47,T47,Jason Allred,75,"2' 6""",685,1737.4170000000001
48,T47,T47,Aaron Baddeley,84,"2' 6""",749,1879.9170000000001
49,T47,T47,Brian Bateman,98,"2' 6""",951,2401.75
50,T47,T47,Olin Browne,99,"2' 6""",914,2280.917
51,T47,T47,K.J. Choi,78,"2' 6""",569,1429.4170000000001
52,T47,T47,Ben Curtis,65,"2' 6""",533,1342.8329999999999
53,T47,T47,John Daly,78,"2' 6""",588,1482.0829999999999
54,T47,T47,Marco Dawson,82,"2' 6""",841,2078.333
55,T47,T47,Luke Donald,67,"2' 6""",435,1070.75
56,T47,T47,Sergio Garcia,73,"2' 6""",580,1451.3329999999999
57,T47,T47,Brian Gay,101,"2' 6""",947,2337.583
58,T47,T47,Brent Geiberger,61,"2' 6""",573,1428.5
59,T47,T47,Paul Gow,78,"2' 6""",718,1782.1670000000001
60,T47,T47,Todd Hamilton,94,"2' 6""",793,1960.4170000000001
61,T47,T47,Charles Howell III,95,"2' 6""",789,1993.5829999999999
62,T47,T47,Bradley Hughes,52,"2' 6""",579,1428.3329999999999
63,T47,T47,John Huston,90,"2' 6""",834,2062.5
64,T47,T47,Ryuji Imada,78,"2' 6""",707,1779.0
65,T47,T47,Richard Johnson,50,"2' 6""",481,1218.833
66,T47,T47,Frank Lickliter II,100,"2' 6""",950,2399.917
67,T47,T47,Peter Lonard,85,"2' 6""",730,1830.3329999999999
68,T47,T47,Davis Love III,80,"2' 6""",597,1485.25
69,T47,T47,Shigeki Maruyama,99,"2' 6""",873,2166.167
70,T47,T47,Shaun Micheel,81,"2' 6""",706,1767.8329999999999
71,T47,T47,Jesper Parnevik,84,"2' 6""",696,1720.9170000000001
72,T47,T47,Tom Pernice Jr.,111,"2' 6""",915,2304.5
73,T47,T47,Tim Petrovic,97,"2' 6""",862,2185.333
74,T47,T47,Brett Quigley,96,"2' 6""",895,2249.75
75,T47,T47,Rob Rashell,65,"2' 6""",567,1432.1670000000001
76,T47,T47,Hideto Tanihara,50,"2' 6""",507,1259.917
77,T47,T47,Mario Tiziani,67,"2' 6""",661,1648.25
78,T47,T47,Bob Tway,87,"2' 6""",699,1724.75
