,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
0,1,1,Steve Stricker,62,1.544,1723,1116
1,2,2,Ben Crane,78,1.5530000000000002,2069,1332
2,3,3,Charlie Wi,67,1.5590000000000002,1824,1170
3,4,4,Aaron Baddeley,84,1.56,2303,1476
4,5,5,Brad Faxon,75,1.567,2002,1278
5,6,6,Kevin Na,88,1.5719999999999998,2433,1548
6,7,7,Todd Fischer,99,1.5730000000000002,2747,1746
7,T8,T8,Arjun Atwal,65,1.578,1846,1170
8,T8,T8,Corey Pavin,77,1.578,2073,1314
9,T10,T10,José Coceres,56,1.5819999999999999,1538,972
10,T10,T10,Joe Ogilvie,103,1.5819999999999999,2819,1782
11,T12,T12,Bob Heintz,67,1.5830000000000002,1909,1206
12,T12,T12,José María Olazábal,55,1.5830000000000002,1510,954
13,T12,T12,Jesper Parnevik,84,1.5830000000000002,2336,1476
14,15,15,Len Mattiace,86,1.584,2395,1512
15,16,16,Brian Gay,101,1.585,2824,1782
16,T17,T17,Gavin Coles,70,1.5859999999999999,1998,1260
17,T17,T17,Tim Herron,100,1.5859999999999999,2827,1782
18,T19,T19,Glen Day,80,1.587,2228,1404
19,T19,T19,Chris DiMarco,83,1.587,2143,1350
20,T21,T21,Paul Azinger,66,1.588,1887,1188
21,T21,T21,Mark O'Meara,66,1.588,1887,1188
22,T21,T21,Tom Pernice Jr.,111,1.588,3058,1926
23,24,24,Tim Clark,92,1.589,2488,1566
24,25,25,Justin Bolli,65,1.59,1803,1134
25,T26,T26,Dudley Hart,84,1.5919999999999999,2407,1512
26,T26,T26,Brenden Pappas,51,1.5919999999999999,1461,918
27,T28,T28,J.P. Hayes,63,1.5930000000000002,1806,1134
28,T28,T28,Phillip Price,77,1.5930000000000002,2093,1314
29,T30,T30,Stephen Ames,82,1.594,2266,1422
30,T30,T30,Phil Mickelson,81,1.594,2123,1332
31,T30,T30,Tag Ridings,93,1.594,2611,1638
32,T33,T33,Billy Andrade,83,1.595,2383,1494
33,T33,T33,Hunter Haas,83,1.595,2268,1422
34,T33,T33,Ryuji Imada,78,1.595,2239,1404
35,T33,T33,Patrick Sheehan,114,1.595,3158,1980
36,T33,T33,David Toms,87,1.595,2211,1386
37,T33,T33,Tiger Woods,76,1.595,2124,1332
38,39,39,Daniel Chopra,108,1.597,2989,1872
39,40,40,Shigeki Maruyama,99,1.598,2818,1764
40,T41,T41,Michael Allen,90,1.599,2590,1620
41,T41,T41,Chris Anderson,66,1.599,1785,1116
42,T41,T41,Kirk Triplett,55,1.599,1497,936
43,T41,T41,Dean Wilson,86,1.599,2475,1548
44,45,45,Scott Verplank,87,1.6,2477,1548
45,46,46,Bob Estes,92,1.601,2651,1656
46,T47,T47,Robert Gamez,91,1.6019999999999999,2624,1638
47,T47,T47,Matt Gogel,78,1.6019999999999999,2192,1368
48,T47,T47,Rob Rashell,65,1.6019999999999999,1874,1170
49,T47,T47,Loren Roberts,54,1.6019999999999999,1528,954
50,T51,T51,Richard Johnson,50,1.6030000000000002,1443,900
51,T51,T51,Geoff Ogilvy,97,1.6030000000000002,2683,1674
52,T51,T51,Pat Perez,89,1.6030000000000002,2568,1602
53,T54,T54,Justin Leonard,78,1.604,2165,1350
54,T54,T54,Darron Stiles,78,1.604,2194,1368
55,T56,T56,Hank Kuehne,84,1.605,2311,1440
56,T56,T56,Vaughn Taylor,99,1.605,2861,1782
57,T58,T58,Mark Brooks,72,1.6059999999999999,2081,1296
58,T58,T58,Matt Kuchar,60,1.6059999999999999,1734,1080
59,T58,T58,Mark Wilson,74,1.6059999999999999,2023,1260
60,T61,T61,Carl Pettersson,109,1.607,3037,1890
61,T61,T61,Rory Sabbatini,81,1.607,2256,1404
