,GIR_Putting_-_10-15_RANK THIS WEEK,GIR_Putting_-_10-15_RANK LAST WEEK,GIR_Putting_-_10-15_PLAYER NAME,GIR_Putting_-_10-15_ROUNDS,GIR_Putting_-_10-15_%,GIR_Putting_-_10-15_ATTEMPTS,GIR_Putting_-_10-15_PUTTS MADE
0,1,1,Kevin Sutherland,89,40.83,120,49
1,2,2,Charlie Wi,67,39.67,121,48
2,3,3,Mark Wilson,74,38.85,139,54
3,4,4,Kent Jones,99,38.32,167,64
4,5,5,Padraig Harrington,50,37.66,77,29
5,6,6,Ryan Palmer,101,37.64,178,67
6,7,7,Phillip Price,77,37.01,127,47
7,8,8,Larry Mize,54,37.0,100,37
8,9,9,Brett Quigley,96,36.88,141,52
9,10,10,Len Mattiace,86,36.7,109,40
10,11,11,Chris Smith,93,36.59,164,60
11,12,12,Kirk Triplett,55,36.56,93,34
12,13,13,Brad Faxon,75,36.11,108,39
13,14,14,Billy Andrade,83,36.03,136,49
14,T15,T15,Paul Azinger,66,35.92,103,37
15,T15,T15,Brenden Pappas,51,35.92,103,37
16,T17,T17,Bart Bryant,91,35.71,154,55
17,T17,T17,John Cook,72,35.71,112,40
18,19,19,Scott Gutschewski,86,35.62,146,52
19,20,20,Glen Day,80,35.43,127,45
20,21,21,Jason Bohn,91,35.29,153,54
21,22,22,Hank Kuehne,84,35.0,140,49
22,23,23,Rory Sabbatini,81,34.78,115,40
23,24,24,D.J. Brigman,76,34.58,107,37
24,25,25,Ian Poulter,62,34.48,58,20
25,26,26,Jim Furyk,94,34.38,160,55
26,27,27,Bob Tway,87,34.33,134,46
27,28,28,Stewart Cink,98,34.23,149,51
28,29,29,Woody Austin,100,34.05,185,63
29,30,30,Sergio Garcia,73,34.02,97,33
30,31,31,Steve Allan,102,33.96,159,54
31,32,32,Roland Thatcher,75,33.82,136,46
32,33,33,Dean Wilson,86,33.77,154,52
33,34,34,James Driscoll,73,33.61,119,40
34,35,35,Dudley Hart,84,33.58,137,46
35,T36,T36,Tom Lehman,69,33.33,84,28
36,T36,T36,Bo Van Pelt,112,33.33,180,60
37,38,38,Loren Roberts,54,33.05,118,39
38,39,39,D.A. Points,94,32.91,158,52
39,40,40,Robert Gamez,91,32.74,168,55
40,41,41,Charles Warren,89,32.72,162,53
41,42,42,Mathias Grönberg,60,32.63,95,31
42,43,43,Stephen Ames,82,32.54,126,41
43,44,44,John Elliott,58,32.53,83,27
44,45,45,Tim Herron,100,32.48,157,51
45,46,46,Steve Lowery,100,32.42,182,59
46,47,47,Tag Ridings,93,32.4,179,58
47,48,48,Pat Perez,89,32.39,142,46
48,49,49,Ben Crane,78,32.29,96,31
49,50,50,Duffy Waldorf,86,32.26,124,40
50,51,51,Jesper Parnevik,84,32.2,118,38
51,52,52,Tom Gillis,77,32.11,109,35
52,T53,T53,Todd Fischer,99,32.0,150,48
53,T53,T53,Greg Owen,84,32.0,150,48
54,55,55,Justin Leonard,78,31.93,119,38
55,56,56,José Coceres,56,31.91,94,30
56,57,57,Davis Love III,80,31.9,116,37
57,58,58,Jay Williamson,53,31.87,91,29
58,59,59,John Huston,90,31.72,145,46
59,60,60,Arjun Atwal,65,31.71,123,39
60,61,61,Neal Lancaster,95,31.67,180,57
61,62,62,José María Olazábal,55,31.65,79,25
62,63,63,Mark Hensby,70,31.63,98,31
63,64,64,Retief Goosen,71,31.58,76,24
64,65,65,Brent Geiberger,61,31.48,108,34
65,66,66,John Rollins,97,31.43,140,44
66,67,67,Aaron Baddeley,84,31.39,137,43
67,68,68,Charles Howell III,95,31.3,131,41
68,69,69,Stephen Leaney,89,31.29,147,46
69,70,70,David Toms,87,31.2,125,39
70,71,71,Steve Stricker,62,31.09,119,37
71,72,72,Kenny Perry,82,31.08,148,46
72,73,73,Omar Uresti,84,31.03,145,45
73,74,74,Mark O'Meara,66,30.93,97,30
74,75,75,Brian Gay,101,30.91,165,51
75,76,76,Ryuji Imada,78,30.88,136,42
76,T77,T77,Matt Gogel,78,30.77,130,40
77,T77,T77,Geoff Ogilvy,97,30.77,143,44
78,79,79,Darron Stiles,78,30.72,153,47
79,80,80,K.J. Choi,78,30.69,101,31
80,81,81,Tiger Woods,76,30.65,124,38
81,82,82,Brian Davis,75,30.6,134,41
82,83,83,Lee Westwood,50,30.56,72,22
83,84,84,Hunter Haas,83,30.5,141,43
84,85,85,Corey Pavin,77,30.36,112,34
85,86,86,Will MacKenzie,75,30.33,122,37
86,87,87,John Daly,78,30.28,109,33
87,88,88,Matt Kuchar,60,30.17,116,35
88,89,89,Mario Tiziani,67,30.1,103,31
89,90,90,Patrick Sheehan,114,30.05,183,55
90,T91,T91,J.L. Lewis,98,30.0,130,39
91,T91,T91,Kevin Na,88,30.0,140,42
92,93,93,Tim Petrovic,97,29.86,144,43
93,94,94,Tjaart van der Walt,56,29.59,98,29
94,95,95,Ted Purdy,122,29.57,186,55
95,96,96,Jay Haas,54,29.55,88,26
96,T97,T97,Craig Perks,67,29.52,105,31
97,T97,T97,Adam Scott,72,29.52,105,31
98,T97,T97,Vijay Singh,111,29.52,210,62
99,100,100,Lucas Glover,88,29.41,153,45
100,101,101,J.P. Hayes,63,29.35,92,27
101,102,102,Carl Pettersson,109,29.27,164,48
102,T103,T103,Paul Gow,78,29.2,137,40
103,T103,T103,Rod Pampling,89,29.2,137,40
104,105,105,Tom Byrum,83,29.17,144,42
105,106,106,Steve Flesch,90,29.13,127,37
106,107,107,Jonathan Kaye,77,29.06,117,34
107,T108,T108,Phil Mickelson,81,29.03,93,27
108,T108,T108,Scott Verplank,87,29.03,155,45
109,110,110,Hidemichi Tanaka,106,29.01,162,47
110,111,111,Chad Campbell,95,28.95,152,44
111,112,112,Tim Clark,92,28.89,135,39
112,113,113,Shigeki Maruyama,99,28.83,163,47
113,114,114,Hunter Mahan,103,28.8,184,53
114,115,115,Marco Dawson,82,28.65,171,49
115,T116,T116,Robert Allenby,95,28.57,154,44
116,T116,T116,Brandt Jobe,96,28.57,161,46
117,T116,T116,Kevin Stadler,96,28.57,147,42
118,119,119,Brett Wetterich,76,28.48,158,45
119,120,120,Bob Heintz,67,28.45,116,33
120,121,121,Shaun Micheel,81,28.44,109,31
121,122,122,Rich Beem,66,28.41,88,25
122,123,123,Bradley Hughes,52,28.4,81,23
123,124,124,Harrison Frazar,105,28.31,166,47
124,125,125,Daniel Chopra,108,28.25,177,50
125,126,126,Billy Mayfair,114,28.13,192,54
126,127,127,Joe Ogilvie,103,28.0,150,42
127,128,128,Scott McCarron,78,27.97,118,33
128,129,129,Fred Couples,72,27.91,86,24
129,130,130,Tommy Armour III,103,27.88,208,58
130,131,131,Justin Bolli,65,27.87,122,34
131,132,132,Frank Lickliter II,100,27.65,170,47
132,133,133,J.J. Henry,102,27.61,163,45
133,134,134,Bob Estes,92,27.54,167,46
134,135,135,Todd Hamilton,94,27.48,131,36
135,T136,T136,Steve Elkington,67,27.45,102,28
136,T136,T136,Freddie Jacobson,72,27.45,102,28
137,138,138,Joey Sindelar,104,27.43,226,62
138,139,139,Richard Johnson,50,27.37,95,26
139,140,140,Briny Baird,98,27.33,161,44
140,141,141,Heath Slocum,103,27.27,187,51
141,142,142,Nick Watney,91,27.22,158,43
