,3_Putts_per_Round_RANK THIS WEEK,3_Putts_per_Round_RANK LAST WEEK,3_Putts_per_Round_PLAYER NAME,3_Putts_per_Round_ROUNDS,3_Putts_per_Round_AVG,3_Putts_per_Round_TOTAL 3+ PUTTS,3_Putts_per_Round_TOTAL ROUNDS
0,1,1,Ian Poulter,62,0.07,4,56
1,T2,T2,José Coceres,56,0.06,3,54
2,T2,T2,Fred Couples,72,0.06,4,68
3,T2,T2,Larry Mize,54,0.06,3,50
4,T2,T2,Rory Sabbatini,81,0.06,5,78
5,6,6,Greg Owen,84,0.05,4,80
6,T7,T7,Woody Austin,100,0.04,4,100
7,T7,T7,Mark Brooks,72,0.04,3,72
8,T7,T7,Matt Davidson,53,0.04,2,53
9,T7,T7,Brian Davis,75,0.04,3,75
10,T7,T7,Paul Gow,78,0.04,3,74
11,T7,T7,Scott Hend,75,0.04,3,73
12,T7,T7,Jeff Maggert,79,0.04,3,74
13,T7,T7,Len Mattiace,86,0.04,3,84
14,T7,T7,Kirk Triplett,55,0.04,2,52
15,T7,T7,Bo Van Pelt,112,0.04,5,112
16,T17,T17,Craig Barlow,81,0.03,2,77
17,T17,T17,Rich Beem,66,0.03,2,62
18,T17,T17,D.J. Brigman,76,0.03,2,72
19,T17,T17,Gavin Coles,70,0.03,2,70
20,T17,T17,John Daly,78,0.03,2,76
21,T17,T17,John Huston,90,0.03,3,86
22,T17,T17,Neal Lancaster,95,0.03,3,95
23,T17,T17,Will MacKenzie,75,0.03,2,73
24,T17,T17,Kenny Perry,82,0.03,2,80
25,T17,T17,Kevin Stadler,96,0.03,3,92
26,T17,T17,Hidemichi Tanaka,106,0.03,3,102
27,T28,T28,Robert Allenby,95,0.02,2,89
28,T28,T28,Tommy Armour III,103,0.02,2,103
29,T28,T28,Paul Azinger,66,0.02,1,66
30,T28,T28,Dan Forsman,52,0.02,1,50
31,T28,T28,Bill Glasson,54,0.02,1,52
32,T28,T28,Mathias Grönberg,60,0.02,1,58
33,T28,T28,Jay Haas,54,0.02,1,51
34,T28,T28,Jeff Hart,63,0.02,1,61
35,T28,T28,J.P. Hayes,63,0.02,1,63
36,T28,T28,Tim Herron,100,0.02,2,99
37,T28,T28,Jerry Kelly,101,0.02,2,99
38,T28,T28,Thomas Levet,54,0.02,1,53
39,T28,T28,Peter Lonard,85,0.02,2,84
40,T28,T28,Hunter Mahan,103,0.02,2,101
41,T28,T28,Sean O'Hair,103,0.02,2,99
42,T28,T28,Brenden Pappas,51,0.02,1,51
43,T28,T28,Jesper Parnevik,84,0.02,2,82
44,T28,T28,Dennis Paulson,63,0.02,1,63
45,T28,T28,Pat Perez,89,0.02,2,89
46,T28,T28,Tim Petrovic,97,0.02,2,93
47,T28,T28,Ted Purdy,122,0.02,3,122
48,T28,T28,Tag Ridings,93,0.02,2,91
49,T28,T28,Chris Riley,67,0.02,1,64
50,T28,T28,John Rollins,97,0.02,2,95
51,T28,T28,Jeff Sluman,94,0.02,2,94
52,T28,T28,Steve Stricker,62,0.02,1,62
53,T28,T28,Mario Tiziani,67,0.02,1,65
54,T28,T28,Tjaart van der Walt,56,0.02,1,56
55,T28,T28,Duffy Waldorf,86,0.02,2,82
56,T28,T28,Mike Weir,71,0.02,1,66
57,T28,T28,Lee Westwood,50,0.02,1,48
58,T28,T28,Charlie Wi,67,0.02,1,65
59,T60,T60,Steve Allan,102,0.01,1,98
60,T60,T60,Brian Bateman,98,0.01,1,94
61,T60,T60,Cameron Beckman,96,0.01,1,92
62,T60,T60,Jeff Brehaut,71,0.01,1,67
63,T60,T60,Tom Byrum,83,0.01,1,83
64,T60,T60,Mark Calcavecchia,92,0.01,1,90
65,T60,T60,Chad Campbell,95,0.01,1,92
66,T60,T60,Daniel Chopra,108,0.01,1,104
67,T60,T60,Stewart Cink,98,0.01,1,90
68,T60,T60,Robert Damron,89,0.01,1,89
69,T60,T60,Chris DiMarco,83,0.01,1,75
70,T60,T60,James Driscoll,73,0.01,1,71
71,T60,T60,Joe Durant,81,0.01,1,81
72,T60,T60,Steve Elkington,67,0.01,1,67
73,T60,T60,Todd Fischer,99,0.01,1,97
74,T60,T60,Steve Flesch,90,0.01,1,85
75,T60,T60,Carlos Franco,78,0.01,1,76
76,T60,T60,Robert Gamez,91,0.01,1,91
77,T60,T60,Sergio Garcia,73,0.01,1,68
78,T60,T60,Tom Gillis,77,0.01,1,75
79,T60,T60,Dudley Hart,84,0.01,1,84
80,T60,T60,Bob Heintz,67,0.01,1,67
81,T60,T60,Charles Howell III,95,0.01,1,90
82,T60,T60,Freddie Jacobson,72,0.01,1,71
83,T60,T60,Jonathan Kaye,77,0.01,1,74
84,T60,T60,Skip Kendall,80,0.01,1,78
85,T60,T60,Stephen Leaney,89,0.01,1,86
86,T60,T60,J.L. Lewis,98,0.01,1,98
87,T60,T60,Michael Long,72,0.01,1,70
88,T60,T60,Davis Love III,80,0.01,1,75
89,T60,T60,Steve Lowery,100,0.01,1,96
90,T60,T60,Shigeki Maruyama,99,0.01,1,98
91,T60,T60,Billy Mayfair,114,0.01,1,110
92,T60,T60,Rocco Mediate,73,0.01,1,73
93,T60,T60,Phil Mickelson,81,0.01,1,74
94,T60,T60,Kevin Na,88,0.01,1,86
95,T60,T60,Joe Ogilvie,103,0.01,1,99
96,T60,T60,Ryan Palmer,101,0.01,1,97
97,T60,T60,Rod Pampling,89,0.01,1,84
98,T60,T60,Corey Pavin,77,0.01,1,73
99,T60,T60,Tom Pernice Jr.,111,0.01,1,107
100,T60,T60,Carl Pettersson,109,0.01,1,105
101,T60,T60,Brett Quigley,96,0.01,1,92
102,T60,T60,Justin Rose,99,0.01,1,95
103,T60,T60,Adam Scott,72,0.01,1,68
104,T60,T60,John Senden,101,0.01,1,99
105,T60,T60,Patrick Sheehan,114,0.01,1,110
106,T60,T60,Joey Sindelar,104,0.01,1,104
107,T60,T60,Vijay Singh,111,0.01,1,109
108,T60,T60,Heath Slocum,103,0.01,1,99
109,T60,T60,Kevin Sutherland,89,0.01,1,87
110,T60,T60,D.J. Trahan,81,0.01,1,77
111,T60,T60,Scott Verplank,87,0.01,1,86
112,T60,T60,Tiger Woods,76,0.01,1,74
