,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
0,1,1,Richard Johnson,50,102.76,617,31,603
1,2,2,Brad Faxon,75,102.38,756,33,741
2,T3,T3,Phil Mickelson,81,101.78,673,32,653
3,T3,T3,Bob Tway,87,101.78,900,40,876
4,5,5,Stewart Cink,98,101.76,964,35,946
5,6,6,Dudley Hart,84,101.75,972,40,949
6,7,7,Gavin Coles,70,101.64,856,40,830
7,8,8,Matt Gogel,78,101.61,934,40,909
8,9,9,Jeff Brehaut,71,101.6,877,35,856
9,10,10,Scott McCarron,78,101.54,845,39,819
10,11,11,Freddie Jacobson,72,101.5,732,30,713
11,12,12,Tom Gillis,77,101.47,954,40,928
12,13,13,John Cook,72,101.37,804,27,788
13,14,14,Patrick Sheehan,114,101.36,1319,55,1282
14,15,15,Tiger Woods,76,101.31,762,29,743
15,16,16,Mario Tiziani,67,101.3,848,31,828
16,17,17,Arron Oberholser,65,101.27,711,29,691
17,T18,T18,Chris Anderson,66,101.23,812,34,788
18,T18,T18,Hunter Mahan,103,101.23,1298,51,1263
19,20,20,Zach Johnson,96,101.22,1145,40,1119
20,21,21,David Toms,87,101.2,833,34,809
21,22,22,Bart Bryant,91,101.15,1042,38,1016
22,23,23,Steve Stricker,62,101.14,788,24,773
23,24,24,Dan Forsman,52,101.07,657,39,625
24,T25,T25,Tom Pernice Jr.,111,101.06,1227,47,1193
25,T25,T25,Loren Roberts,54,101.06,663,23,647
26,27,27,Ian Poulter,62,101.04,483,14,474
27,28,28,Ryan Palmer,101,101.03,1068,39,1040
28,29,29,Steve Elkington,67,101.02,787,29,766
29,30,30,Steve Lowery,100,100.99,1210,50,1172
30,31,31,Chad Campbell,95,100.97,1026,43,993
31,32,32,Bernhard Langer,67,100.94,641,26,621
32,T33,T33,Ben Crane,78,100.93,864,34,838
33,T33,T33,Tim Herron,100,100.93,1070,45,1035
34,35,35,Phillip Price,77,100.91,879,32,855
35,36,36,Jesper Parnevik,84,100.87,924,32,900
36,37,37,Kent Jones,99,100.84,1195,48,1157
37,38,38,Olin Browne,99,100.79,1140,38,1111
38,39,39,Brett Quigley,96,100.78,1160,39,1130
39,40,40,Brenden Pappas,51,100.75,671,29,647
40,41,41,Len Mattiace,86,100.7,999,42,964
41,42,42,K.J. Choi,78,100.67,750,28,727
42,43,43,Jerry Kelly,101,100.65,1073,33,1047
43,44,44,Brian Gay,101,100.63,1270,40,1238
44,45,45,Bob Estes,92,100.62,1126,37,1096
45,T46,T46,Stuart Appleby,84,100.57,883,36,852
46,T46,T46,Tom Byrum,83,100.57,1044,41,1009
47,48,48,Kevin Stadler,96,100.52,1163,47,1122
48,T49,T49,Corey Pavin,77,100.47,857,32,829
49,T49,T49,Bo Van Pelt,112,100.47,1285,51,1240
50,51,51,Mark O'Meara,66,100.43,702,27,678
51,T52,T52,Jim Furyk,94,100.41,971,32,943
52,T52,T52,Brent Geiberger,61,100.41,724,22,705
53,T52,T52,Vijay Singh,111,100.41,1208,33,1180
54,55,55,Charlie Wi,67,100.38,800,25,778
55,T56,T56,Arjun Atwal,65,100.37,816,33,786
56,T56,T56,Dean Wilson,86,100.37,1079,33,1050
57,58,58,Fred Funk,102,100.35,1131,32,1103
58,T59,T59,Michael Long,72,100.33,917,32,888
59,T59,T59,Jeff Sluman,94,100.33,1204,42,1166
60,T61,T61,Aaron Baddeley,84,100.3,1012,38,977
61,T61,T61,Charles Howell III,95,100.3,1008,39,972
62,63,63,Michael Allen,90,100.28,1090,33,1060
63,64,64,J.L. Lewis,98,100.27,1107,44,1066
64,65,65,Shaun Micheel,81,100.22,899,35,866
65,66,66,Geoff Ogilvy,97,100.2,1022,32,992
66,T67,T67,Sean O'Hair,103,100.17,1171,44,1129
67,T67,T67,Kirk Triplett,55,100.17,602,16,587
68,69,69,John Senden,101,100.16,1285,42,1245
69,T70,T70,Joey Snyder III,102,100.15,1306,46,1262
70,T70,T70,Mike Weir,71,100.15,667,23,645
71,T70,T70,Jay Williamson,53,100.15,654,24,631
72,73,73,Heath Slocum,103,100.08,1253,40,1214
73,T74,T74,Jonathan Byrd,103,100.0,1331,47,1284
74,T74,T74,Luke Donald,67,100.0,563,13,550
75,T74,T74,James Driscoll,73,100.0,886,26,860
76,T74,T74,Harrison Frazar,105,100.0,1295,47,1248
77,T74,T74,Retief Goosen,71,100.0,617,14,603
78,T74,T74,Mark Hensby,70,100.0,693,20,673
79,T74,T74,Lee Janzen,75,100.0,835,32,803
80,T74,T74,Shigeki Maruyama,99,100.0,1177,31,1146
81,T74,T74,Larry Mize,54,100.0,620,19,601
82,T74,T74,Tag Ridings,93,100.0,1133,32,1101
83,T74,T74,Nick Watney,91,100.0,1110,36,1074
84,85,85,Robert Gamez,91,99.91,1096,31,1064
85,T86,T86,Hunter Haas,83,99.9,1010,36,973
86,T86,T86,Brendan Jones,81,99.9,1004,32,971
87,T86,T86,Peter Lonard,85,99.9,955,34,920
88,89,89,Kenny Perry,82,99.88,835,26,808
89,90,90,Tjaart van der Walt,56,99.87,757,22,734
90,T91,T91,Briny Baird,98,99.84,1249,43,1204
91,T91,T91,J.J. Henry,102,99.84,1268,39,1227
92,93,93,Padraig Harrington,50,99.82,545,16,528
93,94,94,Todd Hamilton,94,99.81,1052,36,1014
94,95,95,Chris Smith,93,99.76,1238,47,1188
95,96,96,Mathias Grönberg,60,99.75,804,27,775
96,T97,T97,John Elliott,58,99.73,729,25,702
97,T97,T97,Lucas Glover,88,99.73,1093,35,1055
