,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
0,1,1,Patrick Sheehan,114,343,699,49.1
1,T2,T2,Brian Gay,101,342,701,48.8
2,T2,T2,Joey Sindelar,104,342,666,51.4
3,4,4,Tom Pernice Jr.,111,339,650,52.2
4,5,5,Carl Pettersson,109,336,673,49.9
5,T6,T6,Todd Fischer,99,335,656,51.1
6,T6,T6,Steve Lowery,100,335,631,53.1
7,8,8,Daniel Chopra,108,334,679,49.2
8,9,9,Hidemichi Tanaka,106,333,655,50.8
9,T10,T10,Jonathan Byrd,103,329,650,50.6
10,T10,T10,Ted Purdy,122,329,652,50.5
11,12,12,Shigeki Maruyama,99,321,635,50.6
12,T13,T13,Hunter Mahan,103,318,644,49.4
13,T13,T13,Vijay Singh,111,318,642,49.5
14,15,15,Cameron Beckman,96,317,607,52.2
15,16,16,Vaughn Taylor,99,314,637,49.3
16,17,17,Harrison Frazar,105,313,656,47.7
17,T18,T18,Steve Allan,102,312,622,50.2
18,T18,T18,Bo Van Pelt,112,312,653,47.8
19,20,20,Woody Austin,100,311,645,48.2
20,T21,T21,Glen Day,80,307,562,54.6
21,T21,T21,Justin Rose,99,307,613,50.1
22,T23,T23,Michael Allen,90,306,554,55.2
23,T23,T23,Kevin Na,88,306,610,50.2
24,25,25,Neal Lancaster,95,302,605,49.9
25,26,26,Tag Ridings,93,301,628,47.9
26,27,27,Bob Estes,92,300,575,52.2
27,28,28,John Huston,90,299,585,51.1
28,T29,T29,Tim Herron,100,298,607,49.1
29,T29,T29,Joe Ogilvie,103,298,620,48.1
30,T29,T29,John Senden,101,298,576,51.7
31,T32,T32,Tommy Armour III,103,297,593,50.1
32,T32,T32,Brett Quigley,96,297,605,49.1
33,T32,T32,Heath Slocum,103,297,615,48.3
34,35,35,Billy Mayfair,114,296,659,44.9
35,36,36,Jeff Sluman,94,293,585,50.1
36,37,37,Pat Perez,89,291,560,52.0
37,38,38,Robert Gamez,91,288,593,48.6
38,39,39,Kevin Stadler,96,287,575,49.9
39,T40,T40,Mark Calcavecchia,92,285,555,51.4
40,T40,T40,John Rollins,97,285,546,52.2
41,42,42,Sean O'Hair,103,284,597,47.6
42,T43,T43,Aaron Baddeley,84,283,585,48.4
43,T43,T43,Brian Bateman,98,283,562,50.4
44,T45,T45,Robert Damron,89,282,550,51.3
45,T45,T45,J.J. Henry,102,282,554,50.9
46,T45,T45,Zach Johnson,96,282,592,47.6
47,48,48,Jason Bohn,91,281,561,50.1
48,49,49,Kent Jones,99,280,626,44.7
49,50,50,Nick Watney,91,276,550,50.2
50,51,51,D.A. Points,94,275,556,49.5
51,T52,T52,Jerry Kelly,101,274,527,52.0
52,T52,T52,Kevin Sutherland,89,274,509,53.8
53,T54,T54,Frank Lickliter II,100,271,571,47.5
54,T54,T54,Geoff Ogilvy,97,271,551,49.2
