,GIR_Putting_Avg_-__35_RANK THIS WEEK,GIR_Putting_Avg_-__35_RANK LAST WEEK,GIR_Putting_Avg_-__35_PLAYER NAME,GIR_Putting_Avg_-__35_ROUNDS,GIR_Putting_Avg_-__35_% MADE,GIR_Putting_Avg_-__35_ATTEMPTS,GIR_Putting_Avg_-__35_PUTTS MADE
0,1,1,Chris Anderson,66,1.14,105,12.0
1,2,2,Bernhard Langer,67,0.82,98,8.0
2,3,3,Joe Ogilvie,103,0.79,127,10.0
3,4,4,Tim Clark,92,0.74,94,7.0
4,T5,T5,Matt Gogel,78,0.72,139,10.0
5,T5,T5,Freddie Jacobson,72,0.72,97,7.0
6,7,7,K.J. Choi,78,0.71,112,8.0
7,8,8,Brenden Pappas,51,0.7,114,8.0
8,9,9,Bob Tway,87,0.68,148,10.0
9,10,10,Charles Howell III,95,0.67,178,12.0
10,11,11,Steve Elkington,67,0.65,153,10.0
11,12,12,Larry Mize,54,0.64,94,6.0
12,T13,T13,Brian Davis,75,0.63,127,8.0
13,T13,T13,Lee Westwood,50,0.63,80,5.0
14,15,15,Tom Pernice Jr.,111,0.62,178,11.0
15,16,16,John Huston,90,0.61,148,9.0
16,T17,T17,Stephen Ames,82,0.6,117,7.0
17,T17,T17,Skip Kendall,80,0.6,133,8.0
18,T17,T17,Ryan Palmer,101,0.6,151,9.0
19,T20,T20,Hunter Haas,83,0.59,135,8.0
20,T20,T20,Richard Johnson,50,0.59,101,6.0
21,T22,T22,Dan Forsman,52,0.58,104,6.0
22,T22,T22,Robert Gamez,91,0.58,137,8.0
23,T22,T22,Tom Gillis,77,0.58,138,8.0
24,T22,T22,Rob Rashell,65,0.58,104,6.0
25,T26,T26,Paul Claxton,79,0.57,140,8.0
26,T26,T26,Sean O'Hair,103,0.57,194,11.0
27,T26,T26,Craig Perks,67,0.57,123,7.0
28,T29,T29,John Cook,72,0.56,107,6.0
29,T29,T29,Ben Crane,78,0.56,142,8.0
30,T29,T29,Kent Jones,99,0.56,177,10.0
31,T29,T29,Hank Kuehne,84,0.56,142,8.0
32,T29,T29,Michael Long,72,0.56,162,9.0
33,T34,T34,Gavin Coles,70,0.55,127,7.0
34,T34,T34,Bob Estes,92,0.55,183,10.0
35,T34,T34,Stephen Leaney,89,0.55,182,10.0
36,T37,T37,Billy Andrade,83,0.54,148,8.0
37,T37,T37,Woody Austin,100,0.54,167,9.0
38,T37,T37,Briny Baird,98,0.54,223,12.0
39,T37,T37,Danny Briggs,70,0.54,129,7.0
40,T41,T41,Rich Beem,66,0.53,94,5.0
41,T41,T41,Brian Gay,101,0.53,169,9.0
42,T41,T41,Peter Lonard,85,0.53,114,6.0
43,T41,T41,Vaughn Taylor,99,0.53,151,8.0
44,T41,T41,David Toms,87,0.53,113,6.0
45,T46,T46,Harrison Frazar,105,0.52,194,10.0
46,T46,T46,Tim Herron,100,0.52,135,7.0
47,T48,T48,Corey Pavin,77,0.51,118,6.0
48,T48,T48,Jay Williamson,53,0.51,98,5.0
49,T50,T50,Alex Cejka,84,0.5,100,5.0
50,T50,T50,Fred Funk,102,0.5,159,8.0
51,T50,T50,J.L. Lewis,98,0.5,179,9.0
52,T50,T50,Scott McCarron,78,0.5,141,7.0
53,54,54,Charles Warren,89,0.49,184,9.0
54,T55,T55,Glen Hnatiuk,59,0.48,105,5.0
55,T55,T55,Steve Lowery,100,0.48,147,7.0
56,T55,T55,Mario Tiziani,67,0.48,124,6.0
57,T55,T55,D.J. Trahan,81,0.48,147,7.0
58,T59,T59,Bart Bryant,91,0.47,191,9.0
59,T59,T59,Bob Heintz,67,0.47,106,5.0
60,T59,T59,Nick Watney,91,0.47,192,9.0
61,T62,T62,J.P. Hayes,63,0.46,108,5.0
62,T62,T62,Jesper Parnevik,84,0.46,153,7.0
63,T62,T62,Justin Rose,99,0.46,173,8.0
64,T62,T62,Joey Snyder III,102,0.46,216,10.0
65,T66,T66,Aaron Baddeley,84,0.45,154,7.0
66,T66,T66,John Elliott,58,0.45,111,5.0
67,T68,T68,Phillip Price,77,0.44,114,5.0
68,T68,T68,Heath Slocum,103,0.44,181,8.0
69,T70,T70,Stewart Cink,98,0.43,139,6.0
70,T70,T70,Jim Furyk,94,0.43,139,6.0
71,T70,T70,Ryuji Imada,78,0.43,140,6.0
72,T70,T70,Brandt Jobe,96,0.43,164,7.0
73,T70,T70,Justin Leonard,78,0.43,94,4.0
74,T75,T75,James Driscoll,73,0.42,143,6.0
75,T75,T75,Matt Kuchar,60,0.42,118,5.0
76,T75,T75,Thomas Levet,54,0.42,72,3.0
77,T75,T75,Shigeki Maruyama,99,0.42,165,7.0
78,T79,T79,Michael Allen,90,0.41,145,6.0
79,T79,T79,Chad Campbell,95,0.41,170,7.0
80,T79,T79,Jerry Kelly,101,0.41,148,6.0
81,T79,T79,D.A. Points,94,0.41,171,7.0
82,T79,T79,Patrick Sheehan,114,0.41,193,8.0
83,T79,T79,Dean Wilson,86,0.41,171,7.0
84,T85,T85,Chris DiMarco,83,0.4,99,4.0
85,T85,T85,Tag Ridings,93,0.4,175,7.0
86,T87,T87,Jeff Brehaut,71,0.39,128,5.0
87,T87,T87,Jay Haas,54,0.39,76,3.0
88,T87,T87,Dudley Hart,84,0.39,153,6.0
89,T90,T90,Doug Barron,70,0.38,105,4.0
90,T90,T90,Jonathan Byrd,103,0.38,213,8.0
91,T90,T90,Brad Faxon,75,0.38,104,4.0
92,T90,T90,Padraig Harrington,50,0.38,79,3.0
93,T90,T90,Jeff Sluman,94,0.38,157,6.0
94,T90,T90,Charlie Wi,67,0.38,104,4.0
95,T96,T96,Arjun Atwal,65,0.37,109,4.0
96,T96,T96,Matt Davidson,53,0.37,107,4.0
97,T96,T96,Scott Hend,75,0.37,136,5.0
98,T96,T96,Dennis Paulson,63,0.37,135,5.0
99,T96,T96,Kenny Perry,82,0.37,135,5.0
100,T96,T96,Steve Stricker,62,0.37,107,4.0
101,T102,T102,Paul Azinger,66,0.36,110,4.0
102,T102,T102,Brian Bateman,98,0.36,197,7.0
103,T102,T102,Cameron Beckman,96,0.36,166,6.0
104,T102,T102,D.J. Brigman,76,0.36,139,5.0
105,T102,T102,Lee Janzen,75,0.36,137,5.0
106,T107,T107,Robert Damron,89,0.35,143,5.0
107,T107,T107,Marco Dawson,82,0.35,141,5.0
108,T107,T107,Hunter Mahan,103,0.35,170,6.0
109,T107,T107,Kevin Na,88,0.35,143,5.0
110,T107,T107,Carl Pettersson,109,0.35,200,7.0
111,T112,T112,Brendan Jones,81,0.34,149,5.0
112,T112,T112,Shaun Micheel,81,0.34,147,5.0
113,T112,T112,Rory Sabbatini,81,0.34,117,4.0
114,T112,T112,Mike Weir,71,0.34,87,3.0
115,T116,T116,Will MacKenzie,75,0.33,152,5.0
116,T116,T116,John Senden,101,0.33,245,8.0
117,T118,T118,Daniel Chopra,108,0.32,189,6.0
118,T118,T118,Zach Johnson,96,0.32,154,5.0
119,T118,T118,Brett Quigley,96,0.32,185,6.0
120,T121,T121,Steve Allan,102,0.31,194,6.0
121,T121,T121,Justin Bolli,65,0.31,98,3.0
122,T121,T121,J.J. Henry,102,0.31,191,6.0
123,T121,T121,Neal Lancaster,95,0.31,196,6.0
124,T121,T121,Mark O'Meara,66,0.31,98,3.0
125,T121,T121,John Rollins,97,0.31,194,6.0
126,T127,T127,Ben Curtis,65,0.3,100,3.0
127,T127,T127,Mark Hensby,70,0.3,99,3.0
128,T129,T129,Jason Allred,75,0.29,140,4.0
129,T129,T129,Tommy Armour III,103,0.29,173,5.0
130,T129,T129,David Hearn,68,0.29,136,4.0
131,T129,T129,Greg Owen,84,0.29,137,4.0
132,T129,T129,Joey Sindelar,104,0.29,175,5.0
133,T134,T134,Carlos Franco,78,0.28,145,4.0
134,T134,T134,Franklin Langham,91,0.28,144,4.0
135,T134,T134,Pat Perez,89,0.28,144,4.0
136,T134,T134,Tim Petrovic,97,0.28,176,5.0
137,T134,T134,Kevin Sutherland,89,0.28,215,6.0
138,T134,T134,Roland Thatcher,75,0.28,145,4.0
139,T134,T134,Bo Van Pelt,112,0.28,215,6.0
140,T141,T141,Lucas Glover,88,0.27,188,5.0
141,T141,T141,Steve Jones,56,0.27,112,3.0
142,T141,T141,Phil Mickelson,81,0.27,113,3.0
143,T141,T141,Duffy Waldorf,86,0.27,150,4.0
144,T145,T145,Mark Brooks,72,0.26,114,3.0
145,T145,T145,Brent Geiberger,61,0.26,116,3.0
146,T145,T145,Jeff Hart,63,0.26,114,3.0
147,T145,T145,Rod Pampling,89,0.26,154,4.0
148,T145,T145,Tiger Woods,76,0.26,114,3.0
149,T150,T150,Mark Calcavecchia,92,0.25,157,4.0
150,T150,T150,Sergio Garcia,73,0.25,118,3.0
151,T150,T150,Arron Oberholser,65,0.25,122,3.0
152,T150,T150,Ted Purdy,122,0.25,239,6.0
153,T154,T154,Jason Bohn,91,0.24,169,4.0
154,T154,T154,Jonathan Kaye,77,0.24,126,3.0
155,T154,T154,Tom Lehman,69,0.24,125,3.0
156,T154,T154,Jeff Maggert,79,0.24,123,3.0
157,T154,T154,Billy Mayfair,114,0.24,251,6.0
158,T154,T154,Darron Stiles,78,0.24,127,3.0
159,T154,T154,Kirk Triplett,55,0.24,85,2.0
160,161,161,Craig Barlow,81,0.23,133,3.0
161,T162,T162,Frank Lickliter II,100,0.22,180,4.0
162,T162,T162,Len Mattiace,86,0.22,179,4.0
163,T164,T164,Glen Day,80,0.21,144,3.0
164,T164,T164,Bill Glasson,54,0.21,94,2.0
165,T164,T164,Todd Hamilton,94,0.21,145,3.0
166,T167,T167,Tom Byrum,83,0.2,148,3.0
167,T167,T167,Andrew Magee,82,0.2,149,3.0
168,T169,T169,Jim Carter,62,0.19,108,2.0
169,T169,T169,John Daly,78,0.19,107,2.0
170,T171,T171,Chris Riley,67,0.18,57,1.0
171,T171,T171,Adam Scott,72,0.18,111,2.0
172,T173,T173,Steve Flesch,90,0.17,117,2.0
173,T173,T173,Paul Gow,78,0.17,118,2.0
174,T173,T173,Vijay Singh,111,0.17,179,3.0
175,T176,T176,Mathias Grönberg,60,0.16,125,2.0
176,T176,T176,Davis Love III,80,0.16,122,2.0
177,T176,T176,Tjaart van der Walt,56,0.16,126,2.0
178,T176,T176,Mark Wilson,74,0.16,127,2.0
179,T180,T180,Stuart Appleby,84,0.15,132,2.0
180,T180,T180,Hidemichi Tanaka,106,0.15,201,3.0
181,T180,T180,Brett Wetterich,76,0.15,132,2.0
182,183,183,Joe Durant,81,0.14,147,2.0
183,184,184,Chris Smith,93,0.13,231,3.0
184,T185,T185,José Coceres,56,0.12,86,1.0
185,T185,T185,Fred Couples,72,0.12,84,1.0
186,T185,T185,Todd Fischer,99,0.12,171,2.0
187,T185,T185,José María Olazábal,55,0.12,81,1.0
188,T185,T185,Kevin Stadler,96,0.12,163,2.0
189,T190,T190,Luke Donald,67,0.11,94,1.0
190,T190,T190,Loren Roberts,54,0.11,92,1.0
191,192,192,Bradley Hughes,52,0.1,103,1.0
192,193,193,Scott Verplank,87,0.09,115,1.0
193,194,194,Rocco Mediate,73,0.08,127,1.0
194,T195,T195,Robert Allenby,95,0.07,134,1.0
195,T195,T195,Geoff Ogilvy,97,0.07,146,1.0
196,T195,T195,Omar Uresti,84,0.07,136,1.0
197,198,198,Olin Browne,99,0.06,154,1.0
198,T199,T199,Retief Goosen,71,0.0,90,
199,T199,T199,Scott Gutschewski,86,0.0,136,
200,T199,T199,Ian Poulter,62,0.0,71,
201,T199,T199,Hideto Tanihara,50,0.0,89,
