,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
0,1,1,Steve Elkington,67,"66' 4""",66.333,1,66,66
1,2,2,Chris DiMarco,83,"43' 4""",86.583,2,61,26
2,3,3,Hidemichi Tanaka,106,"41' 9""",83.5,2,77,7
3,4,4,Robert Gamez,91,"38' 8""",77.25,2,69,9
4,5,5,J.L. Lewis,98,"36' 6""",72.917,2,62,11
5,6,6,Stephen Ames,82,"34' 3""",68.417,2,47,21
6,7,7,Billy Andrade,83,"32' 0""",95.917,3,56,1
7,8,8,Robert Damron,89,"31' 6""",31.5,1,32,32
8,9,9,Bernhard Langer,67,"31' 2""",93.417,3,52,15
9,10,10,Dean Wilson,86,"30' 1""",90.167,3,44,17
10,T11,T11,Steve Jones,56,"29' 7""",59.167,2,40,19
11,T11,T11,Ryan Palmer,101,"29' 7""",118.167,4,62,15
12,13,13,Steve Lowery,100,"29' 1""",232.583,8,53,11
13,14,14,Marco Dawson,82,"28' 10""",86.583,3,55,6
14,15,15,Hank Kuehne,84,"28' 8""",114.667,4,60,6
15,16,16,Steve Allan,102,"27' 7""",165.5,6,60,9
16,17,17,Jeff Hart,63,"26' 9""",53.5,2,37,16
17,18,18,Stephen Leaney,89,"26' 8""",53.333,2,28,26
18,19,19,Brenden Pappas,51,"26' 5""",290.41700000000003,11,75,7
19,20,20,Carl Pettersson,109,"26' 3""",78.75,3,48,7
20,21,21,Scott McCarron,78,"26' 2""",130.833,5,38,8
21,22,22,Mario Tiziani,67,"25' 9""",102.833,4,47,7
22,23,23,James Driscoll,73,"25' 6""",153.083,6,66,2
23,T24,T24,Freddie Jacobson,72,"25' 4""",101.167,4,42,19
24,T24,T24,Mark Wilson,74,"25' 4""",50.583,2,30,21
25,26,26,Charles Warren,89,"25' 3""",126.167,5,50,3
26,27,27,Brandt Jobe,96,"25' 2""",125.833,5,48,8
27,T28,T28,Mark Calcavecchia,92,"25' 1""",100.417,4,38,7
28,T28,T28,Padraig Harrington,50,"25' 1""",100.333,4,66,10
29,30,30,Jim Furyk,94,"24' 10""",74.5,3,37,14
30,31,31,Todd Hamilton,94,"24' 0""",47.917,2,34,14
31,32,32,John Daly,78,"23' 9""",71.167,3,38,14
32,33,33,Tim Clark,92,"23' 7""",70.667,3,29,15
33,34,34,Scott Hend,75,"23' 1""",115.583,5,43,7
34,T35,T35,Mark Brooks,72,"22' 10""",22.833000000000002,1,23,23
35,T35,T35,Fred Funk,102,"22' 10""",45.583,2,36,10
36,37,37,Len Mattiace,86,"22' 8""",68.0,3,32,13
37,T38,T38,K.J. Choi,78,"22' 6""",90.0,4,44,7
38,T38,T38,Joe Ogilvie,103,"22' 6""",134.917,6,58,3
