,Total_1_Putts_-__25_RANK THIS WEEK,Total_1_Putts_-__25_RANK LAST WEEK,Total_1_Putts_-__25_PLAYER NAME,Total_1_Putts_-__25_ROUNDS,Total_1_Putts_-__25_TOTAL,Total_1_Putts_-__25_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-__25_PCT OF ALL 1-PUTTS
0,1,1,Kent Jones,99,32,626,5.1
1,T2,T2,Briny Baird,98,31,586,5.3
2,T2,T2,Bo Van Pelt,112,31,653,4.7
3,4,4,Tim Herron,100,30,607,4.9
4,T5,T5,Harrison Frazar,105,28,656,4.3
5,T5,T5,Joey Snyder III,102,28,565,5.0
6,T7,T7,Tom Pernice Jr.,111,27,650,4.2
7,T7,T7,Justin Rose,99,27,613,4.4
8,T7,T7,Patrick Sheehan,114,27,699,3.9
9,T10,T10,Brian Bateman,98,26,562,4.6
10,T10,T10,Sean O'Hair,103,26,597,4.4
11,T12,T12,Gavin Coles,70,25,460,5.4
12,T12,T12,Hunter Haas,83,25,523,4.8
13,T12,T12,J.L. Lewis,98,25,578,4.3
14,T12,T12,Hunter Mahan,103,25,644,3.9
15,T12,T12,Kevin Stadler,96,25,575,4.3
16,T12,T12,Charles Warren,89,25,533,4.7
17,T18,T18,Steve Lowery,100,24,631,3.8
18,T18,T18,Len Mattiace,86,24,574,4.2
19,T18,T18,Heath Slocum,103,24,615,3.9
20,T18,T18,Chris Smith,93,24,507,4.7
21,T22,T22,Steve Allan,102,23,622,3.7
22,T22,T22,Chad Campbell,95,23,509,4.5
23,T22,T22,Tom Gillis,77,23,465,4.9
24,T22,T22,Billy Mayfair,114,23,659,3.5
25,T22,T22,Scott McCarron,78,23,424,5.4
26,T22,T22,Joe Ogilvie,103,23,620,3.7
27,T28,T28,Chris Anderson,66,22,421,5.2
28,T28,T28,Woody Austin,100,22,645,3.4
29,T28,T28,Bart Bryant,91,22,521,4.2
30,T28,T28,Dan Forsman,52,22,329,6.7
31,T28,T28,Brian Gay,101,22,701,3.1
32,T28,T28,Brett Quigley,96,22,605,3.6
33,T28,T28,John Senden,101,22,576,3.8
34,T28,T28,Joey Sindelar,104,22,666,3.3
35,T28,T28,Bob Tway,87,22,478,4.6
36,T37,T37,Jonathan Byrd,103,21,650,3.2
37,T37,T37,Steve Elkington,67,21,354,5.9
38,T37,T37,J.J. Henry,102,21,554,3.8
39,T37,T37,Charles Howell III,95,21,493,4.3
40,T37,T37,Frank Lickliter II,100,21,571,3.7
41,T37,T37,Shaun Micheel,81,21,435,4.8
42,T37,T37,Ryan Palmer,101,21,578,3.6
43,T37,T37,Jesper Parnevik,84,21,492,4.3
44,T37,T37,Carl Pettersson,109,21,673,3.1
45,T37,T37,D.A. Points,94,21,556,3.8
46,T37,T37,Nick Watney,91,21,550,3.8
47,T48,T48,Stuart Appleby,84,20,440,4.5
48,T48,T48,Cameron Beckman,96,20,607,3.3
49,T48,T48,Jeff Brehaut,71,20,409,4.9
50,T48,T48,Paul Claxton,79,20,436,4.6
51,T48,T48,Matt Gogel,78,20,469,4.3
52,T48,T48,Bob Heintz,67,20,478,4.2
53,T48,T48,Zach Johnson,96,20,592,3.4
54,T48,T48,Jerry Kelly,101,20,527,3.8
55,T48,T48,Stephen Leaney,89,20,502,4.0
56,T48,T48,Michael Long,72,20,411,4.9
57,T48,T48,Phillip Price,77,20,470,4.3
58,T48,T48,Ted Purdy,122,20,652,3.1
59,T48,T48,Hidemichi Tanaka,106,20,655,3.1
60,T48,T48,Charlie Wi,67,20,476,4.2
61,T62,T62,Michael Allen,90,19,554,3.4
62,T62,T62,Arjun Atwal,65,19,456,4.2
63,T62,T62,Danny Briggs,70,19,412,4.6
64,T62,T62,Marco Dawson,82,19,552,3.4
65,T62,T62,Fred Funk,102,19,563,3.4
66,T62,T62,Robert Gamez,91,19,593,3.2
67,T62,T62,John Huston,90,19,585,3.2
68,T62,T62,Freddie Jacobson,72,19,413,4.6
69,T62,T62,Kevin Na,88,19,610,3.1
70,T62,T62,Geoff Ogilvy,97,19,551,3.4
71,T62,T62,Rod Pampling,89,19,485,3.9
72,T62,T62,Tim Petrovic,97,19,546,3.5
73,T62,T62,Jeff Sluman,94,19,585,3.2
74,T62,T62,David Toms,87,19,455,4.2
75,T62,T62,D.J. Trahan,81,19,461,4.1
76,T62,T62,Dean Wilson,86,19,560,3.4
77,T78,T78,Stephen Ames,82,18,461,3.9
78,T78,T78,Tommy Armour III,103,18,593,3.0
79,T78,T78,Tom Byrum,83,18,510,3.5
80,T78,T78,Tim Clark,92,18,478,3.8
81,T78,T78,James Driscoll,73,18,448,4.0
82,T78,T78,Bob Estes,92,18,575,3.1
83,T78,T78,Lucas Glover,88,18,532,3.4
84,T78,T78,Dudley Hart,84,18,526,3.4
85,T78,T78,David Hearn,68,18,384,4.7
86,T78,T78,Brandt Jobe,96,18,563,3.2
87,T78,T78,Hank Kuehne,84,18,538,3.3
88,T78,T78,Bernhard Langer,67,18,336,5.4
89,T78,T78,Shigeki Maruyama,99,18,635,2.8
90,T78,T78,Rob Rashell,65,18,397,4.5
91,T92,T92,Craig Barlow,81,17,421,4.0
92,T92,T92,Olin Browne,99,17,570,3.0
93,T92,T92,Robert Damron,89,17,550,3.1
94,T92,T92,Glen Day,80,17,562,3.0
95,T92,T92,Todd Hamilton,94,17,534,3.2
96,T92,T92,Lee Janzen,75,17,423,4.0
97,T92,T92,Brendan Jones,81,17,495,3.4
98,T92,T92,Skip Kendall,80,17,481,3.5
99,T92,T92,Peter Lonard,85,17,444,3.8
100,T92,T92,Greg Owen,84,17,486,3.5
101,T92,T92,Tag Ridings,93,17,628,2.7
102,T92,T92,Rory Sabbatini,81,17,434,3.9
103,T92,T92,Vaughn Taylor,99,17,637,2.7
104,T105,T105,Mark Calcavecchia,92,16,555,2.9
105,T105,T105,Daniel Chopra,108,16,679,2.4
106,T105,T105,Stewart Cink,98,16,513,3.1
107,T105,T105,Jim Furyk,94,16,525,3.0
108,T105,T105,Scott Gutschewski,86,16,477,3.4
109,T105,T105,Rocco Mediate,73,16,445,3.6
110,T105,T105,Brenden Pappas,51,16,358,4.5
111,T105,T105,Dennis Paulson,63,16,361,4.4
112,T105,T105,Darron Stiles,78,16,502,3.2
113,T105,T105,Mario Tiziani,67,16,417,3.8
114,T115,T115,Billy Andrade,83,15,546,2.7
115,T115,T115,Aaron Baddeley,84,15,585,2.6
116,T115,T115,Alex Cejka,84,15,456,3.3
117,T115,T115,Ben Crane,78,15,524,2.9
118,T115,T115,Brian Davis,75,15,473,3.2
119,T115,T115,Brad Faxon,75,15,451,3.3
120,T115,T115,Steve Flesch,90,15,443,3.4
121,T115,T115,Carlos Franco,78,15,461,3.3
122,T115,T115,Scott Hend,75,15,449,3.3
123,T115,T115,Glen Hnatiuk,59,15,324,4.6
124,T115,T115,Richard Johnson,50,15,333,4.5
125,T115,T115,Matt Kuchar,60,15,391,3.8
126,T115,T115,Neal Lancaster,95,15,605,2.5
127,T115,T115,Davis Love III,80,15,398,3.8
128,T115,T115,Will MacKenzie,75,15,466,3.2
129,T115,T115,Jeff Maggert,79,15,421,3.6
130,T115,T115,Phil Mickelson,81,15,382,3.9
131,T115,T115,Pat Perez,89,15,560,2.7
132,T115,T115,Craig Perks,67,15,367,4.1
133,T115,T115,Kenny Perry,82,15,410,3.7
134,T115,T115,Vijay Singh,111,15,642,2.3
135,T115,T115,Mark Wilson,74,15,448,3.3
136,T137,T137,K.J. Choi,78,14,389,3.6
137,T137,T137,Paul Gow,78,14,471,3.0
138,T137,T137,Ryuji Imada,78,14,470,3.0
139,T137,T137,Arron Oberholser,65,14,348,4.0
140,T137,T137,John Rollins,97,14,546,2.6
141,T137,T137,Steve Stricker,62,14,479,2.9
142,T137,T137,Duffy Waldorf,86,14,498,2.8
143,T137,T137,Jay Williamson,53,14,330,4.2
144,T145,T145,Robert Allenby,95,13,467,2.8
145,T145,T145,Jason Allred,75,13,435,3.0
146,T145,T145,Jason Bohn,91,13,561,2.3
147,T145,T145,J.P. Hayes,63,13,412,3.2
148,T145,T145,Franklin Langham,91,13,510,2.5
149,T145,T145,Mark O'Meara,66,13,393,3.3
150,T145,T145,Adam Scott,72,13,362,3.6
151,T145,T145,Kevin Sutherland,89,13,509,2.6
152,T145,T145,Omar Uresti,84,13,505,2.6
153,T154,T154,John Cook,72,12,408,2.9
154,T154,T154,John Elliott,58,12,349,3.4
155,T154,T154,Justin Leonard,78,12,396,3.0
156,T154,T154,Scott Verplank,87,12,473,2.5
157,T154,T154,Mike Weir,71,12,348,3.4
158,T159,T159,Rich Beem,66,11,326,3.4
159,T159,T159,D.J. Brigman,76,11,401,2.7
160,T159,T159,Mark Brooks,72,11,440,2.5
161,T159,T159,Todd Fischer,99,11,656,1.7
162,T159,T159,Brent Geiberger,61,11,350,3.1
163,T159,T159,Mathias Grönberg,60,11,394,2.8
164,T159,T159,Padraig Harrington,50,11,290,3.8
165,T159,T159,Jonathan Kaye,77,11,447,2.5
166,T159,T159,Tom Lehman,69,11,333,3.3
167,T159,T159,Thomas Levet,54,11,238,4.6
168,T159,T159,Corey Pavin,77,11,455,2.4
169,T159,T159,Roland Thatcher,75,11,433,2.5
170,T159,T159,Tjaart van der Walt,56,11,363,3.0
171,T159,T159,Lee Westwood,50,11,225,4.9
172,T159,T159,Tiger Woods,76,11,428,2.6
173,T174,T174,Paul Azinger,66,10,435,2.3
174,T174,T174,José Coceres,56,10,395,2.5
175,T174,T174,Chris DiMarco,83,10,438,2.3
176,T174,T174,Jeff Hart,63,10,389,2.6
177,T174,T174,Mark Hensby,70,10,347,2.9
178,T174,T174,Andrew Magee,82,10,471,2.1
179,T174,T174,Larry Mize,54,10,340,2.9
180,T174,T174,Kirk Triplett,55,10,314,3.2
181,T182,T182,John Daly,78,9,401,2.2
182,T182,T182,Joe Durant,81,9,435,2.1
183,T182,T182,Steve Jones,56,9,307,2.9
184,T182,T182,José María Olazábal,55,9,317,2.8
185,T182,T182,Loren Roberts,54,9,344,2.6
186,T182,T182,Brett Wetterich,76,9,452,2.0
187,T188,T188,Justin Bolli,65,8,417,1.9
188,T188,T188,Fred Couples,72,8,286,2.8
189,T188,T188,Jay Haas,54,8,271,3.0
190,T188,T188,Hideto Tanihara,50,8,287,2.8
191,T192,T192,Doug Barron,70,7,443,1.6
