,One-Putt_Percentage_-_Round_4_RANK THIS WEEK,One-Putt_Percentage_-_Round_4_RANK LAST WEEK,One-Putt_Percentage_-_Round_4_PLAYER NAME,One-Putt_Percentage_-_Round_4_%,One-Putt_Percentage_-_Round_4_# OF 1 PUTTS,One-Putt_Percentage_-_Round_4_# OF HOLES
0,1,1,Bob Heintz,50.0,81,162
1,2,2,Kevin Na,49.6,125,252
2,3,3,Rory Sabbatini,49.21,124,252
3,T4,T4,José Coceres,48.15,52,108
4,T4,T4,Loren Roberts,48.15,78,162
5,6,6,Skip Kendall,47.62,60,126
6,7,7,Glen Day,45.73,107,234
7,8,8,Aaron Baddeley,45.63,115,252
8,9,9,John Cook,45.56,82,180
9,10,10,Hank Kuehne,45.37,98,216
10,11,11,Tim Herron,45.2,179,396
11,12,12,Michael Allen,45.19,122,270
12,13,13,David Toms,45.1,138,306
13,14,14,Steve Stricker,45.06,73,162
14,15,15,Todd Fischer,44.81,121,270
15,16,16,Ben Crane,44.44,136,306
16,T17,T17,Tom Gillis,43.89,79,180
17,T17,T17,Joe Ogilvie,43.89,158,360
18,19,19,Mark O'Meara,43.52,94,216
19,20,20,Rich Beem,43.33,39,90
20,21,21,Ben Curtis,43.06,62,144
21,22,22,Scott Verplank,42.98,147,342
22,23,23,John Huston,42.86,108,252
23,24,24,Brenden Pappas,42.78,77,180
24,25,25,Brad Faxon,42.74,100,234
25,26,26,Daniel Chopra,42.69,146,342
26,T27,T27,Lucas Glover,42.59,115,270
27,T27,T27,Arron Oberholser,42.59,92,216
28,T27,T27,Tag Ridings,42.59,115,270
29,T27,T27,Chris Riley,42.59,69,162
30,31,31,Corey Pavin,42.46,107,252
31,32,32,Mark Wilson,42.42,84,198
32,33,33,Dan Forsman,42.36,61,144
33,34,34,Tiger Woods,42.16,129,306
34,T35,T35,Kirk Triplett,41.98,68,162
35,T35,T35,Jay Williamson,41.98,68,162
36,37,37,Stewart Cink,41.94,151,360
