,One-Putt_Percentage_-_Round_2_RANK THIS WEEK,One-Putt_Percentage_-_Round_2_RANK LAST WEEK,One-Putt_Percentage_-_Round_2_PLAYER NAME,One-Putt_Percentage_-_Round_2_%,One-Putt_Percentage_-_Round_2_# OF 1 PUTTS,One-Putt_Percentage_-_Round_2_# OF HOLES
0,1,1,Glen Day,47.56,214,450
1,T2,T2,Ben Crane,45.61,156,342
2,T2,T2,Phil Mickelson,45.61,156,342
3,4,4,José María Olazábal,45.56,123,270
4,5,5,Brian Gay,44.62,249,558
5,T6,T6,Len Mattiace,44.44,264,594
6,T6,T6,Steve Stricker,44.44,168,378
7,8,8,Shigeki Maruyama,44.05,222,504
8,9,9,Stephen Ames,43.94,174,396
9,10,10,Tiger Woods,43.89,158,360
10,11,11,Tim Herron,43.83,213,486
11,12,12,Phillip Price,43.48,180,414
12,13,13,Arjun Atwal,43.46,133,306
13,14,14,Brendan Jones,43.38,203,468
14,15,15,Scott McCarron,43.18,171,396
15,16,16,Mike Weir,43.12,163,378
16,17,17,Joe Ogilvie,43.1,225,522
17,18,18,Kevin Na,43.06,217,504
18,19,19,John Huston,43.0,209,486
19,20,20,Neal Lancaster,42.91,224,522
20,21,21,Chris DiMarco,42.68,169,396
21,22,22,Ryuji Imada,42.67,192,450
22,23,23,Tim Clark,42.59,184,432
23,24,24,Loren Roberts,42.48,130,306
24,25,25,Justin Leonard,42.42,168,396
25,26,26,Bernhard Langer,42.4,145,342
26,27,27,Hunter Haas,42.39,206,486
27,28,28,Richard Johnson,42.36,122,288
28,29,29,Scott Verplank,42.27,175,414
29,30,30,Pat Perez,42.09,197,468
30,31,31,Mathias Grönberg,41.98,136,324
31,32,32,Brett Quigley,41.85,226,540
32,33,33,Bob Heintz,41.67,180,432
33,34,34,Vaughn Taylor,41.57,217,522
34,35,35,Kevin Sutherland,41.56,187,450
35,36,36,Chris Anderson,41.55,172,414
36,37,37,Jay Haas,41.48,112,270
37,T38,T38,Dudley Hart,41.41,164,396
38,T38,T38,Freddie Jacobson,41.41,164,396
39,T38,T38,Corey Pavin,41.41,164,396
40,T41,T41,J.P. Hayes,41.27,156,378
41,T41,T41,Rocco Mediate,41.27,156,378
42,43,43,Steve Lowery,41.22,230,558
43,T44,T44,Mark Brooks,41.2,178,432
44,T44,T44,Paul Gow,41.2,178,432
45,46,46,Brad Faxon,41.16,163,396
46,47,47,Stephen Leaney,41.15,200,486
47,48,48,Harrison Frazar,41.11,222,540
48,49,49,Retief Goosen,40.97,118,288
49,50,50,Matt Gogel,40.95,199,486
50,T51,T51,Mark Calcavecchia,40.89,184,450
51,T51,T51,Lee Janzen,40.89,184,450
52,T51,T51,Rob Rashell,40.89,184,450
53,54,54,Kevin Stadler,40.8,235,576
54,T55,T55,José Coceres,40.74,154,378
55,T55,T55,Jeff Hart,40.74,154,378
56,T55,T55,Mario Tiziani,40.74,154,378
57,58,58,Bob Estes,40.67,183,450
58,59,59,Mark Hensby,40.64,139,342
59,60,60,Zach Johnson,40.61,212,522
60,61,61,John Daly,40.58,168,414
61,62,62,Bill Glasson,40.43,131,324
62,T63,T63,Jonathan Byrd,40.42,211,522
63,T63,T63,Jerry Kelly,40.42,211,522
64,65,65,Nick Watney,40.37,218,540
65,66,66,Greg Owen,40.34,167,414
66,T67,T67,Danny Briggs,40.22,181,450
67,T67,T67,James Driscoll,40.22,181,450
68,T69,T69,Matt Kuchar,40.21,152,378
69,T69,T69,Charlie Wi,40.21,152,378
70,T71,T71,Patrick Sheehan,40.2,246,612
71,T71,T71,Kirk Triplett,40.2,123,306
72,73,73,Aaron Baddeley,40.17,188,468
73,74,74,Shaun Micheel,40.12,195,486
74,T75,T75,Robert Gamez,40.08,202,504
75,T75,T75,John Senden,40.08,202,504
76,77,77,Daniel Chopra,40.07,238,594
77,78,78,Tag Ridings,40.0,216,540
78,79,79,Billy Andrade,39.96,187,468
79,80,80,Sean O'Hair,39.92,194,486
80,81,81,Paul Azinger,39.9,158,396
81,82,82,Olin Browne,39.88,201,504
82,83,83,Mark Wilson,39.81,172,432
83,84,84,Bob Tway,39.78,179,450
84,85,85,Todd Fischer,39.76,229,576
85,T86,T86,Woody Austin,39.66,207,522
86,T86,T86,Frank Lickliter II,39.66,207,522
87,88,88,Will MacKenzie,39.58,171,432
88,89,89,Jim Furyk,39.56,178,450
89,90,90,Steve Flesch,39.51,192,486
90,91,91,Robert Damron,39.48,199,504
91,92,92,Brian Davis,39.39,156,396
92,93,93,Geoff Ogilvy,39.33,177,450
93,94,94,Duffy Waldorf,39.32,184,468
94,95,95,Hank Kuehne,39.3,191,486
95,T96,T96,Jason Allred,39.29,198,504
96,T96,T96,Padraig Harrington,39.29,99,252
97,98,98,Billy Mayfair,39.26,212,540
98,99,99,Kent Jones,39.25,219,558
99,100,100,Mark O'Meara,39.15,148,378
100,101,101,Jeff Maggert,39.14,155,396
101,102,102,Brandt Jobe,39.1,183,468
