,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
0,1,1,Steve Stricker,62,44.71,499,1116
1,2,2,Ben Crane,78,44.29,590,1332
2,3,3,Charlie Wi,67,43.42,508,1170
3,4,4,Joe Ogilvie,103,43.15,769,1782
4,5,5,Aaron Baddeley,84,42.95,634,1476
5,6,6,Kevin Na,88,42.57,659,1548
6,7,7,Brad Faxon,75,42.25,540,1278
7,8,8,Todd Fischer,99,42.21,737,1746
8,T9,T9,Brian Gay,101,42.2,752,1782
9,T9,T9,Tim Herron,100,42.2,752,1782
10,11,11,Len Mattiace,86,42.06,636,1512
11,T12,T12,Phil Mickelson,81,41.97,559,1332
12,T12,T12,Tiger Woods,76,41.97,559,1332
13,14,14,Bob Heintz,67,41.96,506,1206
14,15,15,Glen Day,80,41.81,587,1404
15,16,16,Arjun Atwal,65,41.79,489,1170
16,17,17,José María Olazábal,55,41.72,398,954
17,18,18,Mark O'Meara,66,41.58,494,1188
18,19,19,José Coceres,56,41.46,403,972
19,20,20,J.P. Hayes,63,41.45,470,1134
20,21,21,Paul Azinger,66,41.41,492,1188
21,22,22,Billy Andrade,83,41.37,618,1494
22,23,23,John Huston,90,41.28,639,1548
23,24,24,Tag Ridings,93,41.21,675,1638
24,25,25,Tim Clark,92,41.19,645,1566
25,26,26,Corey Pavin,77,41.17,541,1314
26,27,27,Pat Perez,89,41.14,659,1602
27,28,28,Phillip Price,77,40.94,538,1314
28,29,29,Chris DiMarco,83,40.89,552,1350
29,30,30,Chris Anderson,66,40.86,456,1116
30,31,31,Dudley Hart,84,40.74,616,1512
31,32,32,Tom Pernice Jr.,111,40.65,783,1926
32,33,33,Brian Davis,75,40.59,548,1350
33,34,34,Stephen Ames,82,40.58,577,1422
34,35,35,Larry Mize,54,40.56,365,900
35,36,36,Daniel Chopra,108,40.49,758,1872
36,37,37,Shigeki Maruyama,99,40.42,713,1764
37,38,38,Jay Williamson,53,40.36,385,954
38,T39,T39,Brenden Pappas,51,40.31,370,918
39,T39,T39,Jesper Parnevik,84,40.31,595,1476
40,41,41,Gavin Coles,70,40.24,507,1260
41,42,42,Hunter Haas,83,40.23,572,1422
42,43,43,Geoff Ogilvy,97,40.2,673,1674
43,44,44,Loren Roberts,54,40.15,383,954
44,45,45,Hank Kuehne,84,40.14,578,1440
45,T46,T46,Bob Estes,92,40.1,664,1656
46,T46,T46,Ryuji Imada,78,40.1,563,1404
47,48,48,Freddie Jacobson,72,40.06,512,1278
48,T49,T49,Robert Gamez,91,40.05,656,1638
49,T49,T49,Steve Lowery,100,40.05,692,1728
50,51,51,Vaughn Taylor,99,40.01,713,1782
51,T52,T52,Ryan Palmer,101,39.86,696,1746
52,T52,T52,Scott Verplank,87,39.86,617,1548
53,54,54,Kirk Triplett,55,39.85,373,936
54,55,55,Carl Pettersson,109,39.79,752,1890
55,T56,T56,Mark Calcavecchia,92,39.75,644,1620
56,T56,T56,James Driscoll,73,39.75,508,1278
57,58,58,Jim Furyk,94,39.73,665,1674
58,59,59,Rory Sabbatini,81,39.67,557,1404
59,60,60,Rob Rashell,65,39.66,464,1170
60,61,61,Justin Leonard,78,39.63,535,1350
61,62,62,David Toms,87,39.61,549,1386
62,63,63,Patrick Sheehan,114,39.6,784,1980
63,T64,T64,Richard Johnson,50,39.56,356,900
64,T64,T64,Scott McCarron,78,39.56,527,1332
65,T66,T66,Bernhard Langer,67,39.55,477,1206
66,T66,T66,Darron Stiles,78,39.55,541,1368
67,68,68,Justin Bolli,65,39.42,447,1134
68,69,69,Mike Weir,71,39.39,468,1188
69,T70,T70,Cameron Beckman,96,39.37,652,1656
70,T70,T70,Brett Quigley,96,39.37,652,1656
71,T70,T70,Mark Wilson,74,39.37,496,1260
72,T73,T73,Lee Janzen,75,39.35,517,1314
73,T73,T73,Matt Kuchar,60,39.35,425,1080
74,75,75,Dean Wilson,86,39.34,609,1548
75,76,76,Neal Lancaster,95,39.3,672,1710
76,T77,T77,Michael Allen,90,39.26,636,1620
77,T77,T77,Stewart Cink,98,39.26,636,1620
78,79,79,Matt Gogel,78,39.25,537,1368
79,80,80,Chris Riley,67,39.24,452,1152
80,T81,T81,Marco Dawson,82,39.23,579,1476
81,T81,T81,Kent Jones,99,39.23,685,1746
82,83,83,Mark Brooks,72,39.2,508,1296
83,84,84,Zach Johnson,96,39.12,669,1710
84,85,85,Mathias Grönberg,60,39.08,408,1044
85,86,86,Dan Forsman,52,39.0,351,900
86,87,87,Woody Austin,100,38.94,701,1800
87,88,88,Matt Davidson,53,38.89,371,954
88,T89,T89,Steve Allan,102,38.83,685,1764
89,T89,T89,Jonathan Byrd,103,38.83,692,1782
90,T89,T89,Harrison Frazar,105,38.83,706,1818
91,T89,T89,Kevin Stadler,96,38.83,643,1656
92,93,93,K.J. Choi,78,38.81,510,1314
93,94,94,Padraig Harrington,50,38.77,335,864
94,95,95,Jay Haas,54,38.67,355,918
95,96,96,Nick Watney,91,38.64,619,1602
96,97,97,Hidemichi Tanaka,106,38.62,709,1836
97,98,98,Robert Damron,89,38.58,618,1602
98,T99,T99,Jason Bohn,91,38.52,631,1638
99,T99,T99,Todd Hamilton,94,38.52,631,1638
100,101,101,Paul Gow,78,38.51,513,1332
101,T102,T102,Vijay Singh,111,38.48,755,1962
102,T102,T102,Jeff Sluman,94,38.48,651,1692
103,104,104,Mark Hensby,70,38.4,470,1224
104,105,105,Ian Poulter,62,38.39,387,1008
105,106,106,Mario Tiziani,67,38.38,449,1170
106,T107,T107,Brandt Jobe,96,38.29,634,1656
107,T107,T107,Bob Tway,87,38.29,572,1494
108,109,109,J.L. Lewis,98,38.27,675,1764
109,110,110,Kevin Sutherland,89,38.25,599,1566
110,111,111,Jason Allred,75,38.2,502,1314
111,112,112,John Daly,78,38.16,522,1368
112,113,113,Tom Gillis,77,38.15,515,1350
113,T114,T114,Scott Hend,75,38.13,501,1314
114,T114,T114,Will MacKenzie,75,38.13,501,1314
115,116,116,Skip Kendall,80,38.11,535,1404
116,T117,T117,John Cook,72,38.1,480,1260
117,T117,T117,Steve Flesch,90,38.1,583,1530
118,119,119,Rocco Mediate,73,37.98,499,1314
119,120,120,Rod Pampling,89,37.96,574,1512
120,121,121,Sean O'Hair,103,37.93,676,1782
121,T122,T122,Brendan Jones,81,37.9,539,1422
122,T122,T122,Omar Uresti,84,37.9,573,1512
123,T124,T124,Jeff Maggert,79,37.84,504,1332
124,T124,T124,Hunter Mahan,103,37.84,688,1818
125,126,126,Arron Oberholser,65,37.83,429,1134
126,127,127,Jerry Kelly,101,37.82,674,1782
127,128,128,Fred Funk,102,37.79,687,1818
128,129,129,Justin Rose,99,37.78,646,1710
129,130,130,Tim Petrovic,97,37.75,632,1674
130,T131,T131,Doug Barron,70,37.7,475,1260
131,T131,T131,Bo Van Pelt,112,37.7,760,2016
132,133,133,Jonathan Kaye,77,37.69,502,1332
133,134,134,Heath Slocum,103,37.65,671,1782
134,135,135,Peter Lonard,85,37.63,569,1512
135,136,136,Andrew Magee,82,37.61,528,1404
136,137,137,Duffy Waldorf,86,37.6,555,1476
137,138,138,Stuart Appleby,84,37.57,541,1440
138,139,139,Davis Love III,80,37.56,507,1350
139,140,140,Stephen Leaney,89,37.53,581,1548
140,141,141,Jeff Hart,63,37.52,412,1098
141,T142,T142,John Elliott,58,37.5,378,1008
142,T142,T142,Carlos Franco,78,37.5,513,1368
143,T142,T142,Joey Sindelar,104,37.5,702,1872
144,T142,T142,Tjaart van der Walt,56,37.5,378,1008
