,Average_Putting_Distance_-_All_1_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_1_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_1_putts_PLAYER NAME,Average_Putting_Distance_-_All_1_putts_ROUNDS,Average_Putting_Distance_-_All_1_putts_AVG,Average_Putting_Distance_-_All_1_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_1_putts_TOTAL PUTTS
0,1,1,Dan Forsman,52,"8' 11""",2928.25,329
1,2,2,Steve Elkington,67,"8' 5""",2991.083,354
2,T3,T3,Charles Howell III,95,"8' 4""",4123.75,493
3,T3,T3,Kent Jones,99,"8' 4""",5204.333,626
4,T3,T3,Brenden Pappas,51,"8' 4""",2984.167,358
5,T6,T6,Chad Campbell,95,"8' 3""",4207.5,509
6,T6,T6,Bob Tway,87,"8' 3""",3951.167,478
7,T8,T8,Briny Baird,98,"8' 2""",4789.583,586
8,T8,T8,Richard Johnson,50,"8' 2""",2729.25,333
9,T8,T8,Ryan Palmer,101,"8' 2""",4715.333,578
10,T8,T8,David Toms,87,"8' 2""",3718.75,455
11,T12,T12,Arjun Atwal,65,"8' 1""",3673.083,456
12,T12,T12,Matt Gogel,78,"8' 1""",3808.083,469
13,T12,T12,Scott McCarron,78,"8' 1""",3419.167,424
14,T15,T15,Bart Bryant,91,"8' 0""",4169.833,521
15,T15,T15,Gavin Coles,70,"8' 0""",3675.75,460
16,T15,T15,Freddie Jacobson,72,"8' 0""",3310.25,413
17,T15,T15,Shaun Micheel,81,"8' 0""",3466.667,435
18,T15,T15,Chris Smith,93,"8' 0""",4070.75,507
19,T15,T15,Joey Snyder III,102,"8' 0""",4512.583,565
20,T21,T21,Hunter Mahan,103,"7' 11""",5107.833,644
21,T21,T21,Sean O'Hair,103,"7' 11""",4746.75,597
22,T23,T23,Robert Allenby,95,"7' 10""",3675.75,467
23,T23,T23,Chris Anderson,66,"7' 10""",3306.333,421
24,T23,T23,Jeff Brehaut,71,"7' 10""",3217.583,409
25,T23,T23,Olin Browne,99,"7' 10""",4461.833,570
26,T23,T23,Tom Byrum,83,"7' 10""",3994.333,510
27,T23,T23,Stewart Cink,98,"7' 10""",4001.5,513
28,T23,T23,John Cook,72,"7' 10""",3193.667,408
29,T23,T23,J.L. Lewis,98,"7' 10""",4538.5,578
30,T23,T23,Kenny Perry,82,"7' 10""",3228.0,410
31,T23,T23,Loren Roberts,54,"7' 10""",2680.917,344
32,T23,T23,Mario Tiziani,67,"7' 10""",3262.5,417
33,T23,T23,Bo Van Pelt,112,"7' 10""",5115.25,653
34,T23,T23,Charles Warren,89,"7' 10""",4171.917,533
35,T36,T36,Brad Faxon,75,"7' 9""",3492.25,451
36,T36,T36,Dudley Hart,84,"7' 9""",4094.5,526
37,T36,T36,Tim Herron,100,"7' 9""",4727.75,607
38,T36,T36,Glen Hnatiuk,59,"7' 9""",2521.0,324
39,T36,T36,Len Mattiace,86,"7' 9""",4440.417,574
40,T36,T36,Larry Mize,54,"7' 9""",2637.25,340
41,T36,T36,Rory Sabbatini,81,"7' 9""",3358.5,434
42,T36,T36,Dean Wilson,86,"7' 9""",4339.667,560
43,T44,T44,Brian Bateman,98,"7' 8""",4298.25,562
44,T44,T44,Danny Briggs,70,"7' 8""",3160.083,412
45,T44,T44,Harrison Frazar,105,"7' 8""",5050.25,656
46,T44,T44,Jim Furyk,94,"7' 8""",4027.333,525
47,T44,T44,Brian Gay,101,"7' 8""",5358.75,701
48,T44,T44,Brent Geiberger,61,"7' 8""",2689.167,350
49,T44,T44,Jay Haas,54,"7' 8""",2086.5,271
50,T44,T44,Hunter Haas,83,"7' 8""",4024.417,523
51,T44,T44,Padraig Harrington,50,"7' 8""",2221.417,290
52,T44,T44,Bob Heintz,67,"7' 8""",3656.167,478
53,T44,T44,Brandt Jobe,96,"7' 8""",4309.417,563
54,T44,T44,Matt Kuchar,60,"7' 8""",2999.417,391
55,T44,T44,Bernhard Langer,67,"7' 8""",2571.583,336
56,T44,T44,Stephen Leaney,89,"7' 8""",3865.917,502
57,T44,T44,Thomas Levet,54,"7' 8""",1830.5,238
58,T44,T44,Frank Lickliter II,100,"7' 8""",4365.5,571
59,T44,T44,Davis Love III,80,"7' 8""",3054.167,398
60,T44,T44,Billy Mayfair,114,"7' 8""",5036.25,659
61,T44,T44,Arron Oberholser,65,"7' 8""",2672.917,348
62,T44,T44,Tim Petrovic,97,"7' 8""",4189.75,546
63,T44,T44,Phillip Price,77,"7' 8""",3603.833,470
64,T44,T44,D.J. Trahan,81,"7' 8""",3525.083,461
65,T66,T66,Steve Allan,102,"7' 7""",4692.75,622
66,T66,T66,Billy Andrade,83,"7' 7""",4122.0,546
67,T66,T66,Craig Barlow,81,"7' 7""",3195.083,421
68,T66,T66,Jonathan Byrd,103,"7' 7""",4943.833,650
69,T66,T66,K.J. Choi,78,"7' 7""",2965.25,389
70,T66,T66,Paul Claxton,79,"7' 7""",3317.25,436
71,T66,T66,Fred Couples,72,"7' 7""",2175.417,286
72,T66,T66,Ben Crane,78,"7' 7""",3985.833,524
73,T66,T66,James Driscoll,73,"7' 7""",3387.083,448
74,T66,T66,John Elliott,58,"7' 7""",2643.083,349
75,T66,T66,Tom Gillis,77,"7' 7""",3524.667,465
76,T66,T66,David Hearn,68,"7' 7""",2914.0,384
77,T66,T66,Lee Janzen,75,"7' 7""",3190.583,423
78,T66,T66,Brendan Jones,81,"7' 7""",3752.083,495
79,T66,T66,Michael Long,72,"7' 7""",3104.667,411
80,T66,T66,Patrick Sheehan,114,"7' 7""",5303.6669999999995,699
81,T66,T66,Kirk Triplett,55,"7' 7""",2370.75,314
82,T66,T66,Nick Watney,91,"7' 7""",4189.0,550
83,T66,T66,Lee Westwood,50,"7' 7""",1697.5829999999999,225
84,T66,T66,Jay Williamson,53,"7' 7""",2501.667,330
85,T86,T86,Jason Allred,75,"7' 6""",3271.75,435
86,T86,T86,Stuart Appleby,84,"7' 6""",3284.417,440
87,T86,T86,Tommy Armour III,103,"7' 6""",4447.833,593
88,T86,T86,Marco Dawson,82,"7' 6""",4146.583,552
89,T86,T86,Bob Estes,92,"7' 6""",4304.5,575
90,T86,T86,Fred Funk,102,"7' 6""",4224.833,563
91,T86,T86,J.J. Henry,102,"7' 6""",4147.583,554
92,T86,T86,Zach Johnson,96,"7' 6""",4437.417,592
93,T86,T86,Skip Kendall,80,"7' 6""",3600.75,481
94,T86,T86,Hank Kuehne,84,"7' 6""",4036.0,538
95,T86,T86,Peter Lonard,85,"7' 6""",3342.917,444
96,T86,T86,Steve Lowery,100,"7' 6""",4751.0,631
97,T86,T86,Phil Mickelson,81,"7' 6""",2880.583,382
98,T86,T86,Joe Ogilvie,103,"7' 6""",4633.333,620
99,T86,T86,Jesper Parnevik,84,"7' 6""",3673.917,492
100,T86,T86,Corey Pavin,77,"7' 6""",3424.0,455
101,T86,T86,Ian Poulter,62,"7' 6""",1853.9170000000001,248
102,T86,T86,Heath Slocum,103,"7' 6""",4611.0,615
103,T86,T86,Kevin Stadler,96,"7' 6""",4304.25,575
