,Putts_Made_Per_Event_Over_20_RANK THIS WEEK,Putts_Made_Per_Event_Over_20_RANK LAST WEEK,Putts_Made_Per_Event_Over_20_PLAYER NAME,Putts_Made_Per_Event_Over_20_ROUNDS,Putts_Made_Per_Event_Over_20_PUTTS MADE
0,1,1,Dan Forsman,52,2.4
1,T2,T2,Arjun Atwal,65,2.1
2,T2,T2,Richard Johnson,50,2.1
3,T4,T4,Chad Campbell,95,2.0
4,T4,T4,Tim Herron,100,2.0
5,T4,T4,Phil Mickelson,81,2.0
6,T7,T7,Stuart Appleby,84,1.9
7,T7,T7,Scott McCarron,78,1.9
8,T7,T7,Brenden Pappas,51,1.9
9,T7,T7,David Toms,87,1.9
10,T11,T11,Stewart Cink,98,1.8
11,T11,T11,Gavin Coles,70,1.8
12,T11,T11,Ben Crane,78,1.8
13,T11,T11,Sean O'Hair,103,1.8
14,T11,T11,Bob Tway,87,1.8
15,T11,T11,Tiger Woods,76,1.8
16,T17,T17,Jeff Brehaut,71,1.7
17,T17,T17,Bart Bryant,91,1.7
18,T17,T17,Brad Faxon,75,1.7
19,T17,T17,Charles Howell III,95,1.7
20,T17,T17,Bernhard Langer,67,1.7
21,T17,T17,Tom Pernice Jr.,111,1.7
22,T17,T17,Patrick Sheehan,114,1.7
23,T24,T24,Tom Byrum,83,1.6
24,T24,T24,K.J. Choi,78,1.6
25,T24,T24,Steve Elkington,67,1.6
26,T24,T24,Bob Estes,92,1.6
27,T24,T24,Dudley Hart,84,1.6
28,T24,T24,Freddie Jacobson,72,1.6
29,T24,T24,Zach Johnson,96,1.6
30,T24,T24,Frank Lickliter II,100,1.6
31,T24,T24,Steve Lowery,100,1.6
32,T24,T24,Hunter Mahan,103,1.6
33,T24,T24,Billy Mayfair,114,1.6
34,T24,T24,Arron Oberholser,65,1.6
35,T24,T24,Justin Rose,99,1.6
36,T24,T24,Adam Scott,72,1.6
37,T24,T24,Jeff Sluman,94,1.6
38,T24,T24,Bo Van Pelt,112,1.6
39,T40,T40,Aaron Baddeley,84,1.5
40,T40,T40,Brian Bateman,98,1.5
41,T40,T40,Jonathan Byrd,103,1.5
42,T40,T40,Tim Clark,92,1.5
