,Birdie_or_Better_Conversion_Percentage_RANK THIS WEEK,Birdie_or_Better_Conversion_Percentage_RANK LAST WEEK,Birdie_or_Better_Conversion_Percentage_PLAYER NAME,Birdie_or_Better_Conversion_Percentage_ROUNDS,Birdie_or_Better_Conversion_Percentage_%,Birdie_or_Better_Conversion_Percentage_# BIRDIES,Birdie_or_Better_Conversion_Percentage_GREENS HIT
0,1,1,Tiger Woods,76,36.56,340,930
1,2,2,Phil Mickelson,81,35.7,317,888
2,3,3,Brenden Pappas,51,34.34,204,594
3,4,4,Arjun Atwal,65,34.17,258,755
4,5,5,Tag Ridings,93,33.9,360,1062
5,6,6,Bob Heintz,67,33.88,248,732
6,7,7,Steve Stricker,62,33.58,229,682
7,8,8,Ben Crane,78,33.54,277,826
8,9,9,Joe Ogilvie,103,33.24,366,1101
9,10,10,Tim Clark,92,32.9,330,1003
10,11,11,Ryan Palmer,101,32.87,375,1141
11,12,12,Harrison Frazar,105,32.5,392,1206
12,13,13,Scott Verplank,87,32.49,334,1028
13,14,14,Aaron Baddeley,84,32.33,289,894
14,15,15,John Huston,90,32.29,320,991
15,16,16,Tim Herron,100,32.27,375,1162
16,17,17,David Toms,87,31.97,298,932
17,18,18,Geoff Ogilvy,97,31.69,353,1114
18,19,19,Billy Andrade,83,31.66,302,954
19,20,20,Mark Hensby,70,31.47,242,769
20,21,21,Vaughn Taylor,99,31.42,367,1168
21,T22,T22,Paul Azinger,66,31.3,226,722
22,T22,T22,Kevin Stadler,96,31.3,334,1067
23,24,24,John Daly,78,31.19,267,856
24,25,25,Hank Kuehne,84,31.14,275,883
25,T26,T26,Brad Faxon,75,31.06,246,792
26,T26,T26,Vijay Singh,111,31.06,429,1381
27,28,28,Woody Austin,100,31.02,358,1154
28,T29,T29,Mark Calcavecchia,92,30.99,330,1065
29,T29,T29,Scott Gutschewski,86,30.99,308,994
30,31,31,Hunter Haas,83,30.95,281,908
31,32,32,Steve Lowery,100,30.94,345,1115
32,33,33,Retief Goosen,71,30.85,228,739
33,34,34,Brett Wetterich,76,30.77,280,910
34,35,35,Todd Fischer,99,30.62,327,1068
35,36,36,Robert Gamez,91,30.58,322,1053
36,37,37,Scott Hend,75,30.56,253,828
37,38,38,Daniel Chopra,108,30.51,364,1193
38,39,39,J.P. Hayes,63,30.47,216,709
39,40,40,Jonathan Byrd,103,30.41,350,1151
40,41,41,Charlie Wi,67,30.39,213,701
41,42,42,Patrick Sheehan,114,30.32,379,1250
42,43,43,Kent Jones,99,30.3,346,1142
43,44,44,Charles Warren,89,30.28,327,1080
44,T45,T45,Davis Love III,80,30.26,272,899
45,T45,T45,Hunter Mahan,103,30.26,367,1213
46,47,47,Dean Wilson,86,30.21,306,1013
47,48,48,Fred Couples,72,30.18,252,835
48,T49,T49,Brian Davis,75,30.17,267,885
49,T49,T49,Brandt Jobe,96,30.17,327,1084
50,51,51,Bo Van Pelt,112,30.16,418,1386
51,52,52,Marco Dawson,82,30.14,299,992
52,53,53,Rod Pampling,89,30.04,298,992
53,54,54,Neal Lancaster,95,30.02,335,1116
54,T55,T55,Bart Bryant,91,29.94,338,1129
55,T55,T55,Brett Quigley,96,29.94,321,1072
56,T55,T55,Rory Sabbatini,81,29.94,256,855
57,58,58,Dan Forsman,52,29.9,186,622
58,59,59,Craig Barlow,81,29.86,275,921
59,60,60,Frank Lickliter II,100,29.85,337,1129
60,T61,T61,Cameron Beckman,96,29.84,319,1069
61,T61,T61,Pat Perez,89,29.84,305,1022
62,63,63,Carl Pettersson,109,29.83,372,1247
63,T64,T64,Jim Furyk,94,29.81,347,1164
64,T64,T64,Dudley Hart,84,29.81,299,1003
65,66,66,Zach Johnson,96,29.79,339,1138
66,67,67,Scott McCarron,78,29.75,249,837
67,T68,T68,Richard Johnson,50,29.74,182,612
68,T68,T68,José María Olazábal,55,29.74,185,622
69,70,70,John Rollins,97,29.72,332,1117
70,T71,T71,Will MacKenzie,75,29.69,255,859
71,T71,T71,Kevin Na,88,29.69,277,933
72,73,73,Darron Stiles,78,29.66,269,907
73,74,74,Freddie Jacobson,72,29.65,236,796
74,75,75,Nick Watney,91,29.64,313,1056
75,76,76,Duffy Waldorf,86,29.62,290,979
76,77,77,Phillip Price,77,29.59,253,855
77,78,78,Lucas Glover,88,29.53,308,1043
78,79,79,Ryuji Imada,78,29.51,265,898
79,80,80,Chris DiMarco,83,29.47,254,862
80,81,81,Robert Allenby,95,29.46,327,1110
81,82,82,Shigeki Maruyama,99,29.44,338,1148
82,83,83,Jesper Parnevik,84,29.4,264,898
83,84,84,Tom Pernice Jr.,111,29.39,355,1208
84,85,85,Jonathan Kaye,77,29.38,260,885
85,T86,T86,Michael Allen,90,29.35,297,1012
86,T86,T86,Stewart Cink,98,29.35,312,1063
87,88,88,Justin Leonard,78,29.28,258,881
88,89,89,Chris Anderson,66,29.26,199,680
89,90,90,Kenny Perry,82,29.19,296,1014
90,T91,T91,Lee Janzen,75,29.13,245,841
91,T91,T91,Ted Purdy,122,29.13,416,1428
92,T91,T91,Chris Smith,93,29.13,337,1157
93,94,94,Brian Bateman,98,29.08,317,1090
