,3-Putt_Avoidance_-_10-15_RANK THIS WEEK,3-Putt_Avoidance_-_10-15_RANK LAST WEEK,3-Putt_Avoidance_-_10-15_PLAYER NAME,3-Putt_Avoidance_-_10-15_ROUNDS,3-Putt_Avoidance_-_10-15_%,3-Putt_Avoidance_-_10-15_TOTAL 3 PUTTS,3-Putt_Avoidance_-_10-15_ATTEMPTS,3-Putt_Avoidance_-_10-15_2 PUTT OR BETTER %
0,T1,T1,Stuart Appleby,84,0.0,,165,100.0
1,T1,T1,Jeff Brehaut,71,0.0,,168,100.0
2,T1,T1,Ben Curtis,65,0.0,,115,100.0
3,T1,T1,Marco Dawson,82,0.0,,223,100.0
4,T1,T1,James Driscoll,73,0.0,,164,100.0
5,T1,T1,Bob Estes,92,0.0,,226,100.0
6,T1,T1,Steve Flesch,90,0.0,,178,100.0
7,T1,T1,Jim Furyk,94,0.0,,215,100.0
8,T1,T1,Brent Geiberger,61,0.0,,145,100.0
9,T1,T1,Tom Gillis,77,0.0,,169,100.0
10,T1,T1,Retief Goosen,71,0.0,,117,100.0
11,T1,T1,Scott Gutschewski,86,0.0,,200,100.0
12,T1,T1,Glen Hnatiuk,59,0.0,,131,100.0
13,T1,T1,Jonathan Kaye,77,0.0,,169,100.0
14,T1,T1,Peter Lonard,85,0.0,,177,100.0
15,T1,T1,Shigeki Maruyama,99,0.0,,218,100.0
16,T1,T1,Larry Mize,54,0.0,,140,100.0
17,T1,T1,José María Olazábal,55,0.0,,106,100.0
18,T1,T1,Rod Pampling,89,0.0,,187,100.0
19,T1,T1,Brenden Pappas,51,0.0,,136,100.0
20,T1,T1,Jesper Parnevik,84,0.0,,179,100.0
21,T1,T1,Corey Pavin,77,0.0,,162,100.0
22,T1,T1,Ian Poulter,62,0.0,,100,100.0
23,T1,T1,Loren Roberts,54,0.0,,149,100.0
24,T1,T1,John Rollins,97,0.0,,187,100.0
25,T1,T1,John Senden,101,0.0,,229,100.0
26,T1,T1,Joey Sindelar,104,0.0,,289,100.0
27,T1,T1,Vijay Singh,111,0.0,,267,100.0
28,T1,T1,Jeff Sluman,94,0.0,,226,100.0
29,T1,T1,Kevin Sutherland,89,0.0,,168,100.0
30,T1,T1,Hideto Tanihara,50,0.0,,129,100.0
31,T1,T1,Duffy Waldorf,86,0.0,,182,100.0
32,T1,T1,Tiger Woods,76,0.0,,159,100.0
33,34,34,Patrick Sheehan,114,0.38,1.0,261,99.6
34,T35,T35,Neal Lancaster,95,0.39,1.0,256,99.6
35,T35,T35,Ryan Palmer,101,0.39,1.0,258,99.6
36,37,37,Bo Van Pelt,112,0.4,1.0,253,99.6
37,38,38,Joey Snyder III,102,0.41,1.0,242,99.5
38,39,39,Heath Slocum,103,0.42,1.0,238,99.5
39,T40,T40,Steve Allan,102,0.44,1.0,226,99.5
40,T40,T40,J.J. Henry,102,0.44,1.0,228,99.5
41,T40,T40,Hidemichi Tanaka,106,0.44,1.0,229,99.5
42,T40,T40,Nick Watney,91,0.44,1.0,227,99.5
43,T44,T44,Tim Herron,100,0.45,1.0,224,99.5
44,T44,T44,Chris Smith,93,0.45,1.0,221,99.5
45,46,46,Todd Fischer,99,0.46,1.0,216,99.5
46,T47,T47,Jason Bohn,91,0.47,1.0,214,99.5
47,T47,T47,Jerry Kelly,101,0.47,1.0,214,99.5
48,T47,T47,Tim Petrovic,97,0.47,1.0,212,99.5
49,T50,T50,Mark Calcavecchia,92,0.48,1.0,207,99.5
50,T50,T50,Stewart Cink,98,0.48,1.0,208,99.5
51,T50,T50,Lucas Glover,88,0.48,1.0,207,99.5
52,53,53,Greg Owen,84,0.49,1.0,204,99.5
53,T54,T54,Billy Andrade,83,0.5,1.0,202,99.5
54,T54,T54,Chad Campbell,95,0.5,1.0,201,99.5
55,T54,T54,Kevin Na,88,0.5,1.0,200,99.5
56,57,57,Omar Uresti,84,0.51,1.0,196,99.4
57,T58,T58,Aaron Baddeley,84,0.52,1.0,194,99.4
58,T58,T58,Geoff Ogilvy,97,0.52,1.0,193,99.4
59,T58,T58,D.J. Trahan,81,0.52,1.0,191,99.4
60,61,61,Bob Tway,87,0.53,1.0,188,99.4
61,62,62,Glen Day,80,0.54,1.0,185,99.4
62,T63,T63,Andrew Magee,82,0.55,1.0,182,99.4
63,T63,T63,Rocco Mediate,73,0.55,1.0,181,99.4
64,T65,T65,Doug Barron,70,0.56,1.0,178,99.4
65,T65,T65,Phillip Price,77,0.56,1.0,180,99.4
66,T67,T67,Justin Bolli,65,0.57,1.0,176,99.4
67,T67,T67,John Cook,72,0.57,1.0,175,99.4
68,T67,T67,Ryuji Imada,78,0.57,1.0,176,99.4
69,T67,T67,David Toms,87,0.57,1.0,175,99.4
70,T71,T71,Arjun Atwal,65,0.58,1.0,172,99.4
71,T71,T71,Scott McCarron,78,0.58,1.0,173,99.4
72,T73,T73,Brad Faxon,75,0.59,1.0,169,99.4
73,T73,T73,Charlie Wi,67,0.59,1.0,170,99.4
74,T75,T75,Stephen Ames,82,0.6,1.0,168,99.4
75,T75,T75,David Hearn,68,0.6,1.0,166,99.4
76,T77,T77,Chris Anderson,66,0.62,1.0,161,99.3
77,T77,T77,Craig Perks,67,0.62,1.0,162,99.3
78,79,79,Chris DiMarco,83,0.63,1.0,160,99.3
79,T80,T80,Craig Barlow,81,0.65,1.0,153,99.3
80,T80,T80,Matt Kuchar,60,0.65,1.0,155,99.3
81,T80,T80,Justin Leonard,78,0.65,1.0,155,99.3
82,83,83,Jason Allred,75,0.66,1.0,152,99.3
83,84,84,Paul Azinger,66,0.68,1.0,146,99.3
84,85,85,Ben Crane,78,0.69,1.0,145,99.3
85,T86,T86,Tommy Armour III,103,0.7,2.0,284,99.3
86,T86,T86,Adam Scott,72,0.7,1.0,142,99.3
87,88,88,Ted Purdy,122,0.72,2.0,278,99.2
88,T89,T89,K.J. Choi,78,0.74,1.0,136,99.2
89,T89,T89,Steve Elkington,67,0.74,1.0,136,99.2
90,T89,T89,Mathias Grönberg,60,0.74,1.0,135,99.2
91,T89,T89,Arron Oberholser,65,0.74,1.0,135,99.2
92,93,93,John Elliott,58,0.75,1.0,133,99.2
93,94,94,Hunter Mahan,103,0.77,2.0,260,99.2
94,T95,T95,Tom Lehman,69,0.78,1.0,129,99.2
