,Total_Putting_RANK THIS WEEK,Total_Putting_RANK LAST WEEK,Total_Putting_PLAYER NAME,Total_Putting_EVENTS,Total_Putting_TOTAL
0,1,1,Ben Crane,21,38.1
1,2,2,Steve Stricker,21,48.7
2,3,3,Brent Geiberger,21,57.7
3,4,4,Brian Gay,33,71.3
4,5,5,Dudley Hart,29,72.2
5,6,6,Stewart Cink,26,73.5
6,7,7,Bob Tway,26,79.7
7,8,8,Len Mattiace,34,86.0
8,9,9,Brad Faxon,23,94.9
9,10,10,Tiger Woods,21,95.3
10,11,11,Olin Browne,29,95.9
11,12,12,Kirk Triplett,18,96.4
12,13,13,Dean Wilson,27,102.2
13,14,14,Mark O'Meara,21,103.7
14,15,15,Bart Bryant,26,104.0
15,16,16,Arjun Atwal,17,105.9
16,17,17,Aaron Baddeley,27,106.8
17,18,18,Luke Donald,18,107.1
18,19,19,Todd Fischer,35,107.5
19,20,20,Freddie Jacobson,23,115.8
20,21,21,Jim Furyk,26,118.3
21,22,22,Brenden Pappas,15,120.8
22,23,23,Shigeki Maruyama,29,122.3
23,24,24,Matt Gogel,28,122.5
24,T25,T25,Daniel Chopra,34,124.7
25,T25,T25,Jesper Parnevik,24,124.7
26,27,27,Brett Quigley,31,124.9
27,28,28,Kent Jones,32,130.9
28,29,29,Zach Johnson,30,132.1
29,30,30,Tag Ridings,31,135.3
30,31,31,José María Olazábal,16,136.5
31,32,32,Gavin Coles,22,137.4
32,33,33,John Cook,26,139.6
33,34,34,Retief Goosen,18,139.9
34,35,35,Charlie Wi,23,140.3
35,36,36,Richard Johnson,16,140.7
36,37,37,Fred Funk,30,143.1
37,38,38,Brandt Jobe,27,145.1
38,39,39,Ryan Palmer,32,145.3
39,40,40,Patrick Sheehan,35,145.5
40,41,41,Scott Gutschewski,27,147.5
41,T42,T42,Hunter Mahan,34,147.8
42,T42,T42,Ian Poulter,20,147.8
43,44,44,Nick Watney,31,149.3
44,45,45,Mario Tiziani,23,151.2
45,46,46,Carl Pettersson,34,152.2
46,T47,T47,Tom Byrum,27,152.4
47,T47,T47,David Toms,25,152.4
48,49,49,Stephen Ames,24,153.6
49,50,50,Loren Roberts,18,153.8
50,51,51,Chris DiMarco,24,154.6
51,52,52,Chad Campbell,27,155.9
52,53,53,Phillip Price,25,156.1
53,54,54,Tjaart van der Walt,19,161.4
54,55,55,Padraig Harrington,15,163.4
55,56,56,Larry Mize,18,165.4
56,57,57,Robert Gamez,28,165.8
57,58,58,Geoff Ogilvy,26,166.6
58,59,59,Vijay Singh,30,166.8
59,60,60,J.P. Hayes,22,167.8
60,61,61,Bob Estes,25,170.3
61,62,62,K.J. Choi,24,171.5
62,63,63,Corey Pavin,23,172.8
63,64,64,Hank Kuehne,30,173.2
64,65,65,Tom Pernice Jr.,32,173.4
65,66,66,Steve Lowery,32,173.8
66,67,67,Jason Bohn,28,175.4
67,68,68,Joe Ogilvie,30,176.7
68,69,69,Justin Bolli,24,178.3
69,70,70,Steve Elkington,20,180.1
70,71,71,Sean O'Hair,29,180.9
71,72,72,Stuart Appleby,25,182.7
72,73,73,Billy Andrade,26,182.8
73,74,74,Jeff Brehaut,23,183.8
74,75,75,James Driscoll,26,185.3
75,76,76,Charles Howell III,29,185.7
76,77,77,Mark Calcavecchia,27,187.4
77,78,78,Michael Allen,30,189.8
78,79,79,Kevin Na,32,192.6
79,80,80,Jeff Maggert,25,192.8
80,81,81,Scott McCarron,24,193.3
81,82,82,Adam Scott,19,193.4
82,83,83,Matt Kuchar,21,193.9
83,84,84,Paul Azinger,22,195.3
84,85,85,Bernhard Langer,19,200.8
85,86,86,Tim Herron,28,201.1
86,87,87,Bo Van Pelt,33,201.4
87,88,88,Pat Perez,28,202.1
88,89,89,Jerry Kelly,31,202.4
89,90,90,Tim Clark,26,204.5
90,91,91,Justin Leonard,24,205.6
91,92,92,Kevin Sutherland,26,205.9
92,93,93,Lucas Glover,28,206.9
93,94,94,Phil Mickelson,21,207.4
94,95,95,Davis Love III,24,208.0
95,96,96,Arron Oberholser,21,211.8
96,97,97,Darron Stiles,26,212.0
97,98,98,J.L. Lewis,30,212.3
98,99,99,John Senden,29,213.6
99,T100,T100,Bob Heintz,24,214.8
100,T100,T100,Peter Lonard,27,214.8
101,102,102,Jason Allred,29,218.4
102,103,103,Hunter Haas,28,220.3
103,104,104,Duffy Waldorf,28,222.2
104,105,105,Scott Verplank,25,222.8
105,106,106,Rory Sabbatini,26,223.5
106,107,107,Mark Brooks,28,224.1
107,108,108,Heath Slocum,29,224.2
108,109,109,Rod Pampling,26,225.3
109,110,110,Mark Hensby,21,225.8
110,111,111,Woody Austin,30,228.2
111,112,112,Shaun Micheel,29,229.8
112,113,113,Rob Rashell,25,232.1
113,114,114,Glen Day,27,235.3
114,115,115,Todd Hamilton,31,235.8
115,116,116,Billy Mayfair,31,237.6
116,117,117,Dan Forsman,17,237.9
117,118,118,Brendan Jones,28,241.8
118,119,119,Harrison Frazar,31,242.7
119,120,120,John Elliott,25,242.8
120,121,121,Jeff Sluman,28,243.0
121,122,122,Franklin Langham,31,244.6
122,123,123,Steve Flesch,30,247.2
123,124,124,Robert Allenby,31,247.5
124,125,125,Ben Curtis,24,247.7
125,126,126,Matt Davidson,20,247.9
126,T127,T127,José Coceres,22,250.0
127,T127,T127,Kevin Stadler,33,250.0
128,129,129,Briny Baird,33,250.6
129,130,130,Tim Petrovic,32,253.0
130,131,131,Brian Bateman,32,253.8
131,132,132,Joey Snyder III,31,257.6
132,133,133,Stephen Leaney,29,257.7
133,134,134,Hidemichi Tanaka,34,262.8
134,135,135,Charles Warren,31,263.4
135,136,136,Doug Barron,24,264.3
136,137,137,Michael Long,26,268.1
137,138,138,Bill Glasson,21,268.3
138,139,139,Marco Dawson,23,270.3
139,140,140,Tom Gillis,28,271.0
140,141,141,Vaughn Taylor,32,272.1
141,T142,T142,John Huston,31,272.3
142,T142,T142,Lee Janzen,26,272.3
143,144,144,John Rollins,30,273.7
144,145,145,Mike Weir,23,274.5
145,146,146,Jonathan Byrd,31,275.2
146,147,147,D.A. Points,33,277.1
147,148,148,Neal Lancaster,31,277.3
148,149,149,Tommy Armour III,29,278.5
149,150,150,Mark Wilson,25,278.9
150,151,151,Cameron Beckman,31,280.6
151,152,152,Jay Haas,16,281.8
152,153,153,Kenny Perry,23,282.8
153,154,154,John Daly,25,285.7
154,155,155,Justin Rose,28,286.0
155,156,156,Brian Davis,23,286.8
156,157,157,Steve Allan,32,287.2
157,158,158,Carlos Franco,25,291.0
158,159,159,Andrew Magee,29,292.7
159,160,160,Mathias Grönberg,19,293.8
160,161,161,Skip Kendall,32,295.6
161,162,162,D.J. Trahan,28,296.3
162,163,163,Chris Anderson,25,296.9
163,164,164,Fred Couples,22,298.8
164,165,165,Ryuji Imada,25,299.1
165,166,166,Frank Lickliter II,33,299.8
166,167,167,Jonathan Kaye,24,300.3
167,168,168,Danny Briggs,29,300.5
168,169,169,Greg Owen,24,301.3
169,170,170,Paul Claxton,29,302.0
170,171,171,J.J. Henry,32,304.1
171,172,172,Ted Purdy,34,305.0
172,173,173,Jay Williamson,16,307.4
173,174,174,Steve Jones,20,310.5
174,175,175,Paul Gow,27,310.7
175,176,176,Dennis Paulson,24,312.7
176,177,177,Tom Lehman,20,313.1
177,178,178,Chris Smith,32,315.2
178,179,179,Sergio Garcia,20,317.3
179,180,180,Scott Hend,28,317.8
180,181,181,Glen Hnatiuk,21,319.2
181,182,182,Robert Damron,28,319.7
182,183,183,Brett Wetterich,28,320.1
183,184,184,Rich Beem,26,321.9
184,185,185,Omar Uresti,27,328.6
185,186,186,D.J. Brigman,26,333.5
186,187,187,Jim Carter,25,334.2
187,188,188,Jeff Hart,23,335.7
188,189,189,Craig Barlow,26,336.7
189,190,190,Will MacKenzie,25,339.3
190,191,191,Bradley Hughes,20,340.4
191,192,192,Roland Thatcher,26,347.6
192,193,193,Chris Riley,25,351.9
193,194,194,Hideto Tanihara,20,352.8
194,195,195,Lee Westwood,15,354.9
195,196,196,Rocco Mediate,24,359.3
196,197,197,Craig Perks,27,364.1
197,198,198,Joey Sindelar,29,367.3
198,199,199,Thomas Levet,20,378.3
199,200,200,Alex Cejka,31,379.8
200,201,201,Joe Durant,25,387.4
201,202,202,David Hearn,24,399.3
