,Total_1_Putts_-_10-15_RANK THIS WEEK,Total_1_Putts_-_10-15_RANK LAST WEEK,Total_1_Putts_-_10-15_PLAYER NAME,Total_1_Putts_-_10-15_ROUNDS,Total_1_Putts_-_10-15_TOTAL,Total_1_Putts_-_10-15_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_10-15_PCT OF ALL 1-PUTTS
0,1,1,Bo Van Pelt,112,92,653,14.1
1,2,2,Kent Jones,99,91,626,14.5
2,3,3,Ryan Palmer,101,90,578,15.6
3,4,4,Tommy Armour III,103,89,593,15.0
4,5,5,Neal Lancaster,95,88,605,14.5
5,6,6,Ted Purdy,122,87,652,13.3
6,7,7,Woody Austin,100,86,645,13.3
7,8,8,Len Mattiace,86,84,574,14.6
8,9,9,Steve Allan,102,83,622,13.3
9,10,10,Tag Ridings,93,82,628,13.1
10,T11,T11,Billy Mayfair,114,81,659,12.3
11,T11,T11,Vijay Singh,111,81,642,12.6
12,13,13,Joey Sindelar,104,80,666,12.0
13,T14,T14,Brian Gay,101,79,701,11.3
14,T14,T14,Patrick Sheehan,114,79,699,11.3
15,T14,T14,Mark Wilson,74,79,448,17.6
16,17,17,Tim Herron,100,78,607,12.9
17,T18,T18,Hunter Mahan,103,77,644,12.0
18,T18,T18,Chris Smith,93,77,507,15.2
19,T20,T20,Billy Andrade,83,75,546,13.7
20,T20,T20,Jason Bohn,91,75,561,13.4
21,T20,T20,Steve Lowery,100,75,631,11.9
22,T23,T23,Daniel Chopra,108,74,679,10.9
23,T23,T23,Jim Furyk,94,74,525,14.1
24,T23,T23,Robert Gamez,91,74,593,12.5
25,T23,T23,Brandt Jobe,96,74,563,13.1
26,T23,T23,Hank Kuehne,84,74,538,13.8
27,T28,T28,Carl Pettersson,109,73,673,10.8
28,T28,T28,Dean Wilson,86,73,560,13.0
29,T30,T30,Bart Bryant,91,72,521,13.8
30,T30,T30,Todd Fischer,99,72,656,11.0
31,T30,T30,Frank Lickliter II,100,72,571,12.6
32,T33,T33,Harrison Frazar,105,71,656,10.8
33,T33,T33,Heath Slocum,103,71,615,11.5
34,T33,T33,Darron Stiles,78,71,502,14.1
35,T36,T36,Olin Browne,99,70,570,12.3
36,T36,T36,Stewart Cink,98,70,513,13.6
37,T36,T36,John Huston,90,70,585,12.0
38,T36,T36,Franklin Langham,91,70,510,13.7
39,T36,T36,Kevin Na,88,70,610,11.5
40,T36,T36,Pat Perez,89,70,560,12.5
41,T36,T36,Bob Tway,87,70,478,14.6
42,T36,T36,Charles Warren,89,70,533,13.1
43,T44,T44,Brad Faxon,75,69,451,15.3
44,T44,T44,Scott Gutschewski,86,69,477,14.5
45,T44,T44,Tom Pernice Jr.,111,69,650,10.6
46,T44,T44,Nick Watney,91,69,550,12.5
47,48,48,D.A. Points,94,68,556,12.2
48,T49,T49,Briny Baird,98,67,586,11.4
49,T49,T49,Marco Dawson,82,67,552,12.1
50,T49,T49,Phillip Price,77,67,470,14.3
51,T52,T52,Shigeki Maruyama,99,66,635,10.4
52,T52,T52,Vaughn Taylor,99,66,637,10.4
53,T52,T52,Omar Uresti,84,66,505,13.1
54,T55,T55,Hunter Haas,83,65,523,12.4
55,T55,T55,Sean O'Hair,103,65,597,10.9
56,T55,T55,Tim Petrovic,97,65,546,11.9
57,T55,T55,Brett Quigley,96,65,605,10.7
58,T55,T55,Kevin Stadler,96,65,575,11.3
59,T55,T55,Hidemichi Tanaka,106,65,655,9.9
60,T55,T55,Brett Wetterich,76,65,452,14.4
61,T62,T62,Robert Allenby,95,64,467,13.7
62,T62,T62,Jonathan Byrd,103,64,650,9.8
63,T62,T62,Tom Byrum,83,64,510,12.5
64,T62,T62,Chad Campbell,95,64,509,12.6
65,T62,T62,Bob Estes,92,64,575,11.1
66,T62,T62,Geoff Ogilvy,97,64,551,11.6
67,T68,T68,Aaron Baddeley,84,63,585,10.8
68,T68,T68,Fred Funk,102,63,563,11.2
69,T68,T68,Joe Ogilvie,103,63,620,10.2
70,T68,T68,Kenny Perry,82,63,410,15.4
71,T68,T68,Joey Snyder III,102,63,565,11.2
72,T68,T68,Kevin Sutherland,89,63,509,12.4
73,T74,T74,Lucas Glover,88,62,532,11.7
74,T74,T74,Dudley Hart,84,62,526,11.8
75,T74,T74,Charles Howell III,95,62,493,12.6
76,T77,T77,Matt Gogel,78,61,469,13.0
77,T77,T77,Roland Thatcher,75,61,433,14.1
78,T79,T79,Stephen Ames,82,60,461,13.0
79,T79,T79,Tim Clark,92,60,478,12.6
80,T79,T79,John Cook,72,60,408,14.7
81,T79,T79,James Driscoll,73,60,448,13.4
82,T79,T79,John Rollins,97,60,546,11.0
83,T84,T84,Brian Bateman,98,59,562,10.5
84,T84,T84,Cameron Beckman,96,59,607,9.7
85,T84,T84,Glen Day,80,59,562,10.5
86,T84,T84,Steve Flesch,90,59,443,13.3
87,T84,T84,Larry Mize,54,59,340,17.4
88,T84,T84,Jesper Parnevik,84,59,492,12.0
89,T84,T84,Rory Sabbatini,81,59,434,13.6
90,T84,T84,Jeff Sluman,94,59,585,10.1
91,T84,T84,Charlie Wi,67,59,476,12.4
92,T93,T93,Alex Cejka,84,58,456,12.7
93,T93,T93,Zach Johnson,96,58,592,9.8
94,T95,T95,Robert Damron,89,57,550,10.4
95,T95,T95,Ryuji Imada,78,57,470,12.1
96,T95,T95,Stephen Leaney,89,57,502,11.4
97,T95,T95,Justin Rose,99,57,613,9.3
98,T95,T95,Steve Stricker,62,57,479,11.9
99,T95,T95,Scott Verplank,87,57,473,12.1
100,T101,T101,Paul Gow,78,56,471,11.9
101,T101,T101,J.J. Henry,102,56,554,10.1
102,T101,T101,J.L. Lewis,98,56,578,9.7
103,T104,T104,Arjun Atwal,65,55,456,12.1
104,T104,T104,Greg Owen,84,55,486,11.3
105,T104,T104,David Toms,87,55,455,12.1
106,T107,T107,Michael Allen,90,54,554,9.7
107,T107,T107,D.J. Brigman,76,54,401,13.5
108,T107,T107,Brian Davis,75,54,473,11.4
109,T107,T107,Rod Pampling,89,54,485,11.1
110,T107,T107,Duffy Waldorf,86,54,498,10.8
111,T112,T112,Gavin Coles,70,53,460,11.5
112,T112,T112,Scott Hend,75,53,449,11.8
113,T112,T112,Skip Kendall,80,53,481,11.0
114,T112,T112,John Senden,101,53,576,9.2
115,T116,T116,Todd Hamilton,94,52,534,9.7
