,Putting_from_-__25_RANK THIS WEEK,Putting_from_-__25_RANK LAST WEEK,Putting_from_-__25_PLAYER NAME,Putting_from_-__25_ROUNDS,Putting_from_-__25_% MADE,Putting_from_-__25_ATTEMPTS,Putting_from_-__25_PUTTS MADE
163,164,164,Paul Azinger,66,4.47,246,11
164,165,165,Duffy Waldorf,86,4.44,315,14
165,T166,T166,Fred Couples,72,4.42,181,8
166,T166,T166,Hideto Tanihara,50,4.42,181,8
167,168,168,Vijay Singh,111,4.39,342,15
168,169,169,Chris Riley,67,4.38,160,7
169,170,170,Jason Allred,75,4.36,298,13
170,T171,T171,Neal Lancaster,95,4.31,371,16
171,T171,T171,Ted Purdy,122,4.31,464,20
172,173,173,Bill Glasson,54,4.3,186,8
173,174,174,Ian Poulter,62,4.29,163,7
174,T175,T175,Mark Brooks,72,4.26,258,11
175,T175,T175,Jeff Hart,63,4.26,235,10
176,177,177,Steve Jones,56,4.25,212,9
177,T178,T178,Brent Geiberger,61,4.17,264,11
178,T178,T178,Jonathan Kaye,77,4.17,264,11
179,180,180,Franklin Langham,91,4.14,314,13
180,T181,T181,John Rollins,97,4.12,388,16
181,T181,T181,Tjaart van der Walt,56,4.12,267,11
182,183,183,Daniel Chopra,108,4.11,389,16
183,184,184,Robert Allenby,95,4.09,318,13
184,185,185,Jason Bohn,91,3.94,355,14
185,186,186,John Daly,78,3.9,231,9
186,187,187,D.J. Brigman,76,3.83,287,11
187,188,188,Roland Thatcher,75,3.77,292,11
188,189,189,Sergio Garcia,73,3.75,240,9
189,190,190,Justin Bolli,65,3.65,219,8
190,191,191,Ben Curtis,65,3.5,200,7
191,192,192,Kevin Sutherland,89,3.41,381,13
192,193,193,Andrew Magee,82,3.38,296,10
193,194,194,Brett Wetterich,76,3.3,273,9
194,195,195,Joe Durant,81,3.15,317,10
195,196,196,Luke Donald,67,3.14,191,6
196,197,197,Todd Fischer,99,3.13,352,11
197,198,198,Doug Barron,70,2.87,244,7
198,199,199,Bradley Hughes,52,2.59,232,6
199,200,200,Jim Carter,62,2.54,236,6
200,201,201,Matt Davidson,53,1.83,218,4
201,202,202,Retief Goosen,71,1.02,197,2
