,Putting_from_Inside_5_RANK THIS WEEK,Putting_from_Inside_5_RANK LAST WEEK,Putting_from_Inside_5_PLAYER NAME,Putting_from_Inside_5_ROUNDS,Putting_from_Inside_5_%,Putting_from_Inside_5_ATTEMPTS,Putting_from_Inside_5_PUTTS MADE
0,1,1,Ian Poulter,62,98.14,483,474
1,2,2,Stewart Cink,98,98.13,964,946
2,3,3,Steve Stricker,62,98.1,788,773
3,4,4,Brad Faxon,75,98.02,756,741
4,5,5,John Cook,72,98.01,804,788
5,T6,T6,Retief Goosen,71,97.73,617,603
6,T6,T6,Zach Johnson,96,97.73,1145,1119
7,T6,T6,Richard Johnson,50,97.73,617,603
8,9,9,Luke Donald,67,97.69,563,550
9,10,10,Vijay Singh,111,97.68,1208,1180
10,11,11,Mario Tiziani,67,97.64,848,828
11,12,12,Dudley Hart,84,97.63,972,949
12,13,13,Jeff Brehaut,71,97.61,877,856
13,14,14,Loren Roberts,54,97.59,663,647
14,15,15,Jerry Kelly,101,97.58,1073,1047
15,16,16,Fred Funk,102,97.52,1131,1103
16,T17,T17,Kirk Triplett,55,97.51,602,587
17,T17,T17,Tiger Woods,76,97.51,762,743
18,19,19,Bart Bryant,91,97.5,1042,1016
19,20,20,Brian Gay,101,97.48,1270,1238
20,21,21,Olin Browne,99,97.46,1140,1111
21,22,22,Brett Quigley,96,97.41,1160,1130
22,T23,T23,Freddie Jacobson,72,97.4,732,713
23,T23,T23,Jesper Parnevik,84,97.4,924,900
24,T25,T25,Brent Geiberger,61,97.38,724,705
25,T25,T25,Ryan Palmer,101,97.38,1068,1040
26,27,27,Shigeki Maruyama,99,97.37,1177,1146
27,28,28,Bob Estes,92,97.34,1126,1096
28,T29,T29,Steve Elkington,67,97.33,787,766
29,T29,T29,Bob Tway,87,97.33,900,876
30,31,31,Matt Gogel,78,97.32,934,909
31,32,32,Dean Wilson,86,97.31,1079,1050
32,33,33,Hunter Mahan,103,97.3,1298,1263
33,T34,T34,Tom Gillis,77,97.27,954,928
34,T34,T34,Phillip Price,77,97.27,879,855
35,T36,T36,Michael Allen,90,97.25,1090,1060
36,T36,T36,Charlie Wi,67,97.25,800,778
37,38,38,Tom Pernice Jr.,111,97.23,1227,1193
38,T39,T39,Arron Oberholser,65,97.19,711,691
39,T39,T39,Patrick Sheehan,114,97.19,1319,1282
40,41,41,Tag Ridings,93,97.18,1133,1101
41,42,42,Bill Glasson,54,97.16,599,582
42,43,43,Ben Curtis,65,97.15,702,682
43,T44,T44,Jim Furyk,94,97.12,971,943
44,T44,T44,David Toms,87,97.12,833,809
45,46,46,Mark Hensby,70,97.11,693,673
46,47,47,Robert Gamez,91,97.08,1096,1064
47,48,48,James Driscoll,73,97.07,886,860
48,49,49,Geoff Ogilvy,97,97.06,1022,992
49,50,50,Chris Anderson,66,97.04,812,788
50,51,51,Phil Mickelson,81,97.03,673,653
51,52,52,Ben Crane,78,96.99,864,838
52,53,53,Chris DiMarco,83,96.97,826,801
53,T54,T54,Gavin Coles,70,96.96,856,830
54,T54,T54,Tjaart van der Walt,56,96.96,757,734
55,56,56,Tommy Armour III,103,96.95,1313,1273
56,57,57,Larry Mize,54,96.94,620,601
57,T58,T58,K.J. Choi,78,96.93,750,727
58,T58,T58,Ryuji Imada,78,96.93,944,915
59,60,60,Scott McCarron,78,96.92,845,819
60,T61,T61,John Senden,101,96.89,1285,1245
