,Putting_from_-__10_RANK THIS WEEK,Putting_from_-__10_RANK LAST WEEK,Putting_from_-__10_PLAYER NAME,Putting_from_-__10_ROUNDS,Putting_from_-__10_% MADE,Putting_from_-__10_ATTEMPTS,Putting_from_-__10_PUTTS MADE
0,1,1,Brad Faxon,75,20.56,574,118
1,2,2,Loren Roberts,54,19.85,534,106
2,3,3,Phillip Price,77,19.73,669,132
3,4,4,Bob Tway,87,19.7,741,146
4,5,5,Len Mattiace,86,19.54,819,160
5,6,6,Brenden Pappas,51,19.43,530,103
6,7,7,Larry Mize,54,19.4,500,97
7,8,8,Charlie Wi,67,19.11,586,112
8,9,9,Ryan Palmer,101,18.91,878,166
9,10,10,Tim Herron,100,18.9,799,151
10,11,11,Steve Stricker,62,18.84,584,110
11,T12,T12,Billy Andrade,83,18.64,767,143
12,T12,T12,Arjun Atwal,65,18.64,649,121
13,T12,T12,Joe Ogilvie,103,18.64,778,145
14,15,15,Kent Jones,99,18.52,961,178
15,16,16,Dudley Hart,84,18.49,784,145
16,T17,T17,John Cook,72,18.31,628,115
17,T17,T17,Kevin Na,88,18.31,781,143
18,19,19,Steve Lowery,100,18.26,909,166
19,20,20,Bob Heintz,67,18.24,636,116
20,21,21,Mark Wilson,74,18.15,672,122
21,22,22,Phil Mickelson,81,18.13,502,91
22,23,23,Matt Gogel,78,18.1,746,135
23,24,24,Dan Forsman,52,18.04,521,94
24,25,25,Freddie Jacobson,72,18.02,566,102
25,26,26,José María Olazábal,55,17.92,424,76
26,27,27,Aaron Baddeley,84,17.89,766,137
27,28,28,Padraig Harrington,50,17.88,425,76
28,29,29,Charles Howell III,95,17.87,806,144
29,T30,T30,Ben Crane,78,17.85,650,116
30,T30,T30,Jim Furyk,94,17.85,773,138
31,32,32,Mario Tiziani,67,17.81,668,119
32,33,33,Richard Johnson,50,17.8,500,89
33,34,34,Stewart Cink,98,17.75,766,136
34,35,35,David Toms,87,17.72,683,121
35,36,36,Steve Allan,102,17.56,951,167
36,37,37,Hunter Haas,83,17.37,760,132
37,T38,T38,Kirk Triplett,55,17.36,484,84
38,T38,T38,Dean Wilson,86,17.36,847,147
39,T40,T40,Chad Campbell,95,17.32,843,146
40,T40,T40,Kenny Perry,82,17.32,664,115
41,42,42,Daniel Chopra,108,17.31,959,166
42,43,43,Hank Kuehne,84,17.3,792,137
43,44,44,Mark O'Meara,66,17.29,532,92
44,T45,T45,Glen Day,80,17.27,724,125
45,T45,T45,James Driscoll,73,17.27,660,114
46,T45,T45,Robert Gamez,91,17.27,834,144
47,48,48,Hunter Mahan,103,17.26,1031,178
48,49,49,Jay Haas,54,17.22,418,72
49,50,50,Mark Hensby,70,17.2,529,91
50,T51,T51,Bob Estes,92,17.15,834,143
51,T51,T51,Geoff Ogilvy,97,17.15,758,130
52,53,53,Brian Gay,101,17.12,987,169
53,54,54,Tiger Woods,76,17.08,568,97
54,55,55,Stephen Ames,82,17.06,633,108
55,T56,T56,Woody Austin,100,17.05,915,156
56,T56,T56,Jay Williamson,53,17.05,481,82
57,58,58,Bo Van Pelt,112,17.02,1046,178
58,59,59,Tim Clark,92,17.0,641,109
59,60,60,Pat Perez,89,16.94,744,126
60,61,61,Gavin Coles,70,16.84,665,112
61,T62,T62,Chris Anderson,66,16.78,578,97
62,T62,T62,K.J. Choi,78,16.78,572,96
63,64,64,Rory Sabbatini,81,16.77,638,107
64,65,65,Marco Dawson,82,16.75,830,139
65,66,66,Neal Lancaster,95,16.74,902,151
66,67,67,John Huston,90,16.73,807,135
67,68,68,Brian Davis,75,16.72,652,109
68,69,69,Bart Bryant,91,16.71,856,143
69,70,70,Paul Gow,78,16.69,689,115
70,T71,T71,Steve Flesch,90,16.67,684,114
71,T71,T71,Vijay Singh,111,16.67,912,152
72,73,73,Brett Quigley,96,16.61,867,144
73,74,74,Davis Love III,80,16.56,604,100
74,75,75,Scott McCarron,78,16.54,653,108
75,76,76,Lee Westwood,50,16.48,352,58
76,77,77,Patrick Sheehan,114,16.47,1032,170
77,78,78,Chris DiMarco,83,16.44,596,98
78,79,79,Harrison Frazar,105,16.43,974,160
79,80,80,Tag Ridings,93,16.42,883,145
80,T81,T81,Jesper Parnevik,84,16.4,689,113
81,T81,T81,Darron Stiles,78,16.4,744,122
82,83,83,Mathias Grönberg,60,16.39,592,97
83,T84,T84,Scott Hend,75,16.38,690,113
84,T84,T84,Brandt Jobe,96,16.38,885,145
85,86,86,John Elliott,58,16.36,538,88
86,87,87,Corey Pavin,77,16.35,630,103
87,88,88,Fred Couples,72,16.34,465,76
88,89,89,Matt Kuchar,60,16.33,594,97
89,90,90,Shaun Micheel,81,16.25,714,116
90,91,91,Nick Watney,91,16.24,893,145
91,92,92,Adam Scott,72,16.22,561,91
92,93,93,Briny Baird,98,16.21,1012,164
93,94,94,Sean O'Hair,103,16.19,945,153
94,95,95,Brett Wetterich,76,16.18,723,117
95,96,96,Tim Petrovic,97,16.17,835,135
96,97,97,Brent Geiberger,61,16.15,582,94
97,T98,T98,Rob Rashell,65,16.09,547,88
98,T98,T98,Charles Warren,89,16.09,895,144
99,100,100,Frank Lickliter II,100,16.07,921,148
100,101,101,Scott Verplank,87,16.03,680,109
101,102,102,Zach Johnson,96,16.02,880,141
102,T103,T103,Todd Fischer,99,15.99,863,138
103,T103,T103,Todd Hamilton,94,15.99,769,123
104,T103,T103,Rod Pampling,89,15.99,744,119
105,106,106,Tom Pernice Jr.,111,15.98,895,143
106,107,107,Olin Browne,99,15.96,946,151
107,108,108,Ian Poulter,62,15.95,395,63
108,109,109,Brendan Jones,81,15.89,774,123
109,110,110,Lee Janzen,75,15.84,625,99
110,111,111,Tom Gillis,77,15.83,720,114
111,112,112,Kevin Stadler,96,15.81,879,139
