,Putting_from_5-10_RANK THIS WEEK,Putting_from_5-10_RANK LAST WEEK,Putting_from_5-10_PLAYER NAME,Putting_from_5-10_ROUNDS,Putting_from_5-10_%,Putting_from_5-10_ATTEMPTS,Putting_from_5-10_PUTTS MADE
0,1,1,Ben Crane,78,68.01,297,202
1,2,2,J.P. Hayes,63,67.22,241,162
2,3,3,Rory Sabbatini,81,66.31,282,187
3,4,4,Arjun Atwal,65,65.92,267,176
4,5,5,José María Olazábal,55,65.91,176,116
5,6,6,Aaron Baddeley,84,65.09,338,220
6,7,7,Olin Browne,99,64.72,343,222
7,8,8,Brian Gay,101,64.61,373,241
8,9,9,Len Mattiace,86,64.57,350,226
9,10,10,Tag Ridings,93,64.4,368,237
10,11,11,Mark O'Meara,66,64.16,226,145
11,12,12,Joe Ogilvie,103,64.0,375,240
12,13,13,David Toms,87,63.82,293,187
13,14,14,Darron Stiles,78,63.67,300,191
14,15,15,Luke Donald,67,62.96,162,102
15,16,16,Bob Heintz,67,62.69,260,163
16,17,17,Mark Calcavecchia,92,62.54,339,212
17,18,18,Tom Byrum,83,62.5,336,210
18,T19,T19,José Coceres,56,62.45,245,153
19,T19,T19,Matt Davidson,53,62.45,237,148
20,21,21,Duffy Waldorf,86,62.42,306,191
21,22,22,Patrick Sheehan,114,62.38,404,252
22,23,23,Tiger Woods,76,62.34,231,144
23,24,24,Nick Watney,91,62.3,313,195
24,25,25,Stephen Ames,82,62.06,253,157
25,T26,T26,Jim Furyk,94,61.94,310,192
26,T26,T26,Sean O'Hair,103,61.94,381,236
27,28,28,Steve Stricker,62,61.89,265,164
28,29,29,Justin Leonard,78,61.6,237,146
29,30,30,Gavin Coles,70,61.48,283,174
30,31,31,Stephen Leaney,89,61.46,314,193
31,32,32,Tjaart van der Walt,56,61.36,220,135
32,33,33,Shigeki Maruyama,99,61.35,370,227
33,34,34,Paul Azinger,66,60.92,284,173
34,35,35,Scott Gutschewski,86,60.83,314,191
35,36,36,Brent Geiberger,61,60.78,204,124
36,37,37,Corey Pavin,77,60.58,241,146
37,38,38,Richard Johnson,50,60.4,202,122
38,39,39,Bo Van Pelt,112,60.3,398,240
39,40,40,Tim Herron,100,60.06,308,185
40,T41,T41,Fred Funk,102,60.0,380,228
41,T41,T41,Bill Glasson,54,60.0,225,135
42,T41,T41,Kirk Triplett,55,60.0,185,111
43,44,44,Steve Flesch,90,59.79,291,174
44,45,45,Jeff Maggert,79,59.77,266,159
45,46,46,Hank Kuehne,84,59.76,328,196
46,47,47,Freddie Jacobson,72,59.72,283,169
47,48,48,Brandt Jobe,96,59.67,367,219
48,T49,T49,Dudley Hart,84,59.62,317,189
49,T49,T49,Bob Tway,87,59.62,260,155
50,51,51,Dan Forsman,52,59.61,203,121
51,52,52,Stewart Cink,98,59.55,309,184
52,53,53,Bart Bryant,91,59.54,346,206
53,54,54,Stuart Appleby,84,59.49,274,163
54,55,55,Carl Pettersson,109,59.47,412,245
55,56,56,J.L. Lewis,98,59.43,424,252
56,57,57,Pat Perez,89,59.39,330,196
57,58,58,Davis Love III,80,59.34,241,143
58,59,59,Greg Owen,84,59.33,300,178
59,60,60,Jesper Parnevik,84,59.32,295,175
60,61,61,Larry Mize,54,59.22,206,122
61,62,62,Ryan Palmer,101,59.17,387,229
62,63,63,Skip Kendall,80,59.15,306,181
63,T64,T64,Robert Gamez,91,59.14,372,220
64,T64,T64,Charlie Wi,67,59.14,301,178
65,66,66,Matt Kuchar,60,59.11,225,133
66,67,67,Danny Briggs,70,59.07,281,166
67,T68,T68,Todd Fischer,99,59.02,388,229
68,T68,T68,John Senden,101,59.02,388,229
69,70,70,Scott Verplank,87,58.88,304,179
70,71,71,Daniel Chopra,108,58.85,418,246
71,72,72,Vaughn Taylor,99,58.78,393,231
72,73,73,Mark Brooks,72,58.74,286,168
73,T74,T74,Michael Allen,90,58.73,315,185
74,T74,T74,Padraig Harrington,50,58.73,189,111
75,76,76,K.J. Choi,78,58.7,230,135
76,77,77,Lucas Glover,88,58.69,351,206
77,78,78,Brenden Pappas,51,58.59,198,116
78,79,79,Brian Davis,75,58.55,275,161
79,80,80,Dean Wilson,86,58.5,359,210
80,81,81,Brad Faxon,75,58.49,265,155
81,82,82,Jason Allred,75,58.48,289,169
82,83,83,Shaun Micheel,81,58.46,272,159
83,84,84,Marco Dawson,82,58.43,344,201
84,85,85,Carlos Franco,78,58.39,286,167
85,86,86,Chad Campbell,95,58.38,346,202
86,87,87,Ian Poulter,62,58.33,180,105
87,88,88,Tom Pernice Jr.,111,58.27,393,229
88,89,89,Bernhard Langer,67,58.25,194,113
89,T90,T90,Zach Johnson,96,58.15,368,214
90,T90,T90,Kent Jones,99,58.15,399,232
91,92,92,Phil Mickelson,81,58.13,246,143
92,93,93,Chris DiMarco,83,57.98,257,149
93,94,94,Rob Rashell,65,57.89,247,143
94,95,95,Jeff Sluman,94,57.88,349,202
95,96,96,Rod Pampling,89,57.86,280,162
96,97,97,Vijay Singh,111,57.77,386,223
97,98,98,Billy Andrade,83,57.76,322,186
98,99,99,Hunter Haas,83,57.7,305,176
99,100,100,Tim Clark,92,57.63,295,170
100,101,101,Briny Baird,98,57.62,387,223
101,102,102,Heath Slocum,103,57.61,427,246
102,T103,T103,Scott McCarron,78,57.59,257,148
103,T103,T103,Geoff Ogilvy,97,57.59,349,201
104,T103,T103,Kevin Sutherland,89,57.59,290,167
105,106,106,Retief Goosen,71,57.54,179,103
106,107,107,Jeff Brehaut,71,57.43,296,170
107,108,108,Todd Hamilton,94,57.4,331,190
108,109,109,Joey Snyder III,102,57.37,373,214
109,T110,T110,Justin Bolli,65,57.3,274,157
110,T110,T110,Lee Janzen,75,57.3,267,153
111,112,112,Kevin Na,88,57.26,379,217
112,113,113,John Daly,78,57.09,247,141
113,114,114,Arron Oberholser,65,57.02,228,130
114,115,115,J.J. Henry,102,57.01,335,191
115,116,116,Charles Warren,89,56.98,351,200
116,117,117,Ben Curtis,65,56.94,216,123
117,118,118,Jason Bohn,91,56.93,332,189
118,119,119,Justin Rose,99,56.92,390,222
119,120,120,John Huston,90,56.86,350,199
120,121,121,Franklin Langham,91,56.78,317,180
121,122,122,Hidemichi Tanaka,106,56.73,416,236
122,123,123,D.J. Trahan,81,56.63,309,175
123,T124,T124,Cameron Beckman,96,56.61,378,214
124,T124,T124,Harrison Frazar,105,56.61,454,257
125,126,126,Sergio Garcia,73,56.56,221,125
126,127,127,Ted Purdy,122,56.51,407,230
127,128,128,Brian Bateman,98,56.5,354,200
128,129,129,D.A. Points,94,56.4,383,216
129,130,130,Matt Gogel,78,56.34,268,151
130,131,131,Charles Howell III,95,56.27,295,166
131,132,132,Robert Damron,89,56.22,386,217
132,133,133,Jerry Kelly,101,56.21,322,181
133,134,134,Jim Carter,62,56.11,262,147
134,135,135,Hunter Mahan,103,56.1,385,216
135,136,136,Tim Petrovic,97,55.94,379,212
136,137,137,Billy Mayfair,114,55.9,483,270
137,138,138,Andrew Magee,82,55.86,333,186
138,139,139,Adam Scott,72,55.81,215,120
139,140,140,Peter Lonard,85,55.76,269,150
140,141,141,Jeff Hart,63,55.73,253,141
141,142,142,Brett Quigley,96,55.67,406,226
142,143,143,Kevin Stadler,96,55.65,363,202
143,144,144,Mike Weir,71,55.56,207,115
144,145,145,Fred Couples,72,55.37,177,98
145,146,146,Steve Jones,56,55.35,215,119
146,147,147,Craig Barlow,81,55.33,300,166
147,148,148,Steve Allan,102,55.22,393,217
148,149,149,Dennis Paulson,63,55.16,252,139
149,150,150,Neal Lancaster,95,55.15,379,209
150,151,151,Doug Barron,70,55.14,292,161
151,152,152,Jay Haas,54,55.13,156,86
152,153,153,Paul Claxton,79,55.12,283,156
153,154,154,John Rollins,97,54.99,371,204
154,155,155,Jonathan Kaye,77,54.98,271,149
155,156,156,Glen Day,80,54.93,304,167
156,157,157,Omar Uresti,84,54.9,306,168
157,158,158,Rich Beem,66,54.72,212,116
158,159,159,Brendan Jones,81,54.67,353,193
159,160,160,Frank Lickliter II,100,54.42,373,203
160,161,161,Robert Allenby,95,54.35,322,175
161,162,162,Jonathan Byrd,103,54.26,411,223
162,163,163,D.J. Brigman,76,54.23,284,154
163,164,164,Scott Hend,75,54.11,292,158
164,165,165,Loren Roberts,54,53.97,189,102
165,166,166,Steve Elkington,67,53.95,215,116
166,167,167,Will MacKenzie,75,53.94,330,178
167,168,168,Bob Estes,92,53.73,322,173
168,169,169,Mark Wilson,74,53.65,274,147
169,170,170,Phillip Price,77,53.64,261,140
170,171,171,Steve Lowery,100,53.48,374,200
171,172,172,Tom Lehman,69,53.01,183,97
172,T173,T173,James Driscoll,73,52.94,255,135
173,T173,T173,Kenny Perry,82,52.94,272,144
174,T175,T175,Ryuji Imada,78,52.83,318,168
175,T175,T175,Jay Williamson,53,52.83,212,112
176,177,177,Roland Thatcher,75,52.78,324,171
177,178,178,Rocco Mediate,73,52.76,326,172
178,179,179,John Cook,72,52.67,262,138
179,180,180,Chris Anderson,66,52.63,285,150
180,181,181,Joey Sindelar,104,52.59,424,223
181,T182,T182,Tom Gillis,77,52.57,331,174
182,T182,T182,Chris Smith,93,52.57,331,174
183,184,184,Thomas Levet,54,52.54,177,93
184,185,185,Mark Hensby,70,52.47,223,117
185,186,186,Woody Austin,100,52.39,439,230
186,187,187,Craig Perks,67,52.27,264,138
187,188,188,Bradley Hughes,52,52.09,215,112
188,189,189,Michael Long,72,52.08,288,150
189,190,190,Glen Hnatiuk,59,52.07,217,113
190,191,191,Alex Cejka,84,52.06,340,177
191,192,192,Joe Durant,81,51.8,305,158
192,193,193,Mario Tiziani,67,51.78,253,131
193,194,194,Tommy Armour III,103,51.72,377,195
194,195,195,Chris Riley,67,51.43,175,90
195,T196,T196,John Elliott,58,51.32,228,117
196,T196,T196,Paul Gow,78,51.32,304,156
197,198,198,Hideto Tanihara,50,51.03,194,99
198,199,199,David Hearn,68,50.92,271,138
199,200,200,Brett Wetterich,76,50.0,314,157
200,201,201,Lee Westwood,50,49.65,143,71
201,202,202,Mathias Grönberg,60,49.15,234,115
