,One-Putt_Percentage_-_Round_1_RANK THIS WEEK,One-Putt_Percentage_-_Round_1_RANK LAST WEEK,One-Putt_Percentage_-_Round_1_PLAYER NAME,One-Putt_Percentage_-_Round_1_ROUNDS,One-Putt_Percentage_-_Round_1_%,One-Putt_Percentage_-_Round_1_# OF 1 PUTTS,One-Putt_Percentage_-_Round_1_# OF HOLES
0,1,1,Charlie Wi,67,47.47,188,396
1,2,2,Jesper Parnevik,84,46.38,192,414
2,3,3,Lee Westwood,50,45.63,115,252
3,4,4,Ben Crane,78,45.28,163,360
4,5,5,Tom Pernice Jr.,111,44.27,247,558
5,6,6,Steve Stricker,62,44.18,167,378
6,7,7,Arjun Atwal,65,43.79,134,306
7,8,8,Tim Clark,92,43.52,188,432
8,9,9,Paul Azinger,66,43.43,172,396
9,10,10,Mark O'Meara,66,43.39,164,378
10,11,11,Freddie Jacobson,72,43.18,171,396
11,12,12,Geoff Ogilvy,97,43.11,194,450
12,13,13,Brenden Pappas,51,42.96,116,270
13,14,14,Pat Perez,89,42.86,216,504
14,15,15,Brad Faxon,75,42.68,169,396
15,16,16,Lee Janzen,75,42.67,192,450
16,T17,T17,Cameron Beckman,96,42.59,230,540
17,T17,T17,Dean Wilson,86,42.59,207,486
18,19,19,Brent Geiberger,61,42.5,153,360
19,20,20,Retief Goosen,71,42.36,122,288
20,21,21,Todd Fischer,99,42.32,259,612
21,22,22,Ryan Palmer,101,42.11,235,558
22,23,23,Joe Ogilvie,103,41.95,219,522
23,24,24,Tiger Woods,76,41.94,151,360
24,25,25,Billy Andrade,83,41.88,196,468
25,26,26,Phil Mickelson,81,41.81,143,342
26,T27,T27,John Rollins,97,41.57,217,522
27,T27,T27,Vijay Singh,111,41.57,217,522
28,29,29,Dudley Hart,84,41.56,187,450
29,30,30,Corey Pavin,77,41.41,164,396
30,31,31,J.P. Hayes,63,41.27,156,378
31,32,32,Carl Pettersson,109,41.25,245,594
32,33,33,Larry Mize,54,41.18,126,306
33,34,34,Bob Estes,92,41.11,185,450
34,35,35,Brian Gay,101,40.97,236,576
35,36,36,Chris Riley,67,40.82,169,414
36,37,37,Bart Bryant,91,40.81,191,468
37,38,38,Hidemichi Tanaka,106,40.74,242,594
38,39,39,Jonathan Byrd,103,40.56,219,540
39,40,40,José Coceres,56,40.48,153,378
40,41,41,Aaron Baddeley,84,40.38,189,468
41,T42,T42,Matt Davidson,53,40.28,145,360
42,T42,T42,Luke Donald,67,40.28,116,288
43,44,44,Justin Bolli,65,40.1,166,414
44,45,45,Tag Ridings,93,40.0,216,540
45,46,46,Jay Williamson,53,39.93,115,288
46,47,47,Tim Herron,100,39.92,194,486
47,48,48,Scott Hend,75,39.71,193,486
48,49,49,K.J. Choi,78,39.65,157,396
49,50,50,Jeff Sluman,94,39.51,192,486
50,51,51,Robert Gamez,91,39.48,199,504
51,52,52,Joey Sindelar,104,39.46,206,522
52,53,53,Harrison Frazar,105,39.44,213,540
53,54,54,Gavin Coles,70,39.39,156,396
54,T55,T55,Carlos Franco,78,39.35,170,432
55,T55,T55,Rod Pampling,89,39.35,170,432
56,57,57,Paul Gow,78,39.33,177,450
57,58,58,Mark Calcavecchia,92,39.32,184,468
58,59,59,Matt Gogel,78,39.3,191,486
59,60,60,Hank Kuehne,84,39.27,205,522
60,61,61,John Huston,90,39.26,212,540
61,62,62,Len Mattiace,86,39.23,233,594
62,T63,T63,Chris Anderson,66,39.12,169,432
63,T63,T63,Bob Heintz,67,39.12,169,432
64,T65,T65,Steve Flesch,90,39.09,197,504
65,T65,T65,Omar Uresti,84,39.09,190,486
66,67,67,Steve Lowery,100,39.07,218,558
67,68,68,Patrick Sheehan,114,39.05,239,612
68,T69,T69,Briny Baird,98,38.89,217,558
69,T69,T69,Richard Johnson,50,38.89,112,288
70,T69,T69,Bernhard Langer,67,38.89,133,342
71,T69,T69,Mario Tiziani,67,38.89,154,396
72,73,73,Daniel Chopra,108,38.72,230,594
73,74,74,Hunter Haas,83,38.68,188,486
74,75,75,Stuart Appleby,84,38.65,160,414
75,76,76,Mark Hensby,70,38.6,132,342
76,77,77,Mathias Grönberg,60,38.58,125,324
77,78,78,Kirk Triplett,55,38.56,118,306
78,79,79,Dan Forsman,52,38.54,111,288
79,80,80,Skip Kendall,80,38.53,215,558
80,T81,T81,Jason Allred,75,38.49,194,504
81,T81,T81,Padraig Harrington,50,38.49,97,252
82,83,83,Charles Howell III,95,38.48,187,486
83,84,84,Bob Tway,87,38.44,173,450
84,T85,T85,Brian Davis,75,38.41,159,414
85,T85,T85,Marco Dawson,82,38.41,159,414
86,87,87,Steve Allan,102,38.35,214,558
87,88,88,Kevin Na,88,38.33,207,540
88,T89,T89,Paul Claxton,79,38.31,200,522
89,T89,T89,Fred Funk,102,38.31,200,522
90,91,91,Bill Glasson,54,38.3,131,342
91,92,92,Jason Bohn,91,38.29,193,504
92,93,93,Andrew Magee,82,38.27,186,486
93,94,94,Brandt Jobe,96,38.25,179,468
94,95,95,Jim Furyk,94,38.22,172,450
95,96,96,José María Olazábal,55,38.15,103,270
96,97,97,Alex Cejka,84,38.12,199,522
97,98,98,Shigeki Maruyama,99,38.1,192,504
98,99,99,Arron Oberholser,65,38.06,137,360
99,100,100,Hunter Mahan,103,38.05,226,594
100,101,101,Glen Day,80,38.03,178,468
101,102,102,Steve Jones,56,38.01,130,342
102,103,103,Rob Rashell,65,38.0,171,450
103,104,104,Vaughn Taylor,99,37.99,212,558
104,105,105,Brett Quigley,96,37.96,205,540
105,106,106,Scott McCarron,78,37.92,157,414
106,107,107,Ted Purdy,122,37.91,232,612
107,108,108,Davis Love III,80,37.88,150,396
108,109,109,Tom Byrum,83,37.86,184,486
109,T110,T110,Woody Austin,100,37.78,204,540
110,T110,T110,Craig Barlow,81,37.78,170,450
111,T110,T110,J.L. Lewis,98,37.78,204,540
112,113,113,Phillip Price,77,37.73,163,432
113,114,114,Brian Bateman,98,37.63,210,558
114,T115,T115,Ryuji Imada,78,37.56,169,450
115,T115,T115,Rory Sabbatini,81,37.56,169,450
116,T115,T115,Darron Stiles,78,37.56,169,450
117,118,118,Todd Hamilton,94,37.55,196,522
118,T119,T119,John Daly,78,37.5,162,432
119,T119,T119,Heath Slocum,103,37.5,189,504
120,121,121,Jeff Maggert,79,37.44,155,414
121,122,122,Nick Watney,91,37.41,202,540
122,123,123,Chris DiMarco,83,37.37,148,396
123,T124,T124,Mark Brooks,72,37.3,188,504
124,T124,T124,Robert Damron,89,37.3,188,504
125,126,126,Tim Petrovic,97,37.28,208,558
126,127,127,Jim Carter,62,37.27,161,432
127,128,128,Rocco Mediate,73,37.2,154,414
128,129,129,James Driscoll,73,37.11,167,450
129,T130,T130,John Elliott,58,37.04,160,432
130,T130,T130,Matt Kuchar,60,37.04,140,378
131,T132,T132,Tommy Armour III,103,36.97,193,522
132,T132,T132,Peter Lonard,85,36.97,173,468
133,134,134,Kevin Sutherland,89,36.89,166,450
134,135,135,Ian Poulter,62,36.84,126,342
135,136,136,Mike Weir,71,36.77,139,378
136,137,137,J.J. Henry,102,36.74,205,558
137,138,138,Adam Scott,72,36.73,119,324
138,139,139,Steve Elkington,67,36.67,132,360
139,140,140,Stephen Ames,82,36.62,145,396
140,141,141,Stewart Cink,98,36.57,158,432
141,T142,T142,Franklin Langham,91,36.48,197,540
