,Average_Putting_Distance_-_GIR_3_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_3_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_3_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_3_Putts_ROUNDS,Average_Putting_Distance_-_GIR_3_Putts_AVG,Average_Putting_Distance_-_GIR_3_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_3_Putts_TOTAL PUTTS
0,T1,T1,Jay Haas,54,"52' 0""",9.363999999999999,15
1,T1,T1,John Senden,101,"52' 0""",24.325,39
2,3,3,Ben Curtis,65,"51' 2""",12.277000000000001,20
3,4,4,Kevin Sutherland,89,"50' 4""",23.551,39
4,5,5,Jesper Parnevik,84,"50' 3""",11.46,19
5,6,6,Todd Hamilton,94,"49' 11""",14.972000000000001,25
6,7,7,Larry Mize,54,"49' 5""",14.222999999999999,24
7,8,8,Shaun Micheel,81,"49' 3""",18.899,32
8,9,9,Aaron Baddeley,84,"48' 10""",15.231,26
9,T10,T10,Bart Bryant,91,"48' 8""",18.117,31
10,T10,T10,John Elliott,58,"48' 8""",14.606,25
11,12,12,Jay Williamson,53,"48' 7""",12.234000000000002,21
12,13,13,Brad Faxon,75,"48' 5""",8.717,15
13,14,14,Richard Johnson,50,"48' 3""",10.998,19
14,15,15,Bob Tway,87,"48' 2""",12.717,22
15,16,16,Len Mattiace,86,"47' 10""",17.22,30
16,17,17,Harrison Frazar,105,"47' 5""",22.747,40
17,18,18,Jonathan Kaye,77,"47' 4""",18.180999999999997,32
18,19,19,Jeff Brehaut,71,"47' 1""",12.987,23
19,20,20,Michael Allen,90,"46' 10""",15.187000000000001,27
20,21,21,Lee Westwood,50,"46' 9""",9.535,17
21,T22,T22,Jim Furyk,94,"46' 6""",16.187,29
22,T22,T22,Padraig Harrington,50,"46' 6""",9.492,17
23,24,24,John Daly,78,"46' 5""",14.472000000000001,26
24,25,25,Luke Donald,67,"46' 4""",8.901,16
25,26,26,James Driscoll,73,"46' 3""",14.433,26
26,27,27,Tim Petrovic,97,"45' 11""",17.622,32
27,28,28,John Cook,72,"45' 9""",10.432,19
28,T29,T29,J.J. Henry,102,"45' 5""",26.691,49
29,T29,T29,Rocco Mediate,73,"45' 5""",24.521,45
30,31,31,Duffy Waldorf,86,"45' 2""",20.055999999999997,37
31,T32,T32,Brent Geiberger,61,"45' 1""",6.486000000000001,12
32,T32,T32,Chris Smith,93,"45' 1""",31.932,59
33,T34,T34,Bill Glasson,54,"45' 0""",11.349,21
34,T34,T34,Joey Sindelar,104,"45' 0""",28.642,53
35,T36,T36,Vijay Singh,111,"44' 11""",19.418,36
36,T36,T36,Kirk Triplett,55,"44' 11""",7.01,13
37,T38,T38,Paul Azinger,66,"44' 7""",12.829,24
38,T38,T38,Tom Gillis,77,"44' 7""",16.035999999999998,30
39,T40,T40,Phillip Price,77,"44' 5""",11.194,21
40,T40,T40,Scott Verplank,87,"44' 5""",13.853,26
41,42,42,Charles Howell III,95,"44' 4""",17.008,32
42,T43,T43,Bob Estes,92,"44' 3""",15.932,30
