,Putting_-_Inside_10_RANK THIS WEEK,Putting_-_Inside_10_RANK LAST WEEK,Putting_-_Inside_10_PLAYER NAME,Putting_-_Inside_10_ROUNDS,Putting_-_Inside_10_% MADE,Putting_-_Inside_10_ATTEMPTS,Putting_-_Inside_10_PUTTS MADE
114,115,115,Bill Glasson,54,87.01,824,717
115,T116,T116,Brian Bateman,98,86.96,1580,1374
116,T116,T116,John Daly,78,86.96,1043,907
117,T116,T116,Mike Weir,71,86.96,874,760
118,T119,T119,Jeff Hart,63,86.95,1065,926
119,T119,T119,Jonathan Kaye,77,86.95,1188,1033
120,121,121,Jay Haas,54,86.94,712,619
121,T122,T122,Freddie Jacobson,72,86.9,1015,882
122,T122,T122,Heath Slocum,103,86.9,1680,1460
123,124,124,John Cook,72,86.87,1066,926
124,125,125,Tommy Armour III,103,86.86,1690,1468
125,126,126,Charlie Wi,67,86.83,1101,956
126,127,127,Rob Rashell,65,86.82,1009,876
127,128,128,Chris Smith,93,86.81,1569,1362
128,129,129,Kevin Stadler,96,86.76,1526,1324
129,130,130,Lee Janzen,75,86.75,1102,956
130,T131,T131,Danny Briggs,70,86.74,1154,1001
131,T131,T131,Glen Day,80,86.74,1357,1177
132,T131,T131,Dan Forsman,52,86.74,860,746
133,134,134,Cameron Beckman,96,86.7,1572,1363
134,135,135,Steve Jones,56,86.67,878,761
135,136,136,Steve Flesch,90,86.64,1168,1012
136,137,137,José Coceres,56,86.63,980,849
137,T138,T138,Jason Allred,75,86.62,1173,1016
138,T138,T138,Justin Bolli,65,86.62,1099,952
139,T138,T138,Steve Lowery,100,86.62,1584,1372
140,T138,T138,Phil Mickelson,81,86.62,919,796
141,T142,T142,Marco Dawson,82,86.6,1448,1254
142,T142,T142,John Rollins,97,86.6,1545,1338
143,144,144,Brett Quigley,96,86.59,1566,1356
144,145,145,Rich Beem,66,86.56,893,773
145,146,146,Jonathan Byrd,103,86.51,1742,1507
146,147,147,Charles Warren,89,86.49,1488,1287
147,148,148,Dennis Paulson,63,86.42,1068,923
148,149,149,Doug Barron,70,86.38,1219,1053
149,150,150,Joey Sindelar,104,86.37,1849,1597
150,151,151,Tim Clark,92,86.36,1195,1032
151,152,152,Sergio Garcia,73,86.34,981,847
152,153,153,Kevin Na,88,86.3,1460,1260
153,154,154,Robert Allenby,95,86.26,1346,1161
154,155,155,Mark Hensby,70,86.24,916,790
155,156,156,Chris Riley,67,86.23,799,689
156,157,157,Omar Uresti,84,86.21,1371,1182
157,158,158,Glen Hnatiuk,59,86.2,942,812
158,159,159,Mark Wilson,74,86.17,1164,1003
159,T160,T160,Neal Lancaster,95,86.14,1587,1367
160,T160,T160,Michael Long,72,86.14,1205,1038
161,162,162,D.A. Points,94,86.13,1550,1335
162,163,163,J.L. Lewis,98,86.09,1531,1318
163,164,164,Justin Rose,99,86.08,1652,1422
164,T165,T165,Harrison Frazar,105,86.05,1749,1505
165,T165,T165,Andrew Magee,82,86.05,1326,1141
166,167,167,Tim Petrovic,97,86.01,1480,1273
167,168,168,Kenny Perry,82,86.0,1107,952
168,169,169,Paul Claxton,79,85.98,1241,1067
169,170,170,Brian Davis,75,85.85,1187,1019
170,171,171,Ryuji Imada,78,85.82,1262,1083
171,T172,T172,Hideto Tanihara,50,85.8,859,737
172,T172,T172,D.J. Trahan,81,85.8,1317,1130
