,Total_3_Putts_-_Inside_5_RANK THIS WEEK,Total_3_Putts_-_Inside_5_RANK LAST WEEK,Total_3_Putts_-_Inside_5_PLAYER NAME,Total_3_Putts_-_Inside_5_ROUNDS,Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS INSIDE 5',Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS
0,1,1,Will MacKenzie,75,3,58
1,T2,T2,Mark Brooks,72,2,32
2,T2,T2,Daniel Chopra,108,2,50
3,T2,T2,Brian Davis,75,2,54
4,T2,T2,Dan Forsman,52,2,29
5,T2,T2,Bob Heintz,67,2,34
6,T2,T2,Jerry Kelly,101,2,32
7,T2,T2,J.L. Lewis,98,2,46
8,T2,T2,Joe Ogilvie,103,2,44
9,T2,T2,Greg Owen,84,2,46
10,T2,T2,John Senden,101,2,41
11,T2,T2,Dean Wilson,86,2,31
12,T13,T13,Steve Allan,102,1,79
13,T13,T13,Chris Anderson,66,1,26
14,T13,T13,Billy Andrade,83,1,37
15,T13,T13,Woody Austin,100,1,59
16,T13,T13,Rich Beem,66,1,29
17,T13,T13,Jason Bohn,91,1,33
18,T13,T13,Danny Briggs,70,1,43
19,T13,T13,Bart Bryant,91,1,36
20,T13,T13,Tom Byrum,83,1,41
21,T13,T13,Jim Carter,62,1,29
22,T13,T13,Alex Cejka,84,1,47
23,T13,T13,Paul Claxton,79,1,35
24,T13,T13,José Coceres,56,1,40
25,T13,T13,Gavin Coles,70,1,30
26,T13,T13,Fred Couples,72,1,29
27,T13,T13,Glen Day,80,1,39
28,T13,T13,Chris DiMarco,83,1,20
29,T13,T13,Harrison Frazar,105,1,49
30,T13,T13,Tom Gillis,77,1,37
31,T13,T13,Mathias Grönberg,60,1,49
32,T13,T13,Hunter Haas,83,1,36
33,T13,T13,Todd Hamilton,94,1,32
34,T13,T13,Scott Hend,75,1,63
35,T13,T13,Mark Hensby,70,1,30
36,T13,T13,Tim Herron,100,1,41
37,T13,T13,John Huston,90,1,49
38,T13,T13,Lee Janzen,75,1,40
39,T13,T13,Steve Jones,56,1,29
40,T13,T13,Jonathan Kaye,77,1,35
41,T13,T13,Hank Kuehne,84,1,42
42,T13,T13,Thomas Levet,54,1,37
43,T13,T13,Frank Lickliter II,100,1,52
44,T13,T13,Hunter Mahan,103,1,42
45,T13,T13,Shaun Micheel,81,1,37
46,T13,T13,Larry Mize,54,1,26
47,T13,T13,Mark O'Meara,66,1,23
48,T13,T13,Ryan Palmer,101,1,40
49,T13,T13,Brenden Pappas,51,1,24
50,T13,T13,Corey Pavin,77,1,26
51,T13,T13,Pat Perez,89,1,47
52,T13,T13,Tim Petrovic,97,1,43
53,T13,T13,Carl Pettersson,109,1,43
54,T13,T13,D.A. Points,94,1,52
55,T13,T13,Justin Rose,99,1,54
56,T13,T13,Rory Sabbatini,81,1,38
57,T13,T13,Jeff Sluman,94,1,41
58,T13,T13,Joey Snyder III,102,1,47
59,T13,T13,Kevin Sutherland,89,1,46
60,T13,T13,Kirk Triplett,55,1,19
61,T13,T13,Mike Weir,71,1,27
62,T13,T13,Mark Wilson,74,1,34
