,Average_Distance_of_Birdie_putts_made_RANK THIS WEEK,Average_Distance_of_Birdie_putts_made_RANK LAST WEEK,Average_Distance_of_Birdie_putts_made_PLAYER NAME,Average_Distance_of_Birdie_putts_made_ROUNDS,Average_Distance_of_Birdie_putts_made_AVG,Average_Distance_of_Birdie_putts_made_TOT DIST. (FT),Average_Distance_of_Birdie_putts_made_TOT BIRDIE PUTTS MADE,Average_Distance_of_Birdie_putts_made_LONGEST MADE (FT),Average_Distance_of_Birdie_putts_made_SHORTEST MADE (FT)
0,T1,T1,Chris Anderson,66,"11' 11""",2066.167,173,53,"1"""
1,T1,T1,Matt Gogel,78,"11' 11""",2354.833,198,49,"7"""
2,T1,T1,Kent Jones,99,"11' 11""",3574.083,300,77,"1"""
3,4,4,Dan Forsman,52,"11' 10""",2001.1670000000001,169,60,"10"""
4,T5,T5,Gavin Coles,70,"11' 9""",2217.583,189,55,"5"""
5,T5,T5,Matt Kuchar,60,"11' 9""",1933.6670000000001,165,60,"3"""
6,7,7,Mark O'Meara,66,"11' 8""",1651.8329999999999,142,50,"4"""
7,8,8,Brian Gay,101,"11' 4""",3253.5,288,64,"4"""
8,9,9,Bob Tway,87,"11' 3""",2626.75,233,46,"3"""
9,T10,T10,John Cook,72,"11' 2""",2081.5,187,64,"7"""
10,T10,T10,Thomas Levet,54,"11' 2""",1091.0,98,42,"3"""
11,T10,T10,Larry Mize,54,"11' 2""",1595.25,143,64,"6"""
12,T13,T13,Steve Elkington,67,"11' 1""",1929.0,174,58,"4"""
13,T13,T13,Len Mattiace,86,"11' 1""",2311.583,209,52,"11"""
14,T13,T13,Shaun Micheel,81,"11' 1""",2233.167,202,47,"4"""
15,T16,T16,Danny Briggs,70,"11' 0""",1975.0829999999999,179,56,"1"""
16,T16,T16,Glen Hnatiuk,59,"11' 0""",1725.4170000000001,157,53,"8"""
17,T18,T18,Paul Claxton,79,"10' 11""",2166.5,199,52,"5"""
18,T18,T18,Tim Herron,100,"10' 11""",3194.25,292,60,"7"""
19,T18,T18,Richard Johnson,50,"10' 11""",1841.9170000000001,169,56,"3"""
20,T18,T18,Corey Pavin,77,"10' 11""",2174.167,199,51,"4"""
21,T18,T18,Charlie Wi,67,"10' 11""",2102.667,193,43,"7"""
22,T23,T23,Brent Geiberger,61,"10' 10""",1608.4170000000001,148,51,"5"""
23,T23,T23,Tom Gillis,77,"10' 10""",2283.333,210,48,"8"""
24,T23,T23,Dudley Hart,84,"10' 10""",2641.75,244,53,"1"""
25,T23,T23,Jay Williamson,53,"10' 10""",1492.75,138,45,"8"""
26,T27,T27,Hunter Haas,83,"10' 9""",2653.083,247,53,"1"""
27,T27,T27,Charles Howell III,95,"10' 9""",2668.25,249,59,"5"""
28,T27,T27,Freddie Jacobson,72,"10' 9""",1928.25,180,42,"7"""
29,T27,T27,Peter Lonard,85,"10' 9""",2179.5,203,57,"4"""
30,T27,T27,Rob Rashell,65,"10' 9""",1661.6670000000001,154,66,"6"""
31,T32,T32,Chad Campbell,95,"10' 8""",2869.167,269,58,"7"""
32,T32,T32,Stewart Cink,98,"10' 8""",2675.417,251,58,"4"""
33,T32,T32,Steve Flesch,90,"10' 8""",2023.4170000000001,190,42,"6"""
34,T32,T32,Skip Kendall,80,"10' 8""",2098.25,197,61,"1"""
35,T32,T32,Bernhard Langer,67,"10' 8""",1539.5,144,56,"5"""
36,T32,T32,Loren Roberts,54,"10' 8""",1585.4170000000001,149,53,"6"""
37,T38,T38,Glen Day,80,"10' 7""",2489.583,236,45,"8"""
38,T38,T38,Bob Estes,92,"10' 7""",2791.5,263,46,"3"""
39,T38,T38,Brad Faxon,75,"10' 7""",2097.25,198,51,"5"""
40,T38,T38,Chris Riley,67,"10' 7""",1118.667,106,51,"9"""
41,T38,T38,Joey Snyder III,102,"10' 7""",3084.25,292,70,"3"""
42,T38,T38,Lee Westwood,50,"10' 7""",1114.667,105,58,"5"""
43,T44,T44,Tom Byrum,83,"10' 6""",2407.75,230,42,"8"""
44,T44,T44,Fred Funk,102,"10' 6""",2518.833,240,47,"5"""
45,T44,T44,Paul Gow,78,"10' 6""",2159.75,205,51,"4"""
46,T44,T44,Lee Janzen,75,"10' 6""",2050.5,196,62,"11"""
47,T44,T44,Stephen Leaney,89,"10' 6""",2537.417,242,63,"5"""
48,T44,T44,Arron Oberholser,65,"10' 6""",1823.1670000000001,173,40,"1"""
49,T44,T44,Tom Pernice Jr.,111,"10' 6""",2903.75,277,59,"5"""
50,T51,T51,Briny Baird,98,"10' 5""",3188.833,307,54,"4"""
51,T51,T51,Ben Crane,78,"10' 5""",2437.917,234,56,"5"""
52,T51,T51,John Elliott,58,"10' 5""",1645.5829999999999,158,50,"5"""
53,T51,T51,Hunter Mahan,103,"10' 5""",3496.667,335,49,"7"""
54,T51,T51,Dennis Paulson,63,"10' 5""",1690.4170000000001,162,49,"8"""
55,T51,T51,Phillip Price,77,"10' 5""",2203.833,211,47,"4"""
56,T51,T51,Rory Sabbatini,81,"10' 5""",2114.917,203,47,"9"""
57,T51,T51,Jeff Sluman,94,"10' 5""",2754.0,265,50,"1"""
58,T59,T59,Olin Browne,99,"10' 4""",3005.917,290,54,"6"""
59,T59,T59,Kevin Na,88,"10' 4""",2582.333,249,40,"3"""
60,T59,T59,Sean O'Hair,103,"10' 4""",2980.583,288,61,"4"""
61,T59,T59,Joe Ogilvie,103,"10' 4""",2837.083,274,51,"1"""
62,T59,T59,David Toms,87,"10' 4""",2495.333,241,72,"5"""
63,T59,T59,Dean Wilson,86,"10' 4""",2787.833,270,54,"4"""
64,T65,T65,Arjun Atwal,65,"10' 3""",2442.25,239,90,"4"""
65,T65,T65,Bart Bryant,91,"10' 3""",2843.417,278,70,"5"""
66,T65,T65,K.J. Choi,78,"10' 3""",1863.25,182,51,"4"""
67,T65,T65,Brendan Jones,81,"10' 3""",2381.583,233,46,"6"""
68,T65,T65,J.L. Lewis,98,"10' 3""",2857.583,278,54,"1"""
69,T65,T65,Scott McCarron,78,"10' 3""",1966.9170000000001,192,49,"4"""
70,T65,T65,Ian Poulter,62,"10' 3""",1126.167,110,34,"7"""
71,T72,T72,Jason Allred,75,"10' 2""",1764.75,173,38,1
72,T72,T72,Marco Dawson,82,"10' 2""",2827.417,278,57,"4"""
