,3-Putt_Avoidance_-_15-20_RANK THIS WEEK,3-Putt_Avoidance_-_15-20_RANK LAST WEEK,3-Putt_Avoidance_-_15-20_PLAYER NAME,3-Putt_Avoidance_-_15-20_ROUNDS,3-Putt_Avoidance_-_15-20_%,3-Putt_Avoidance_-_15-20_TOTAL 3 PUTTS,3-Putt_Avoidance_-_15-20_ATTEMPTS,3-Putt_Avoidance_-_15-20_2 PUTT OR BETTER %
0,T1,T1,Stephen Ames,82,0.0,,121,100.0
1,T1,T1,Chris Anderson,66,0.0,,97,100.0
2,T1,T1,John Cook,72,0.0,,119,100.0
3,T1,T1,Ben Crane,78,0.0,,126,100.0
4,T1,T1,Bob Estes,92,0.0,,154,100.0
5,T1,T1,Brad Faxon,75,0.0,,92,100.0
6,T1,T1,Tom Gillis,77,0.0,,126,100.0
7,T1,T1,Padraig Harrington,50,0.0,,78,100.0
8,T1,T1,Charles Howell III,95,0.0,,153,100.0
9,T1,T1,Bradley Hughes,52,0.0,,102,100.0
10,T1,T1,Ryuji Imada,78,0.0,,115,100.0
11,T1,T1,Richard Johnson,50,0.0,,99,100.0
12,T1,T1,Jonathan Kaye,77,0.0,,127,100.0
13,T1,T1,Tom Lehman,69,0.0,,103,100.0
14,T1,T1,Shaun Micheel,81,0.0,,118,100.0
15,T1,T1,Mark O'Meara,66,0.0,,85,100.0
16,T1,T1,José María Olazábal,55,0.0,,89,100.0
17,T1,T1,Jesper Parnevik,84,0.0,,117,100.0
18,T1,T1,Heath Slocum,103,0.0,,178,100.0
19,T1,T1,Joey Snyder III,102,0.0,,197,100.0
20,T1,T1,Kirk Triplett,55,0.0,,82,100.0
21,22,22,Briny Baird,98,0.52,1.0,193,99.4
22,23,23,Hidemichi Tanaka,106,0.55,1.0,181,99.4
23,24,24,Nick Watney,91,0.56,1.0,177,99.4
24,T25,T25,Carl Pettersson,109,0.58,1.0,173,99.4
25,T25,T25,Jeff Sluman,94,0.58,1.0,172,99.4
26,T27,T27,Fred Funk,102,0.6,1.0,168,99.4
27,T27,T27,John Senden,101,0.6,1.0,166,99.4
28,29,29,Brandt Jobe,96,0.61,1.0,164,99.3
29,30,30,Marco Dawson,82,0.63,1.0,159,99.3
30,31,31,Kevin Stadler,96,0.64,1.0,157,99.3
31,32,32,J.L. Lewis,98,0.65,1.0,154,99.3
32,T33,T33,Billy Andrade,83,0.66,1.0,151,99.3
33,T33,T33,Franklin Langham,91,0.66,1.0,152,99.3
34,T33,T33,Duffy Waldorf,86,0.66,1.0,152,99.3
35,T36,T36,Hunter Haas,83,0.68,1.0,146,99.3
36,T36,T36,Todd Hamilton,94,0.68,1.0,148,99.3
37,T36,T36,Tim Herron,100,0.68,1.0,148,99.3
38,T36,T36,Ryan Palmer,101,0.68,1.0,147,99.3
39,T36,T36,Kevin Sutherland,89,0.68,1.0,147,99.3
40,41,41,Skip Kendall,80,0.69,1.0,145,99.3
41,42,42,Michael Allen,90,0.7,1.0,143,99.3
42,43,43,Geoff Ogilvy,97,0.71,1.0,141,99.2
43,44,44,Bob Tway,87,0.73,1.0,137,99.2
44,45,45,Jim Furyk,94,0.76,1.0,131,99.2
45,46,46,Paul Claxton,79,0.77,1.0,130,99.2
46,T47,T47,Craig Barlow,81,0.79,1.0,127,99.2
47,T47,T47,Len Mattiace,86,0.79,1.0,127,99.2
48,T47,T47,Mark Wilson,74,0.79,1.0,127,99.2
49,50,50,Doug Barron,70,0.81,1.0,124,99.1
50,51,51,Phillip Price,77,0.82,1.0,122,99.1
51,T52,T52,Arjun Atwal,65,0.83,1.0,121,99.1
52,T52,T52,Corey Pavin,77,0.83,1.0,120,99.1
53,54,54,Kenny Perry,82,0.86,1.0,116,99.1
54,55,55,Charlie Wi,67,0.87,1.0,115,99.1
55,T56,T56,Jeff Brehaut,71,0.88,1.0,114,99.1
56,T56,T56,K.J. Choi,78,0.88,1.0,113,99.1
57,T56,T56,James Driscoll,73,0.88,1.0,113,99.1
58,T56,T56,Dan Forsman,52,0.88,1.0,114,99.1
59,T56,T56,Freddie Jacobson,72,0.88,1.0,113,99.1
60,61,61,Arron Oberholser,65,0.89,1.0,112,99.1
61,62,62,Steve Stricker,62,0.91,1.0,110,99.0
62,T63,T63,Ben Curtis,65,0.92,1.0,109,99.0
63,T63,T63,Mark Hensby,70,0.92,1.0,109,99.0
64,65,65,Mathias Grönberg,60,0.93,1.0,107,99.0
65,T66,T66,Loren Roberts,54,0.94,1.0,106,99.0
66,T66,T66,Adam Scott,72,0.94,1.0,106,99.0
67,T68,T68,Matt Davidson,53,0.95,1.0,105,99.0
68,T68,T68,Joey Sindelar,104,0.95,2.0,210,99.0
69,T70,T70,Sergio Garcia,73,0.96,1.0,104,99.0
70,T70,T70,Davis Love III,80,0.96,1.0,104,99.0
71,T72,T72,Brian Gay,101,1.06,2.0,189,98.9
72,T72,T72,Dennis Paulson,63,1.06,1.0,94,98.9
73,T74,T74,Billy Mayfair,114,1.1,2.0,181,98.9
74,T74,T74,Larry Mize,54,1.1,1.0,91,98.9
75,76,76,John Rollins,97,1.11,2.0,180,98.8
76,T77,T77,Harrison Frazar,105,1.12,2.0,178,98.8
77,T77,T77,Vijay Singh,111,1.12,2.0,179,98.8
78,T79,T79,Phil Mickelson,81,1.15,1.0,87,98.8
79,T79,T79,Chris Smith,93,1.15,2.0,174,98.8
80,81,81,Brent Geiberger,61,1.16,1.0,86,98.8
81,82,82,Bill Glasson,54,1.18,1.0,85,98.8
82,T83,T83,Zach Johnson,96,1.19,2.0,168,98.8
83,T83,T83,Jay Williamson,53,1.19,1.0,84,98.8
84,85,85,Dudley Hart,84,1.21,2.0,165,98.7
85,T86,T86,Todd Fischer,99,1.22,2.0,164,98.7
86,T86,T86,Mike Weir,71,1.22,1.0,82,98.7
87,88,88,Brett Quigley,96,1.24,2.0,161,98.7
88,89,89,Shigeki Maruyama,99,1.26,2.0,159,98.7
89,90,90,Robert Gamez,91,1.29,2.0,155,98.7
90,T91,T91,Jerry Kelly,101,1.3,2.0,154,98.7
91,T91,T91,Tim Petrovic,97,1.3,2.0,154,98.7
92,93,93,Lucas Glover,88,1.32,2.0,152,98.6
93,T94,T94,J.J. Henry,102,1.33,2.0,150,98.6
94,T94,T94,Hunter Mahan,103,1.33,3.0,225,98.6
95,T96,T96,Retief Goosen,71,1.35,1.0,74,98.6
96,T96,T96,Kevin Na,88,1.35,2.0,148,98.6
97,T98,T98,Aaron Baddeley,84,1.36,2.0,147,98.6
98,T98,T98,Stewart Cink,98,1.36,2.0,147,98.6
99,100,100,Tom Byrum,83,1.37,2.0,146,98.6
100,101,101,Robert Damron,89,1.38,2.0,145,98.6
101,102,102,Matt Gogel,78,1.4,2.0,143,98.6
102,103,103,Bart Bryant,91,1.42,2.0,141,98.5
103,104,104,Peter Lonard,85,1.44,2.0,139,98.5
104,T105,T105,Tommy Armour III,103,1.45,3.0,207,98.5
105,T105,T105,Darron Stiles,78,1.45,2.0,138,98.5
106,T107,T107,Rod Pampling,89,1.46,2.0,137,98.5
107,T107,T107,Scott Verplank,87,1.46,2.0,137,98.5
108,109,109,Carlos Franco,78,1.47,2.0,136,98.5
109,110,110,Greg Owen,84,1.52,2.0,132,98.4
110,111,111,Jeff Hart,63,1.54,2.0,130,98.4
111,112,112,Mario Tiziani,67,1.55,2.0,129,98.4
112,113,113,Glen Day,80,1.6,2.0,125,98.4
113,114,114,Alex Cejka,84,1.61,2.0,124,98.3
114,115,115,Tjaart van der Walt,56,1.65,2.0,121,98.3
115,T116,T116,Steve Allan,102,1.68,3.0,179,98.3
116,T116,T116,Jason Bohn,91,1.68,3.0,179,98.3
117,T118,T118,Cameron Beckman,96,1.69,3.0,177,98.3
118,T118,T118,Danny Briggs,70,1.69,2.0,118,98.3
119,T118,T118,Tim Clark,92,1.69,2.0,118,98.3
120,121,121,Craig Perks,67,1.71,2.0,117,98.2
