,Putts_Per_Round_RANK THIS WEEK,Putts_Per_Round_RANK LAST WEEK,Putts_Per_Round_PLAYER NAME,Putts_Per_Round_ROUNDS,Putts_Per_Round_AVG,Putts_Per_Round_TOTAL PUTTS,Putts_Per_Round_TOTAL ROUNDS,Putts_Per_Round_LOW TOTAL PUTTS
0,1,1,Steve Stricker,62,27.79,1723,62,22
1,2,2,Ben Crane,78,27.96,2069,74,22
2,3,3,Charlie Wi,67,28.06,1824,65,22
3,4,4,Aaron Baddeley,84,28.09,2303,82,23
4,5,5,Brad Faxon,75,28.2,2002,71,22
5,6,6,Kevin Na,88,28.29,2433,86,23
6,7,7,Todd Fischer,99,28.32,2747,97,23
7,T8,T8,Arjun Atwal,65,28.4,1846,65,23
8,T8,T8,Corey Pavin,77,28.4,2073,73,23
9,10,10,Joe Ogilvie,103,28.47,2819,99,23
10,11,11,José Coceres,56,28.48,1538,54,22
11,T12,T12,Bob Heintz,67,28.49,1909,67,23
12,T12,T12,José María Olazábal,55,28.49,1510,53,22
13,T12,T12,Jesper Parnevik,84,28.49,2336,82,22
14,15,15,Len Mattiace,86,28.51,2395,84,23
15,16,16,Brian Gay,101,28.53,2824,99,23
16,17,17,Gavin Coles,70,28.54,1998,70,23
17,T18,T18,Glen Day,80,28.56,2228,78,23
18,T18,T18,Tim Herron,100,28.56,2827,99,23
19,20,20,Chris DiMarco,83,28.57,2143,75,23
20,21,21,Tom Pernice Jr.,111,28.58,3058,107,19
21,T22,T22,Paul Azinger,66,28.59,1887,66,23
22,T22,T22,Mark O'Meara,66,28.59,1887,66,21
23,24,24,Tim Clark,92,28.6,2488,87,24
24,25,25,Justin Bolli,65,28.62,1803,63,24
25,T26,T26,Dudley Hart,84,28.65,2407,84,23
26,T26,T26,Brenden Pappas,51,28.65,1461,51,23
27,T28,T28,J.P. Hayes,63,28.67,1806,63,24
28,T28,T28,Phillip Price,77,28.67,2093,73,23
29,30,30,Stephen Ames,82,28.68,2266,79,22
30,T31,T31,Phil Mickelson,81,28.69,2123,74,23
31,T31,T31,Tag Ridings,93,28.69,2611,91,23
32,33,33,Tiger Woods,76,28.7,2124,74,23
33,T34,T34,Billy Andrade,83,28.71,2383,83,21
34,T34,T34,Hunter Haas,83,28.71,2268,79,24
35,T34,T34,Ryuji Imada,78,28.71,2239,78,22
36,T34,T34,Patrick Sheehan,114,28.71,3158,110,20
37,T34,T34,David Toms,87,28.71,2211,77,21
38,39,39,Daniel Chopra,108,28.74,2989,104,22
39,40,40,Shigeki Maruyama,99,28.76,2818,98,23
40,T41,T41,Michael Allen,90,28.78,2590,90,21
41,T41,T41,Dean Wilson,86,28.78,2475,86,23
42,T43,T43,Chris Anderson,66,28.79,1785,62,22
43,T43,T43,Kirk Triplett,55,28.79,1497,52,25
44,45,45,Scott Verplank,87,28.8,2477,86,23
45,46,46,Bob Estes,92,28.82,2651,92,24
46,T47,T47,Rob Rashell,65,28.83,1874,65,23
47,T47,T47,Loren Roberts,54,28.83,1528,53,24
48,T49,T49,Robert Gamez,91,28.84,2624,91,22
49,T49,T49,Matt Gogel,78,28.84,2192,76,24
50,T51,T51,Geoff Ogilvy,97,28.85,2683,93,22
51,T51,T51,Pat Perez,89,28.85,2568,89,24
52,53,53,Richard Johnson,50,28.86,1443,50,24
53,T54,T54,Justin Leonard,78,28.87,2165,75,20
54,T54,T54,Darron Stiles,78,28.87,2194,76,23
55,56,56,Hank Kuehne,84,28.89,2311,80,23
56,T57,T57,Mark Brooks,72,28.9,2081,72,24
57,T57,T57,Matt Kuchar,60,28.9,1734,60,24
58,T57,T57,Vaughn Taylor,99,28.9,2861,99,22
59,T57,T57,Mark Wilson,74,28.9,2023,70,20
60,T61,T61,Carl Pettersson,109,28.92,3037,105,22
61,T61,T61,Rory Sabbatini,81,28.92,2256,78,24
62,T61,T61,Mike Weir,71,28.92,1909,66,23
63,64,64,Steve Lowery,100,28.94,2778,96,24
64,65,65,Brett Quigley,96,28.95,2663,92,22
65,T66,T66,Jason Bohn,91,28.96,2635,91,23
66,T66,T66,Jay Williamson,53,28.96,1535,53,24
67,68,68,James Driscoll,73,28.97,2057,71,23
68,69,69,Stewart Cink,98,28.98,2608,90,25
69,T70,T70,K.J. Choi,78,28.99,2116,73,21
70,T70,T70,Jim Furyk,94,28.99,2696,93,23
71,T70,T70,Freddie Jacobson,72,28.99,2058,71,23
72,T73,T73,Padraig Harrington,50,29.0,1392,48,24
73,T73,T73,Zach Johnson,96,29.0,2755,95,22
74,75,75,Cameron Beckman,96,29.04,2672,92,24
75,T76,T76,Marco Dawson,82,29.05,2382,82,22
76,T76,T76,John Huston,90,29.05,2498,86,24
77,78,78,Larry Mize,54,29.06,1453,50,22
78,79,79,Paul Gow,78,29.07,2151,74,22
79,T80,T80,Mathias Grönberg,60,29.09,1687,58,25
80,T80,T80,Andrew Magee,82,29.09,2269,78,24
81,T80,T80,Scott McCarron,78,29.09,2153,74,23
82,T80,T80,Ryan Palmer,101,29.09,2822,97,24
83,84,84,Kent Jones,99,29.1,2823,97,20
84,85,85,Woody Austin,100,29.11,2911,100,24
85,86,86,Lee Janzen,75,29.12,2126,73,24
86,87,87,Justin Rose,99,29.13,2767,95,22
87,T88,T88,Todd Hamilton,94,29.15,2653,91,22
88,T88,T88,Neal Lancaster,95,29.15,2769,95,22
89,T88,T88,Davis Love III,80,29.15,2186,75,22
90,T88,T88,Nick Watney,91,29.15,2594,89,24
91,T92,T92,Mark Calcavecchia,92,29.16,2624,90,23
92,T92,T92,Hidemichi Tanaka,106,29.16,2974,102,23
93,T92,T92,Bob Tway,87,29.16,2420,83,23
94,95,95,Bernhard Langer,67,29.18,1955,67,22
95,T96,T96,Jerry Kelly,101,29.19,2890,99,24
96,T96,T96,Chris Riley,67,29.19,1868,64,25
97,T98,T98,Harrison Frazar,105,29.2,2949,101,23
98,T98,T98,Brent Geiberger,61,29.2,1723,59,23
99,T98,T98,Kevin Stadler,96,29.2,2686,92,24
100,101,101,Brandt Jobe,96,29.21,2687,92,23
101,T102,T102,Jay Haas,54,29.22,1490,51,25
102,T102,T102,Skip Kendall,80,29.22,2279,78,23
103,T104,T104,Doug Barron,70,29.23,2046,70,24
104,T104,T104,Olin Browne,99,29.23,2777,95,23
105,T104,T104,Brian Davis,75,29.23,2192,75,23
