,3-Putt_Avoidance_-_Inside_5_RANK THIS WEEK,3-Putt_Avoidance_-_Inside_5_RANK LAST WEEK,3-Putt_Avoidance_-_Inside_5_PLAYER NAME,3-Putt_Avoidance_-_Inside_5_ROUNDS,3-Putt_Avoidance_-_Inside_5_%,3-Putt_Avoidance_-_Inside_5_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Inside_5_ATTEMPTS,3-Putt_Avoidance_-_Inside_5_2 PUTT OR BETTER %
187,188,188,Larry Mize,54,0.6,1.0,166,99.4
188,T189,T189,Fred Couples,72,0.62,1.0,161,99.3
189,T189,T189,Joe Ogilvie,103,0.62,2.0,324,99.3
190,T189,T189,John Senden,101,0.62,2.0,325,99.3
191,192,192,Kirk Triplett,55,0.66,1.0,152,99.3
192,193,193,J.L. Lewis,98,0.68,2.0,294,99.3
193,194,194,Jerry Kelly,101,0.69,2.0,289,99.3
194,195,195,Dean Wilson,86,0.72,2.0,278,99.2
195,T196,T196,Brian Davis,75,0.74,2.0,270,99.2
196,T196,T196,Greg Owen,84,0.74,2.0,270,99.2
197,198,198,Thomas Levet,54,0.76,1.0,131,99.2
198,199,199,Mark Brooks,72,0.79,2.0,253,99.2
199,200,200,Bob Heintz,67,0.82,2.0,245,99.1
200,201,201,Will MacKenzie,75,1.19,3.0,252,98.8
201,202,202,Dan Forsman,52,1.21,2.0,165,98.7
