,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
93,T93,T93,Davis Love III,80,"77' 11""",51426,55,"4' 5""","126' 8"""
94,T93,T93,D.J. Trahan,81,"77' 11""",64536,69,"4' 5""","140' 11"""
95,T96,T96,Brett Quigley,96,"77' 10""",77518,83,"4' 5""","158' 8"""
96,T96,T96,Jay Williamson,53,"77' 10""",42042,45,"4' 4""","156' 3"""
97,98,98,Kevin Stadler,96,"77' 9""",75545,81,"4' 4""","146' 0"""
98,T99,T99,Brent Geiberger,61,"77' 8""",48453,52,"4' 4""","145' 6"""
99,T99,T99,Billy Mayfair,114,"77' 8""",93226,100,"4' 5""","153' 0"""
100,T101,T101,Mark Calcavecchia,92,"77' 7""",69838,75,"4' 4""","140' 10"""
101,T101,T101,Jesper Parnevik,84,"77' 7""",61450,66,"4' 6""","149' 7"""
102,103,103,Tim Petrovic,97,"77' 6""",72521,78,"4' 4""","162' 8"""
103,T104,T104,Marco Dawson,82,"77' 5""",71538,77,"4' 4""","162' 7"""
104,T104,T104,Heath Slocum,103,"77' 5""",83614,90,"4' 4""","165' 9"""
105,T106,T106,Zach Johnson,96,"77' 4""",76995,83,"4' 4""","152' 2"""
106,T106,T106,Joey Snyder III,102,"77' 4""",83521,90,"4' 4""","166' 6"""
107,108,108,Jay Haas,54,"77' 3""",36165,39,"4' 4""","157' 5"""
108,T109,T109,Steve Flesch,90,"77' 2""",57391,62,"4' 4""","154' 9"""
109,T109,T109,Scott Gutschewski,86,"77' 2""",64805,70,"4' 5""","124' 4"""
110,T109,T109,Lee Janzen,75,"77' 2""",53708,58,"4' 5""","130' 10"""
111,T109,T109,Corey Pavin,77,"77' 2""",56500,61,"4' 4""","145' 6"""
112,T113,T113,Robert Allenby,95,"77' 1""",65707,71,"4' 4""","139' 5"""
113,T113,T113,Vijay Singh,111,"77' 1""",79591,86,"4' 4""","144' 3"""
114,T115,T115,John Elliott,58,"76' 11""",46161,50,"4' 4""","124' 0"""
115,T115,T115,Bob Estes,92,"76' 11""",71959,78,"4' 4""","140' 8"""
116,T115,T115,Rod Pampling,89,"76' 11""",62751,68,"4' 4""","128' 5"""
117,T118,T118,John Huston,90,"76' 9""",71844,78,"4' 4""","153' 2"""
118,T118,T118,Tjaart van der Walt,56,"76' 9""",49730,54,"4' 4""","135' 6"""
119,120,120,Lucas Glover,88,"76' 8""",70841,77,"4' 4""","133' 1"""
120,121,121,Jason Allred,75,"76' 6""",56945,62,"4' 4""","156' 8"""
121,T122,T122,Brian Bateman,98,"76' 5""",77067,84,"4' 4""","160' 10"""
122,T122,T122,Todd Hamilton,94,"76' 5""",66927,73,"4' 4""","148' 7"""
123,T122,T122,Lee Westwood,50,"76' 5""",30268,33,"4' 3""","182' 5"""
124,T122,T122,Mark Wilson,74,"76' 5""",56824,62,"4' 4""","135' 0"""
125,126,126,Chris Smith,93,"76' 4""",76907,84,"4' 3""","145' 11"""
126,127,127,Justin Rose,99,"76' 3""",79575,87,"4' 4""","154' 7"""
127,T128,T128,Craig Barlow,81,"76' 2""",56639,62,"4' 3""","133' 9"""
128,T128,T128,Jerry Kelly,101,"76' 2""",69448,76,"4' 3""","156' 7"""
129,T128,T128,Peter Lonard,85,"76' 2""",60346,66,"4' 3""","128' 1"""
130,T131,T131,Shigeki Maruyama,99,"76' 1""",77599,85,"4' 3""","156' 0"""
131,T131,T131,Greg Owen,84,"76' 1""",63014,69,"4' 3""","132' 4"""
132,T131,T131,Carl Pettersson,109,"76' 1""",83962,92,"4' 4""","145' 2"""
133,T134,T134,Cameron Beckman,96,"76' 0""",75719,83,"4' 3""","133' 7"""
134,T134,T134,Chris DiMarco,83,"76' 0""",53820,59,"4' 3""","140' 2"""
135,T136,T136,Frank Lickliter II,100,"75' 11""",78369,86,"4' 3""","147' 0"""
136,T136,T136,Adam Scott,72,"75' 11""",47353,52,"4' 3""","161' 6"""
137,T138,T138,Brian Davis,75,"75' 9""",56351,62,"4' 4""","129' 5"""
138,T138,T138,D.A. Points,94,"75' 9""",73654,81,"4' 3""","131' 10"""
139,T138,T138,Mike Weir,71,"75' 9""",42713,47,"4' 3""","153' 11"""
