,GIR_Putting_-__25_RANK THIS WEEK,GIR_Putting_-__25_RANK LAST WEEK,GIR_Putting_-__25_PLAYER NAME,GIR_Putting_-__25_ROUNDS,GIR_Putting_-__25_%,GIR_Putting_-__25_ATTEMPTS,GIR_Putting_-__25_PUTTS MADE
0,1,1,Chris Anderson,66,10.61,198,21
1,2,2,Dan Forsman,52,10.29,204,21
2,3,3,Tim Herron,100,9.25,292,27
3,4,4,Gavin Coles,70,8.87,248,22
4,5,5,Charlie Wi,67,8.8,216,19
5,6,6,Freddie Jacobson,72,8.59,198,17
6,7,7,Thomas Levet,54,8.27,133,11
7,8,8,Lee Westwood,50,8.09,136,11
8,9,9,Bernhard Langer,67,8.04,199,16
9,10,10,Joe Ogilvie,103,8.0,250,20
10,11,11,Kent Jones,99,7.94,378,30
11,12,12,Bob Heintz,67,7.92,202,16
12,13,13,Tim Clark,92,7.87,216,17
13,14,14,Arjun Atwal,65,7.86,229,18
14,15,15,Hunter Haas,83,7.75,284,22
15,T16,T16,Briny Baird,98,7.38,393,29
16,T16,T16,Tom Gillis,77,7.38,271,20
17,T18,T18,Brenden Pappas,51,7.35,204,15
18,T18,T18,Tom Pernice Jr.,111,7.35,340,25
19,20,20,Phillip Price,77,7.26,234,17
20,21,21,Justin Rose,99,7.22,360,26
21,22,22,Rob Rashell,65,7.08,212,15
22,23,23,Bob Tway,87,7.07,283,20
23,24,24,Michael Long,72,7.06,269,19
24,25,25,Steve Elkington,67,7.01,271,19
25,26,26,Scott McCarron,78,6.92,260,18
26,T27,T27,Brian Bateman,98,6.88,349,24
27,T27,T27,Danny Briggs,70,6.88,247,17
28,T27,T27,Lee Janzen,75,6.88,247,17
29,30,30,Matt Gogel,78,6.86,277,19
30,31,31,Glen Hnatiuk,59,6.83,205,14
31,32,32,David Toms,87,6.81,235,16
32,33,33,Kevin Na,88,6.69,284,19
33,34,34,Steve Lowery,100,6.65,316,21
34,35,35,Stephen Ames,82,6.64,226,15
35,36,36,Jay Williamson,53,6.63,181,12
36,37,37,Hunter Mahan,103,6.61,348,23
37,T38,T38,J.L. Lewis,98,6.6,318,21
38,T38,T38,Steve Stricker,62,6.6,212,14
39,40,40,Matt Kuchar,60,6.58,228,15
40,41,41,Charles Warren,89,6.55,351,23
41,42,42,Brad Faxon,75,6.54,214,14
42,43,43,Harrison Frazar,105,6.51,384,25
43,44,44,Dennis Paulson,63,6.5,246,16
44,T45,T45,Paul Claxton,79,6.47,278,18
45,T45,T45,Charles Howell III,95,6.47,309,20
46,47,47,Patrick Sheehan,114,6.41,359,23
47,48,48,Shaun Micheel,81,6.4,297,19
48,49,49,David Hearn,68,6.39,266,17
49,50,50,Jesper Parnevik,84,6.34,268,17
50,51,51,Bo Van Pelt,112,6.31,412,26
51,52,52,D.J. Trahan,81,6.27,287,18
52,53,53,Mark O'Meara,66,6.25,192,12
53,T54,T54,Bart Bryant,91,6.21,354,22
54,T54,T54,Chad Campbell,95,6.21,338,21
55,56,56,Mike Weir,71,6.18,178,11
56,57,57,Jeff Brehaut,71,6.16,292,18
57,58,58,Peter Lonard,85,6.13,261,16
58,59,59,Kevin Stadler,96,6.12,327,20
59,T60,T60,Stuart Appleby,84,6.1,246,15
60,T60,T60,Brian Davis,75,6.1,246,15
61,62,62,Rod Pampling,89,6.09,279,17
62,T63,T63,Sean O'Hair,103,6.07,379,23
63,T63,T63,D.A. Points,94,6.07,313,19
64,T63,T63,Joey Snyder III,102,6.07,412,25
65,66,66,Brian Gay,101,6.05,347,21
66,67,67,J.P. Hayes,63,5.95,185,11
67,68,68,Marco Dawson,82,5.94,303,18
68,69,69,Darron Stiles,78,5.93,253,15
69,70,70,John Huston,90,5.92,287,17
70,71,71,James Driscoll,73,5.9,271,16
71,T72,T72,Michael Allen,90,5.88,289,17
72,T72,T72,Steve Flesch,90,5.88,255,15
73,T74,T74,Stewart Cink,98,5.86,256,15
74,T74,T74,Paul Gow,78,5.86,239,14
75,T74,T74,Greg Owen,84,5.86,273,16
76,T74,T74,Kenny Perry,82,5.86,256,15
77,T78,T78,Woody Austin,100,5.85,342,20
78,T78,T78,Justin Leonard,78,5.85,205,12
79,80,80,Geoff Ogilvy,97,5.84,274,16
80,81,81,Robert Gamez,91,5.82,275,16
81,82,82,Nick Watney,91,5.81,344,20
82,83,83,Glen Day,80,5.78,277,16
83,84,84,Phil Mickelson,81,5.76,191,11
84,85,85,Rich Beem,66,5.75,174,10
85,86,86,Jeff Sluman,94,5.74,331,19
