,Scrambling_from__10_yards_RANK THIS WEEK,Scrambling_from__10_yards_RANK LAST WEEK,Scrambling_from__10_yards_PLAYER NAME,Scrambling_from__10_yards_ROUNDS,Scrambling_from__10_yards_%,Scrambling_from__10_yards_SUCCESSES,Scrambling_from__10_yards_ATTEMPTS
0,1,1,Tyrone Van Aswegen,58,95.74,45,47
1,2,2,Aaron Baddeley,76,95.0,57,60
2,3,3,Rickie Fowler,76,94.2,65,69
3,4,4,Roger Sloan,56,94.0,47,50
4,5,5,Henrik Stenson,63,93.88,46,49
5,6,6,Luke Donald,71,93.22,55,59
6,7,7,Francesco Molinari,56,92.73,51,55
7,T8,T8,Billy Hurley III,83,92.31,84,91
8,T8,T8,Ian Poulter,68,92.31,60,65
9,10,10,Gary Woodland,81,92.19,59,64
10,11,11,Bo Van Pelt,81,92.06,58,63
11,12,12,Retief Goosen,81,91.95,80,87
12,13,13,Eric Axley,57,91.94,57,62
13,14,14,J.B. Holmes,89,91.76,78,85
14,15,15,Jimmy Walker,89,91.67,66,72
15,16,16,Boo Weekley,79,91.58,87,95
16,17,17,Rory Sabbatini,81,91.4,85,93
17,18,18,Steven Alker,62,91.18,62,68
18,19,19,Harris English,105,91.07,102,112
19,20,20,Jason Day,75,91.04,61,67
20,T21,T21,Chris Kirk,76,90.67,68,75
21,T21,T21,David Toms,62,90.67,68,75
22,T23,T23,Andres Gonzales,90,90.63,58,64
23,T23,T23,Geoff Ogilvy,50,90.63,29,32
24,25,25,Willy Wilcox,58,90.48,38,42
25,26,26,Troy Merritt,91,90.32,112,124
26,T27,T27,Jon Curran,83,90.24,74,82
27,T27,T27,Kyle Reifers,96,90.24,74,82
28,29,29,Charl Schwartzel,67,90.2,46,51
29,30,30,Jamie Donaldson,50,89.66,26,29
30,31,31,Greg Chalmers,58,89.58,43,48
31,T32,T32,K.J. Choi,66,89.39,59,66
32,T32,T32,Padraig Harrington,60,89.39,59,66
33,34,34,Louis Oosthuizen,68,89.23,58,65
34,35,35,Justin Thomas,106,89.17,107,120
35,36,36,Ryo Ishikawa,90,89.16,74,83
36,37,37,Ryan Palmer,80,89.02,73,82
37,T38,T38,Ricky Barnes,82,88.89,72,81
38,T38,T38,Brice Garnett,81,88.89,64,72
39,40,40,Bill Haas,89,88.76,79,89
40,41,41,Kevin Kisner,104,88.65,125,141
41,T42,T42,Chesson Hadley,101,88.64,117,132
42,T42,T42,Tom Hoge,83,88.64,78,88
43,44,44,Andrew Putnam,68,88.61,70,79
44,45,45,Daniel Berger,97,88.57,93,105
45,46,46,Scott Brown,97,88.43,107,121
46,47,47,John Peterson,84,88.39,99,112
47,48,48,Hunter Mahan,88,88.37,76,86
48,T49,T49,Patrick Reed,103,88.35,91,103
49,T49,T49,Brendon Todd,96,88.35,91,103
50,51,51,Jerry Kelly,79,88.24,75,85
51,52,52,Spencer Levin,99,88.18,97,110
52,53,53,Chez Reavie,56,88.16,67,76
53,54,54,Zach Johnson,90,88.1,74,84
54,55,55,Chris Stroud,84,87.91,80,91
55,56,56,Jim Furyk,71,87.88,58,66
56,57,57,Max Homa,78,87.84,65,74
57,58,58,Brandt Snedeker,98,87.74,93,106
58,59,59,Webb Simpson,81,87.63,85,97
59,60,60,Morgan Hoffmann,85,87.5,84,96
60,61,61,David Hearn,97,87.38,90,103
61,62,62,Keegan Bradley,87,87.36,76,87
62,63,63,Steve Wheatcroft,87,87.23,82,94
63,64,64,Steven Bowditch,103,87.22,116,133
64,T65,T65,Adam Hadwin,95,87.0,87,100
65,T65,T65,Brendan Steele,88,87.0,87,100
66,67,67,Hudson Swafford,97,86.96,80,92
67,68,68,Robert Streb,110,86.92,93,107
68,69,69,Jonas Blixt,78,86.89,53,61
69,70,70,Camilo Villegas,83,86.84,99,114
70,71,71,Russell Knox,96,86.73,98,113
71,T72,T72,Gonzalo Fernandez-Castaño,81,86.67,91,105
72,T72,T72,Bryce Molder,91,86.67,78,90
73,74,74,Sean O'Hair,86,86.61,97,112
74,75,75,Brian Davis,86,86.52,77,89
75,T76,T76,Zac Blair,108,86.49,96,111
76,T76,T76,Heath Slocum,57,86.49,32,37
77,78,78,Nick Watney,91,86.41,89,103
78,79,79,Justin Leonard,61,86.36,57,66
79,80,80,George McNeill,93,86.29,107,124
