,Scrambling_from_Other_Locations_RANK THIS WEEK,Scrambling_from_Other_Locations_RANK LAST WEEK,Scrambling_from_Other_Locations_PLAYER NAME,Scrambling_from_Other_Locations_ROUNDS,Scrambling_from_Other_Locations_%,Scrambling_from_Other_Locations_SUCCESSES,Scrambling_from_Other_Locations_ATTEMPTS
0,1,1,Jason Day,75,70.79,63,89
1,2,2,Jason Dufner,76,69.79,67,96
2,3,3,Steven Alker,62,69.75,83,119
3,4,4,Jamie Donaldson,50,68.97,40,58
4,5,5,Jonathan Byrd,69,68.64,81,118
5,6,6,Ben Crane,62,68.1,79,116
6,7,7,Sung Joon Park,79,67.72,107,158
7,8,8,Dustin Johnson,75,67.68,67,99
8,9,9,Kevin Kisner,104,67.06,114,170
9,10,10,William McGirt,103,66.48,119,179
10,11,11,Kevin Na,98,66.45,103,155
11,12,12,John Peterson,84,66.42,91,137
12,13,13,Patrick Rodgers,57,66.25,53,80
13,14,14,K.J. Choi,66,66.13,82,124
14,15,15,Ian Poulter,68,65.98,64,97
15,T16,T16,Mark Hubbard,79,65.81,102,155
16,T16,T16,Pat Perez,96,65.81,102,155
17,18,18,Henrik Stenson,63,65.63,42,64
18,19,19,Brandt Snedeker,98,65.33,98,150
19,20,20,Hunter Mahan,88,65.14,71,109
20,21,21,Billy Hurley III,83,65.12,84,129
21,22,22,Jon Curran,83,65.07,95,146
22,23,23,Vijay Singh,78,64.84,83,128
23,T24,T24,John Huh,102,64.76,136,210
24,T24,T24,Hideki Matsuyama,95,64.76,68,105
25,26,26,Webb Simpson,81,64.71,66,102
26,27,27,Jerry Kelly,79,64.63,95,147
27,28,28,Scott Brown,97,64.62,126,195
28,29,29,Chad Collins,79,64.57,113,175
29,30,30,Harris English,105,64.46,107,166
30,T31,T31,Jordan Spieth,91,64.29,72,112
31,T31,T31,David Toms,62,64.29,72,112
32,33,33,Bill Haas,89,64.23,88,137
33,34,34,Ryan Palmer,80,63.96,71,111
34,35,35,Alex Cejka,94,63.79,111,174
35,36,36,Johnson Wagner,68,63.77,88,138
36,37,37,Willy Wilcox,58,63.64,49,77
37,38,38,Phil Mickelson,70,63.54,61,96
