,Proximity_to_Hole_from_Sand_RANK THIS WEEK,Proximity_to_Hole_from_Sand_RANK LAST WEEK,Proximity_to_Hole_from_Sand_PLAYER NAME,Proximity_to_Hole_from_Sand_ROUNDS,Proximity_to_Hole_from_Sand_AVG DTP,Proximity_to_Hole_from_Sand_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Sand_# OF SHOTS,Proximity_to_Hole_from_Sand_SCRAMBLING RANK
0,1,1,Roberto Castro,54,"6' 5""",341.833,53,169
1,T2,T2,Steven Alker,62,"7' 1""",459.417,65,39
2,T2,T2,Mark Wilson,89,"7' 1""",681.75,96,63
3,4,4,Kevin Na,98,"7' 2""",762.5,107,19
4,5,5,Jonathan Byrd,69,"7' 3""",491.417,68,5
5,T6,T6,Luke Donald,71,"7' 4""",575.0830000000001,78,46
6,T6,T6,Padraig Harrington,60,"7' 4""",595.75,81,137
7,8,8,Vijay Singh,78,"7' 5""",757.3330000000001,102,50
8,T9,T9,Matt Kuchar,97,"7' 6""",778.4169999999999,104,13
9,T9,T9,Brendon Todd,96,"7' 6""",756.3330000000001,101,22
10,T11,T11,Scott Langley,94,"7' 7""",738.75,97,93
11,T11,T11,Bryce Molder,91,"7' 7""",735.8330000000001,97,20
12,T13,T13,Louis Oosthuizen,68,"7' 8""",533.8330000000001,70,41
13,T13,T13,Willy Wilcox,58,"7' 8""",268.5,35,24
14,T15,T15,Zach Johnson,90,"7' 9""",875.75,113,49
15,T15,T15,Hideki Matsuyama,95,"7' 9""",744.9169999999999,96,30
16,17,17,Webb Simpson,81,"7' 10""",729.0830000000001,93,9
17,18,18,Rory Sabbatini,81,"7' 11""",693.6669999999999,88,17
18,T19,T19,Brian Harman,90,"8' 0""",882.9169999999999,110,77
19,T19,T19,Justin Rose,69,"8' 0""",625.1669999999999,78,94
20,T21,T21,Ben Crane,62,"8' 2""",655.6669999999999,80,29
21,T21,T21,Colt Knost,90,"8' 2""",679.0830000000001,83,97
22,T21,T21,Danny Lee,120,"8' 2""",1015.6669999999999,124,52
23,T24,T24,Jonas Blixt,78,"8' 3""",663.0830000000001,80,107
24,T24,T24,Sung Joon Park,79,"8' 3""",756.0,92,8
25,T24,T24,Kyle Reifers,96,"8' 3""",1074.5,130,40
26,T24,T24,Tim Wilkinson,73,"8' 3""",768.1669999999999,93,111
27,T28,T28,Steven Bowditch,103,"8' 4""",1051.167,126,3
28,T28,T28,D.A. Points,72,"8' 4""",534.0,64,75
29,30,30,Heath Slocum,57,"8' 5""",539.5830000000001,64,138
30,T31,T31,Chris Kirk,76,"8' 6""",797.0,94,64
31,T31,T31,George McNeill,93,"8' 6""",1016.5830000000001,120,44
32,T33,T33,Brian Davis,86,"8' 7""",1014.5830000000001,118,56
33,T33,T33,Phil Mickelson,70,"8' 7""",959.5,112,84
34,T33,T33,Sam Saunders,83,"8' 7""",842.8330000000001,98,121
35,T33,T33,Jimmy Walker,89,"8' 7""",930.6669999999999,108,124
