,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
0,1,1,Henrik Stenson,63,70.45,62,88
1,2,2,Brendon Todd,96,65.56,118,180
2,3,3,Jim Furyk,71,64.71,66,102
3,4,4,Camilo Villegas,83,64.12,109,170
4,5,5,Jordan Spieth,91,64.0,112,175
5,6,6,Bryce Molder,91,63.54,115,181
6,7,7,Bubba Watson,71,63.21,67,106
7,8,8,Louis Oosthuizen,68,63.16,72,114
8,9,9,Billy Hurley III,83,62.98,114,181
9,10,10,Justin Leonard,61,62.81,76,121
10,11,11,Francesco Molinari,56,62.79,54,86
11,12,12,Matt Jones,89,62.72,106,169
12,13,13,Patrick Reed,103,62.69,126,201
13,14,14,Chad Collins,79,62.5,90,144
14,15,15,Ricky Barnes,82,62.31,124,199
15,16,16,Robert Streb,110,62.04,134,216
16,17,17,Ian Poulter,68,61.95,70,113
17,18,18,Jerry Kelly,79,61.9,104,168
18,19,19,Jason Dufner,76,61.8,55,89
19,20,20,Steven Bowditch,103,61.57,141,229
20,21,21,Morgan Hoffmann,85,61.29,114,186
21,22,22,Zac Blair,108,61.05,163,267
22,23,23,Jason Bohn,95,61.03,119,195
23,24,24,Jason Kokrak,88,61.02,108,177
24,25,25,Rory Sabbatini,81,61.01,97,159
25,26,26,Justin Thomas,106,61.0,122,200
26,27,27,Brooks Koepka,84,60.9,95,156
27,28,28,John Huh,102,60.89,109,179
28,29,29,Matt Kuchar,97,60.87,126,207
29,30,30,Keegan Bradley,87,60.84,87,143
30,31,31,Kevin Chappell,86,60.8,107,176
31,32,32,William McGirt,103,60.47,130,215
32,33,33,Russell Knox,96,60.44,110,182
33,34,34,Harris English,105,60.35,137,227
34,35,35,Kevin Na,98,60.22,109,181
35,36,36,Bill Haas,89,60.16,74,123
36,T37,T37,Sangmoon Bae,98,59.91,133,222
37,T37,T37,Troy Merritt,91,59.91,127,212
38,39,39,Ben Crane,62,59.85,79,132
39,40,40,Cameron Tringale,96,59.57,112,188
40,41,41,Kevin Kisner,104,59.44,148,249
41,42,42,Daniel Berger,97,59.36,111,187
42,T43,T43,Brian Davis,86,59.2,103,174
43,T43,T43,Chris Kirk,76,59.2,74,125
44,T43,T43,Mark Wilson,89,59.2,103,174
45,T46,T46,Hideki Matsuyama,95,59.12,94,159
46,T46,T46,Tim Wilkinson,73,59.12,107,181
47,48,48,Rickie Fowler,76,59.03,85,144
48,49,49,D.A. Points,72,58.97,92,156
49,50,50,Luke Donald,71,58.96,79,134
50,51,51,Martin Laird,77,58.94,89,151
51,52,52,Webb Simpson,81,58.9,86,146
52,53,53,Boo Weekley,79,58.82,90,153
53,T54,T54,Derek Fathauer,81,58.79,117,199
54,T54,T54,George McNeill,93,58.79,107,182
55,56,56,Brandt Snedeker,98,58.76,114,194
56,57,57,Andres Gonzales,90,58.69,125,213
57,58,58,Fabián Gómez,83,58.6,109,186
58,59,59,Ryan Palmer,80,58.33,77,132
59,60,60,David Lingmerth,90,58.29,109,187
60,61,61,Chesson Hadley,101,58.23,138,237
61,62,62,Ernie Els,57,58.16,57,98
62,63,63,Steve Wheatcroft,87,57.81,111,192
63,64,64,Aaron Baddeley,76,57.78,104,180
64,65,65,David Hearn,97,57.71,101,175
65,66,66,Jonathan Byrd,69,57.6,72,125
66,67,67,Kyle Reifers,96,57.56,99,172
67,68,68,Zach Johnson,90,57.49,96,167
68,69,69,Greg Owen,58,57.43,58,101
69,70,70,Adam Scott,51,57.33,43,75
70,71,71,Blayne Barber,76,57.32,90,157
71,72,72,Carl Pettersson,106,57.31,145,253
72,T73,T73,Max Homa,78,57.3,102,178
73,T73,T73,Brendan Steele,88,57.3,106,185
74,75,75,Erik Compton,86,57.28,122,213
75,76,76,Jeff Overton,94,57.21,119,208
76,77,77,Eric Axley,57,57.14,72,126
77,78,78,J.B. Holmes,89,57.06,97,170
78,79,79,Tony Finau,106,57.02,130,228
79,80,80,Brian Stuard,97,57.0,114,200
80,81,81,Charley Hoffman,97,56.8,117,206
81,82,82,Jonathan Randolph,72,56.79,92,162
82,83,83,Luke Guthrie,84,56.74,101,178
83,84,84,Scott Piercy,90,56.68,123,217
84,85,85,Jimmy Walker,89,56.67,102,180
85,86,86,Martin Flores,95,56.65,98,173
86,87,87,Ken Duke,93,56.61,107,189
87,88,88,Jon Curran,83,56.47,96,170
88,89,89,Retief Goosen,81,56.45,105,186
89,90,90,Nick Taylor,91,56.42,123,218
90,91,91,James Hahn,94,56.37,115,204
91,92,92,Ryan Moore,81,56.16,82,146
92,93,93,Tom Hoge,83,56.14,96,171
93,T94,T94,Adam Hadwin,95,55.98,103,184
94,T94,T94,Spencer Levin,99,55.98,103,184
95,T96,T96,Jason Day,75,55.93,66,118
96,T96,T96,Sam Saunders,83,55.93,99,177
97,98,98,Chez Reavie,56,55.88,57,102
98,99,99,Chad Campbell,97,55.83,115,206
99,100,100,Willy Wilcox,58,55.81,48,86
100,101,101,Marc Leishman,74,55.7,83,149
101,102,102,Michael Putnam,87,55.69,93,167
102,103,103,Scott Stallings,60,55.56,75,135
103,104,104,Robert Garrigus,70,55.37,98,177
104,105,105,Hudson Swafford,97,55.36,93,168
105,106,106,Brian Harman,90,55.29,94,170
106,107,107,Sung Joon Park,79,55.28,89,161
107,108,108,Lucas Glover,79,55.22,74,134
108,T109,T109,Gonzalo Fernandez-Castaño,81,55.17,96,174
109,T109,T109,Daniel Summerhays,101,55.17,128,232
110,111,111,Nick Watney,91,55.15,107,194
111,112,112,Ryo Ishikawa,90,55.14,102,185
112,113,113,Graham DeLaet,65,55.12,70,127
113,114,114,Phil Mickelson,70,55.11,97,176
114,115,115,Tyrone Van Aswegen,58,55.05,60,109
115,116,116,Billy Horschel,99,55.03,82,149
116,117,117,Alex Cejka,94,54.95,122,222
117,118,118,Scott Langley,94,54.9,112,204
118,119,119,Alex Prugh,84,54.88,90,164
119,120,120,Paul Casey,87,54.69,70,128
120,121,121,Derek Ernst,75,54.55,84,154
121,122,122,Jim Renner,68,54.48,73,134
122,123,123,Jamie Donaldson,50,54.44,49,90
