,Scrambling_from_the_Fringe_RANK THIS WEEK,Scrambling_from_the_Fringe_RANK LAST WEEK,Scrambling_from_the_Fringe_PLAYER NAME,Scrambling_from_the_Fringe_ROUNDS,Scrambling_from_the_Fringe_%,Scrambling_from_the_Fringe_SUCCESSES,Scrambling_from_the_Fringe_ATTEMPTS
0,T1,T1,Ben Crane,62,100.0,31,31
1,T1,T1,Jamie Donaldson,50,100.0,23,23
2,3,3,Stewart Cink,77,97.67,42,43
3,4,4,Bill Lunde,50,96.67,29,30
4,5,5,Justin Rose,69,96.55,28,29
5,6,6,Martin Laird,77,96.49,55,57
6,7,7,Blayne Barber,76,96.15,75,78
7,8,8,Charley Hoffman,97,95.92,47,49
8,T9,T9,Luke Donald,71,95.56,43,45
9,T9,T9,Jim Furyk,71,95.56,43,45
10,11,11,Billy Horschel,99,95.52,64,67
11,12,12,Rickie Fowler,76,95.45,42,44
12,13,13,Retief Goosen,81,94.92,56,59
13,14,14,Ángel Cabrera,53,94.87,37,39
14,15,15,Chris Kirk,76,94.59,35,37
15,16,16,Jim Herman,88,94.55,52,55
16,T17,T17,Oscar Fraustro,58,94.44,51,54
17,T17,T17,Hideki Matsuyama,95,94.44,51,54
18,T17,T17,Kevin Streelman,95,94.44,68,72
19,20,20,K.J. Choi,66,94.34,50,53
20,21,21,Troy Merritt,91,94.32,83,88
21,22,22,Seung-Yul Noh,65,94.29,33,35
22,T23,T23,Ryan Palmer,80,94.0,47,50
23,T23,T23,Mark Wilson,89,94.0,47,50
24,T25,T25,Luke Guthrie,84,93.94,62,66
25,T25,T25,Bryce Molder,91,93.94,62,66
26,27,27,John Senden,80,93.88,46,49
27,28,28,Justin Thomas,106,93.83,76,81
28,29,29,J.B. Holmes,89,93.75,60,64
29,30,30,Adam Hadwin,95,93.59,73,78
30,T31,T31,Colt Knost,90,93.55,58,62
31,T31,T31,Andres Romero,69,93.55,58,62
32,33,33,Vijay Singh,78,93.44,57,61
33,T34,T34,Kevin Kisner,104,93.33,70,75
34,T34,T34,Cameron Percy,72,93.33,56,60
35,T36,T36,Jerry Kelly,79,93.24,69,74
36,T36,T36,Hunter Mahan,88,93.24,69,74
37,38,38,Bill Haas,89,93.22,55,59
38,39,39,Davis Love III,51,93.18,41,44
39,40,40,Max Homa,78,92.98,53,57
40,41,41,Charl Schwartzel,67,92.68,38,41
41,42,42,Boo Weekley,79,92.59,50,54
42,43,43,Scott Piercy,90,92.54,62,67
43,T44,T44,Brooks Koepka,84,92.5,37,40
44,T44,T44,Phil Mickelson,70,92.5,37,40
45,46,46,Kyle Reifers,96,92.42,61,66
46,T47,T47,Patrick Rodgers,57,92.31,36,39
47,T47,T47,Willy Wilcox,58,92.31,36,39
48,49,49,Brendon de Jonge,106,92.22,83,90
49,50,50,Carlos Ortiz,100,92.19,59,64
50,T51,T51,Jon Curran,83,92.16,47,51
51,T51,T51,Russell Henley,87,92.16,47,51
52,T53,T53,Roberto Castro,54,92.11,35,38
53,T53,T53,Bubba Watson,71,92.11,35,38
54,T55,T55,Daniel Berger,97,92.06,58,63
55,T55,T55,Jeff Overton,94,92.06,58,63
56,T57,T57,Chesson Hadley,101,92.0,69,75
57,T57,T57,Kevin Na,98,92.0,46,50
58,59,59,Patrick Reed,103,91.94,57,62
59,60,60,Carl Pettersson,106,91.92,91,99
60,T61,T61,Eric Axley,57,91.67,44,48
61,T61,T61,Justin Leonard,61,91.67,44,48
62,T61,T61,John Peterson,84,91.67,77,84
63,64,64,Brian Stuard,97,91.4,85,93
64,T65,T65,Greg Chalmers,58,91.3,42,46
65,T65,T65,Brendan Steele,88,91.3,63,69
66,67,67,Scott Brown,97,91.21,83,91
67,68,68,Gary Woodland,81,91.07,51,56
68,69,69,Steven Alker,62,90.91,40,44
69,70,70,David Lingmerth,90,90.8,79,87
70,T71,T71,Zac Blair,108,90.79,69,76
71,T71,T71,Jason Bohn,95,90.79,69,76
72,T73,T73,Brian Harman,90,90.74,49,54
73,T73,T73,Zach Johnson,90,90.74,49,54
74,T73,T73,Jordan Spieth,91,90.74,49,54
75,76,76,Jason Day,75,90.7,39,43
76,T77,T77,Michael Putnam,87,90.63,58,64
77,T77,T77,Webb Simpson,81,90.63,58,64
78,79,79,J.J. Henry,94,90.54,67,74
79,T80,T80,Adam Scott,51,90.48,19,21
80,T80,T80,Bo Van Pelt,81,90.48,57,63
81,82,82,Andrew Svoboda,80,90.41,66,73
82,T83,T83,Billy Hurley III,83,90.28,65,72
83,T83,T83,Cameron Tringale,96,90.28,65,72
84,85,85,Dustin Johnson,75,90.2,46,51
85,T86,T86,Sangmoon Bae,98,90.14,64,71
86,T86,T86,Morgan Hoffmann,85,90.14,64,71
87,88,88,Steven Bowditch,103,90.11,82,91
88,T89,T89,Whee Kim,71,90.0,45,50
89,T89,T89,Heath Slocum,57,90.0,27,30
90,91,91,Tony Finau,106,89.87,71,79
91,T92,T92,Gonzalo Fernandez-Castaño,81,89.86,62,69
92,T92,T92,James Hahn,94,89.86,62,69
93,94,94,Steve Wheatcroft,87,89.83,53,59
94,95,95,Spencer Levin,99,89.77,79,88
95,T96,T96,David Hearn,97,89.74,70,78
96,T96,T96,Hudson Swafford,97,89.74,70,78
97,98,98,Brandt Snedeker,98,89.71,61,68
98,T99,T99,Ricky Barnes,82,89.66,52,58
99,T99,T99,Henrik Stenson,63,89.66,26,29
100,101,101,Jim Renner,68,89.58,43,48
101,102,102,Johnson Wagner,68,89.55,60,67
102,T103,T103,Jason Gore,76,89.47,51,57
103,T103,T103,Louis Oosthuizen,68,89.47,34,38
104,T103,T103,Shawn Stefani,94,89.47,68,76
105,106,106,Rory Sabbatini,81,89.39,59,66
106,T107,T107,Paul Casey,87,89.19,33,37
107,T107,T107,Daniel Summerhays,101,89.19,66,74
108,109,109,John Merrick,78,89.09,49,55
109,T110,T110,Russell Knox,96,89.06,57,64
110,T110,T110,Jhonattan Vegas,90,89.06,57,64
111,112,112,Nick Watney,91,89.02,73,82
112,T113,T113,Sergio Garcia,59,88.89,32,36
113,T113,T113,Tom Hoge,83,88.89,48,54
114,T113,T113,Charles Howell III,105,88.89,88,99
115,T116,T116,Mark Hubbard,79,88.68,47,53
116,T116,T116,Danny Lee,120,88.68,94,106
117,T116,T116,Chez Reavie,56,88.68,47,53
118,T119,T119,Harris English,105,88.61,70,79
119,T119,T119,Nick Taylor,91,88.61,70,79
120,T121,T121,Jonathan Byrd,69,88.57,31,35
121,T121,T121,Erik Compton,86,88.57,62,70
122,T121,T121,Fabián Gómez,83,88.57,62,70
