,Proximity_to_Hole_ARG_RANK THIS WEEK,Proximity_to_Hole_ARG_RANK LAST WEEK,Proximity_to_Hole_ARG_PLAYER NAME,Proximity_to_Hole_ARG_ROUNDS,Proximity_to_Hole_ARG_AVG DTP,Proximity_to_Hole_ARG_TOTAL DISTANCE (FEET),Proximity_to_Hole_ARG_# OF SHOTS,Proximity_to_Hole_ARG_SCRAMBLING RANK
0,1,1,Webb Simpson,81,"6' 1""",2645.75,435,9
1,T2,T2,Steven Alker,62,"6' 2""",2064.833,335,39
2,T2,T2,Kevin Na,98,"6' 2""",3191.417,520,19
3,T2,T2,Jordan Spieth,91,"6' 2""",2900.0,473,4
4,T5,T5,Jim Furyk,71,"6' 4""",1893.25,299,18
5,T5,T5,Brendon Todd,96,"6' 4""",3299.0,518,22
6,T5,T5,Tim Wilkinson,73,"6' 4""",2678.333,421,111
7,T8,T8,Roberto Castro,54,"6' 6""",1534.75,237,169
8,T8,T8,Chad Collins,79,"6' 6""",2804.333,433,1
9,T8,T8,Padraig Harrington,60,"6' 6""",2425.5,375,137
10,T8,T8,Jerry Kelly,79,"6' 6""",2928.167,449,7
11,T8,T8,Scott Langley,94,"6' 6""",3426.667,525,93
12,T8,T8,Hideki Matsuyama,95,"6' 6""",3136.333,481,30
13,T8,T8,Justin Thomas,106,"6' 6""",4137.833,633,37
14,T15,T15,Scott Brown,97,"6' 7""",3869.75,585,55
15,T15,T15,Jonathan Byrd,69,"6' 7""",2196.5,332,5
16,T15,T15,Jason Dufner,76,"6' 7""",2050.0,313,162
17,T15,T15,Rory Sabbatini,81,"6' 7""",3005.25,454,17
18,T15,T15,Brandt Snedeker,98,"6' 7""",3549.333,536,15
19,T20,T20,Steven Bowditch,103,"6' 8""",4381.0,659,3
20,T20,T20,Kevin Chappell,86,"6' 8""",3479.167,520,87
21,T20,T20,Luke Donald,71,"6' 8""",2400.583,358,46
22,T20,T20,Matt Kuchar,97,"6' 8""",3683.583,556,13
23,T20,T20,Justin Leonard,61,"6' 8""",2451.25,367,34
24,T20,T20,Cameron Tringale,96,"6' 8""",3738.833,564,27
25,T20,T20,Mark Wilson,89,"6' 8""",3327.75,498,63
26,T27,T27,Chris Kirk,76,"6' 9""",2593.917,385,64
27,T27,T27,Bryce Molder,91,"6' 9""",3316.667,489,20
28,T27,T27,Ian Poulter,68,"6' 9""",2340.583,348,54
29,T27,T27,Heath Slocum,57,"6' 9""",1927.0,285,138
30,T31,T31,Jonas Blixt,78,"6' 10""",2472.417,360,107
31,T31,T31,Erik Compton,86,"6' 10""",3494.917,509,61
32,T31,T31,Rickie Fowler,76,"6' 10""",2762.167,404,47
33,T31,T31,Luke Guthrie,84,"6' 10""",3208.917,470,127
34,T31,T31,J.B. Holmes,89,"6' 10""",3442.25,504,85
35,T31,T31,Louis Oosthuizen,68,"6' 10""",2163.167,318,41
36,T31,T31,Patrick Reed,103,"6' 10""",3893.25,572,28
37,T31,T31,Vijay Singh,78,"6' 10""",3419.833,498,50
38,T31,T31,Chris Stroud,84,"6' 10""",3113.917,454,71
39,T31,T31,Camilo Villegas,83,"6' 10""",3559.333,518,96
