,Scrambling_from_10-20_yards_RANK THIS WEEK,Scrambling_from_10-20_yards_RANK LAST WEEK,Scrambling_from_10-20_yards_PLAYER NAME,Scrambling_from_10-20_yards_ROUNDS,Scrambling_from_10-20_yards_%,Scrambling_from_10-20_yards_SUCCESSES,Scrambling_from_10-20_yards_ATTEMPTS
0,1,1,Bill Haas,89,74.83,107,143
1,2,2,Louis Oosthuizen,68,74.59,91,122
2,3,3,Hideki Matsuyama,95,74.56,126,169
3,4,4,Matt Kuchar,97,73.74,146,198
4,5,5,Jamie Donaldson,50,73.68,70,95
5,6,6,Chad Collins,79,73.42,116,158
6,7,7,Luke Donald,71,72.73,96,132
7,8,8,Chris Kirk,76,72.46,100,138
8,9,9,Rickie Fowler,76,72.37,110,152
9,10,10,Ernie Els,57,72.34,68,94
10,11,11,Billy Hurley III,83,72.13,132,183
11,12,12,Bubba Watson,71,72.0,90,125
12,13,13,Ben Crane,62,71.03,103,145
13,14,14,Kevin Na,98,70.89,151,213
14,15,15,Henrik Stenson,63,70.83,68,96
15,16,16,Steven Bowditch,103,70.76,167,236
16,17,17,Cameron Tringale,96,70.67,147,208
17,18,18,Brandt Snedeker,98,70.5,141,200
18,19,19,Andres Romero,69,70.45,93,132
19,20,20,Zac Blair,108,70.44,143,203
20,21,21,Keegan Bradley,87,70.39,107,152
21,T22,T22,Jason Day,75,70.31,90,128
22,T22,T22,Mark Wilson,89,70.31,135,192
23,24,24,Justin Thomas,106,70.14,148,211
24,25,25,Webb Simpson,81,69.93,107,153
25,26,26,Patrick Reed,103,69.81,148,212
26,27,27,K.J. Choi,66,69.62,110,158
27,28,28,Russell Knox,96,69.61,126,181
28,T29,T29,Jonathan Byrd,69,69.53,89,128
29,T29,T29,Stewart Cink,77,69.53,89,128
30,31,31,Sangmoon Bae,98,69.51,171,246
31,32,32,Carl Pettersson,106,69.42,193,278
32,33,33,William McGirt,103,69.38,179,258
33,34,34,Jeff Overton,94,69.23,126,182
34,T35,T35,Billy Horschel,99,68.75,132,192
35,T35,T35,D.A. Points,72,68.75,110,160
36,37,37,Jhonattan Vegas,90,68.68,125,182
37,38,38,Jordan Spieth,91,68.6,118,172
38,39,39,Zach Johnson,90,68.52,111,162
39,40,40,Andres Gonzales,90,68.48,126,184
40,41,41,Hunter Mahan,88,68.39,106,155
41,42,42,Justin Leonard,61,68.28,99,145
42,43,43,Brendon Todd,96,68.25,129,189
43,44,44,Derek Fathauer,81,68.04,132,194
44,45,45,Jim Furyk,71,68.0,85,125
45,T46,T46,Bryce Molder,91,67.84,135,199
46,T46,T46,Ryan Moore,81,67.84,116,171
47,48,48,Blayne Barber,76,67.81,99,146
48,49,49,Sergio Garcia,59,67.78,61,90
49,50,50,Matt Jones,89,67.69,132,195
50,51,51,Robert Streb,110,67.56,152,225
51,52,52,Scott Piercy,90,67.51,133,197
52,53,53,Ian Poulter,68,67.46,85,126
53,54,54,Ricky Barnes,82,67.37,128,190
54,55,55,Brian Harman,90,67.31,140,208
55,56,56,Tony Finau,106,67.28,146,217
56,57,57,John Huh,102,67.26,150,223
57,58,58,Steve Wheatcroft,87,67.19,129,192
58,59,59,Ryan Palmer,80,67.18,88,131
59,60,60,Aaron Baddeley,76,67.03,124,185
60,61,61,Sung Joon Park,79,66.88,107,160
61,62,62,Kevin Chappell,86,66.83,139,208
62,T63,T63,Padraig Harrington,60,66.67,96,144
63,T63,T63,Whee Kim,71,66.67,78,117
64,65,65,Erik Compton,86,66.5,135,203
65,66,66,Retief Goosen,81,66.48,119,179
66,67,67,Jonas Blixt,78,66.45,103,155
