,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
0,1,1,Jason Day,75,72.41,42,58
1,2,2,Chris Kirk,76,69.41,59,85
2,3,3,Tyrone Van Aswegen,58,68.0,34,50
3,4,4,Matt Kuchar,97,67.82,59,87
4,5,5,Chad Collins,79,66.28,57,86
5,T6,T6,Luke Donald,71,65.71,46,70
6,T6,T6,Willy Wilcox,58,65.71,23,35
7,8,8,Louis Oosthuizen,68,65.38,34,52
8,9,9,Zac Blair,108,64.96,76,117
9,10,10,Justin Rose,69,64.91,37,57
10,11,11,David Toms,62,64.47,49,76
11,12,12,Webb Simpson,81,64.38,47,73
12,13,13,Sung Joon Park,79,64.36,65,101
13,T14,T14,Steven Bowditch,103,64.22,70,109
14,T14,T14,Brandt Snedeker,98,64.22,70,109
15,16,16,K.J. Choi,66,64.18,43,67
16,17,17,Jonathan Byrd,69,64.0,48,75
17,18,18,Brendon Todd,96,63.92,62,97
18,19,19,Lee Westwood,56,63.83,30,47
19,20,20,Danny Lee,120,63.79,74,116
20,21,21,Jordan Spieth,91,63.41,52,82
21,22,22,Kevin Na,98,62.14,64,103
22,23,23,Jamie Donaldson,50,61.36,27,44
23,24,24,Phil Mickelson,70,60.87,56,92
24,25,25,Carlos Ortiz,100,60.64,57,94
25,26,26,Scott Langley,94,60.55,66,109
26,27,27,Aaron Baddeley,76,60.23,53,88
27,28,28,Sean O'Hair,86,60.19,62,103
28,T29,T29,Padraig Harrington,60,60.0,45,75
29,T29,T29,Michael Putnam,87,60.0,42,70
30,31,31,Zach Johnson,90,59.79,58,97
31,32,32,Brian Harman,90,59.18,58,98
32,33,33,George McNeill,93,58.89,53,90
33,T34,T34,Heath Slocum,57,58.73,37,63
34,T34,T34,Bubba Watson,71,58.73,37,63
35,36,36,Bill Lunde,50,58.7,27,46
36,37,37,Rory Sabbatini,81,58.67,44,75
37,38,38,Kyle Reifers,96,58.33,70,120
38,T39,T39,Colt Knost,90,58.02,47,81
39,T39,T39,John Peterson,84,58.02,47,81
40,T41,T41,Jonas Blixt,78,57.89,44,76
41,T41,T41,Jonathan Randolph,72,57.89,44,76
42,43,43,Jhonattan Vegas,90,57.53,42,73
43,44,44,Mark Hubbard,79,57.47,50,87
44,45,45,Cameron Tringale,96,57.43,58,101
45,46,46,Rickie Fowler,76,57.35,39,68
46,T47,T47,Ryan Moore,81,57.33,43,75
47,T47,T47,Brendan Steele,88,57.33,43,75
48,49,49,Sam Saunders,83,57.29,55,96
49,50,50,Robert Streb,110,57.14,60,105
50,51,51,Brian Davis,86,56.41,66,117
51,52,52,Hunter Mahan,88,56.12,55,98
52,53,53,Jon Curran,83,55.88,57,102
53,54,54,Chesson Hadley,101,55.86,62,111
54,55,55,Billy Hurley III,83,55.56,40,72
55,56,56,Mark Wilson,89,55.42,46,83
56,57,57,James Hahn,94,55.32,52,94
57,58,58,Jimmy Walker,89,55.17,48,87
58,59,59,Eric Axley,57,54.93,39,71
59,T60,T60,Seung-Yul Noh,65,54.84,34,62
60,T60,T60,Carl Pettersson,106,54.84,68,124
61,62,62,Chris Stroud,84,54.76,46,84
62,63,63,Greg Owen,58,54.72,29,53
63,64,64,Sangmoon Bae,98,54.69,70,128
64,T65,T65,Ian Poulter,68,54.55,42,77
65,T65,T65,Nick Watney,91,54.55,48,88
66,67,67,Charley Hoffman,97,54.46,61,112
67,T68,T68,Keegan Bradley,87,54.43,43,79
68,T68,T68,Matt Every,73,54.43,43,79
69,70,70,Greg Chalmers,58,54.24,32,59
70,71,71,John Huh,102,54.23,77,142
71,72,72,Martin Laird,77,54.22,45,83
72,73,73,Martin Flores,95,54.17,52,96
73,74,74,Daniel Berger,97,54.02,47,87
74,T75,T75,Henrik Stenson,63,53.85,21,39
75,T75,T75,Kevin Streelman,95,53.85,42,78
76,77,77,Ben Crane,62,53.66,44,82
77,78,78,Pat Perez,96,53.61,52,97
78,79,79,Jason Gore,76,53.52,38,71
79,80,80,D.A. Points,72,53.45,31,58
80,81,81,Patrick Reed,103,53.41,47,88
81,82,82,Chad Campbell,97,53.33,48,90
82,83,83,William McGirt,103,53.21,58,109
83,84,84,Roberto Castro,54,53.19,25,47
84,85,85,Adam Hadwin,95,53.04,61,115
85,T86,T86,Bryce Molder,91,52.83,56,106
86,T86,T86,Francesco Molinari,56,52.83,28,53
87,88,88,Steve Wheatcroft,87,52.73,58,110
88,T89,T89,Ryo Ishikawa,90,52.7,39,74
89,T89,T89,John Senden,80,52.7,39,74
90,T91,T91,Ken Duke,93,52.38,55,105
91,T91,T91,Daniel Summerhays,101,52.38,55,105
92,93,93,Vijay Singh,78,52.17,48,92
93,94,94,Tim Wilkinson,73,52.13,49,94
94,95,95,Scott Brown,97,52.08,50,96
95,96,96,Steven Alker,62,52.05,38,73
96,97,97,Andres Gonzales,90,52.0,39,75
97,98,98,Jerry Kelly,79,51.76,44,85
98,T99,T99,Alex Cejka,94,51.72,45,87
99,T99,T99,Luke Guthrie,84,51.72,45,87
100,101,101,Stewart Cink,77,51.67,31,60
101,102,102,Graham DeLaet,65,51.56,33,64
102,103,103,Nick Taylor,91,51.49,52,101
103,104,104,Jim Herman,88,51.28,40,78
104,105,105,Geoff Ogilvy,50,51.22,21,41
