,SG_Around-the-Green_RANK THIS WEEK,SG_Around-the-Green_RANK LAST WEEK,SG_Around-the-Green_PLAYER NAME,SG_Around-the-Green_ROUNDS,SG_Around-the-Green_AVERAGE,SG_Around-the-Green_TOTAL SG:ARG,SG_Around-the-Green_MEASURED ROUNDS
0,1,1,Kevin Na,98,0.66,46.826,71
1,2,2,Jonathan Byrd,69,0.596,30.391,51
2,3,3,Webb Simpson,81,0.539,34.496,64
3,4,4,Luke Donald,71,0.514,27.781999999999996,54
4,5,5,Jim Furyk,71,0.513,26.701,52
5,6,6,Matt Kuchar,97,0.479,36.864000000000004,77
6,7,7,Jordan Spieth,91,0.47100000000000003,31.054000000000002,66
7,8,8,Steven Alker,62,0.406,20.301,50
8,9,9,Mark Wilson,89,0.377,30.506999999999998,81
9,10,10,Cameron Tringale,96,0.373,29.438000000000002,79
10,11,11,Aaron Baddeley,76,0.37,24.399,66
11,12,12,Brandt Snedeker,98,0.344,25.818,75
12,13,13,Morgan Hoffmann,85,0.34299999999999997,23.658,69
13,T14,T14,Ricky Barnes,82,0.336,21.182,63
14,T14,T14,Padraig Harrington,60,0.336,16.444000000000003,49
15,16,16,Matt Jones,89,0.33299999999999996,22.303,67
16,17,17,Chris Stroud,84,0.295,20.046,68
17,18,18,Jason Day,75,0.287,16.357,57
18,19,19,Jason Dufner,76,0.281,13.474,48
19,T20,T20,Brendon Todd,96,0.28,21.285999999999998,76
20,T20,T20,Tim Wilkinson,73,0.28,16.226,58
21,22,22,Patrick Reed,103,0.273,20.717,76
22,23,23,Jon Curran,83,0.27,17.554000000000002,65
23,24,24,J.B. Holmes,89,0.268,17.699,66
24,25,25,Keegan Bradley,87,0.263,16.862000000000002,64
25,26,26,Hideki Matsuyama,95,0.254,17.797,70
26,27,27,Steven Bowditch,103,0.253,22.27,88
27,T28,T28,William McGirt,103,0.248,24.101999999999997,97
28,T28,T28,David Toms,62,0.248,13.645,55
29,30,30,Vijay Singh,78,0.24100000000000002,16.607,69
30,31,31,Zach Johnson,90,0.23600000000000002,16.512,70
31,T32,T32,Justin Rose,69,0.228,11.195,49
32,T32,T32,Robert Streb,110,0.228,21.918000000000003,96
33,34,34,Phil Mickelson,70,0.225,12.387,55
34,35,35,K.J. Choi,66,0.21,11.949000000000002,57
35,36,36,Jonas Blixt,78,0.209,10.862,52
36,37,37,Chad Collins,79,0.205,12.921,63
37,38,38,D.A. Points,72,0.19899999999999998,11.568,58
38,39,39,Chris Kirk,76,0.198,11.097000000000001,56
39,T40,T40,Seung-Yul Noh,65,0.188,10.158999999999999,54
40,T40,T40,Justin Thomas,106,0.188,18.081,96
41,42,42,Roberto Castro,54,0.187,6.7170000000000005,36
42,43,43,Gonzalo Fernandez-Castaño,81,0.183,11.532,63
43,44,44,Tyrone Van Aswegen,58,0.18100000000000002,7.601,42
44,45,45,Scott Langley,94,0.18,14.219000000000001,79
45,46,46,Derek Fathauer,81,0.179,11.822000000000001,66
46,T47,T47,Jerry Kelly,79,0.166,10.937999999999999,66
47,T47,T47,Justin Leonard,61,0.166,8.978,54
48,49,49,Chad Campbell,97,0.159,14.485,91
49,50,50,Sergio Garcia,59,0.157,5.669,36
50,51,51,Bryce Molder,91,0.156,11.99,77
51,52,52,Kevin Chappell,86,0.14800000000000002,11.095,75
52,T53,T53,Luke Guthrie,84,0.147,9.975,68
53,T53,T53,Ian Poulter,68,0.147,7.077999999999999,48
54,55,55,Camilo Villegas,83,0.14300000000000002,10.61,74
55,56,56,Sean O'Hair,86,0.142,11.513,81
56,57,57,Alex Cejka,94,0.135,10.649000000000001,79
57,58,58,Zac Blair,108,0.131,11.51,88
58,59,59,Greg Owen,58,0.129,5.166,40
59,60,60,Mark Hubbard,79,0.128,7.836,61
60,61,61,J.J. Henry,94,0.127,9.67,76
61,62,62,Bill Haas,89,0.126,8.978,71
62,63,63,Davis Love III,51,0.11599999999999999,4.854,42
63,64,64,Andrew Putnam,68,0.113,6.0889999999999995,54
64,65,65,Nick Watney,91,0.11199999999999999,9.102,81
65,66,66,Russell Knox,96,0.107,9.339,87
66,T67,T67,Ernie Els,57,0.102,3.992,39
67,T67,T67,Marc Leishman,74,0.102,5.51,54
68,T67,T67,Ryan Moore,81,0.102,6.195,61
69,70,70,Billy Hurley III,83,0.098,6.16,63
70,71,71,Rory Sabbatini,81,0.09699999999999999,6.433,66
71,72,72,Charl Schwartzel,67,0.092,3.762,41
72,73,73,Louis Oosthuizen,68,0.08800000000000001,4.126,47
73,T74,T74,Brice Garnett,81,0.08199999999999999,5.244,64
74,T74,T74,Henrik Stenson,63,0.08199999999999999,3.6039999999999996,44
75,76,76,Kyle Reifers,96,0.076,6.112,80
76,77,77,Jimmy Walker,89,0.068,4.357,64
77,78,78,Rickie Fowler,76,0.066,3.7510000000000003,57
78,79,79,James Hahn,94,0.065,5.103,78
79,80,80,Charles Howell III,105,0.059000000000000004,5.857,99
80,81,81,Willy Wilcox,58,0.057999999999999996,2.36,41
81,82,82,Sung Joon Park,79,0.055,3.452,63
82,83,83,Brooks Koepka,84,0.052000000000000005,3.405,65
83,T84,T84,Erik Compton,86,0.047,3.281,70
84,T84,T84,Martin Flores,95,0.047,3.713,79
85,86,86,Jamie Donaldson,50,0.046,1.469,32
86,87,87,Pat Perez,96,0.045,3.721,83
87,88,88,Adam Hadwin,95,0.044000000000000004,3.53,81
88,T89,T89,Brendan Steele,88,0.040999999999999995,3.097,76
89,T89,T89,Michael Thompson,83,0.040999999999999995,3.0639999999999996,75
90,91,91,Geoff Ogilvy,50,0.039,1.376,35
91,92,92,Cameron Percy,72,0.037000000000000005,2.1180000000000003,58
92,T93,T93,Ben Crane,62,0.03,1.57,52
93,T93,T93,Brian Harman,90,0.03,2.366,78
94,95,95,Brian Davis,86,0.028999999999999998,2.081,71
95,96,96,Tony Finau,106,0.027000000000000003,2.526,92
96,97,97,Ryo Ishikawa,90,0.025,1.869,75
97,98,98,Andres Gonzales,90,0.022000000000000002,1.635,76
98,99,99,Heath Slocum,57,0.018000000000000002,0.71,39
99,100,100,Boo Weekley,79,0.015,1.004,67
100,101,101,John Merrick,78,0.006,0.331,58
101,102,102,Hunter Mahan,88,0.003,0.163,65
102,103,103,Harris English,105,0.0,0.03,88
103,104,104,Bubba Watson,71,-0.002,-0.125,56
104,105,105,John Senden,80,-0.017,-0.8590000000000001,51
105,106,106,Jeff Overton,94,-0.018000000000000002,-1.37,75
106,107,107,Martin Laird,77,-0.019,-1.354,73
107,108,108,Michael Putnam,87,-0.022000000000000002,-1.474,68
108,109,109,David Lingmerth,90,-0.025,-1.859,74
109,110,110,Greg Chalmers,58,-0.027999999999999997,-1.001,36
110,111,111,David Hearn,97,-0.028999999999999998,-2.474,85
111,112,112,John Huh,102,-0.03,-2.657,89
112,113,113,Francesco Molinari,56,-0.037000000000000005,-1.61,43
113,114,114,Jim Renner,68,-0.038,-2.129,56
114,115,115,Retief Goosen,81,-0.039,-2.32,60
115,T116,T116,Jason Bohn,95,-0.042,-3.6180000000000003,87
116,T116,T116,Byron Smith,59,-0.042,-1.8,43
117,118,118,Whee Kim,71,-0.043,-2.411,56
118,119,119,Matt Every,73,-0.044000000000000004,-2.458,56
119,T120,T120,Scott Stallings,60,-0.052000000000000005,-2.5340000000000003,49
120,T120,T120,Brian Stuard,97,-0.052000000000000005,-4.1080000000000005,79
121,122,122,Troy Merritt,91,-0.054000000000000006,-4.405,82
122,123,123,Graham DeLaet,65,-0.055999999999999994,-3.034,54
