,Sand_Save_Percentage_RANK THIS WEEK,Sand_Save_Percentage_RANK LAST WEEK,Sand_Save_Percentage_PLAYER NAME,Sand_Save_Percentage_ROUNDS,Sand_Save_Percentage_%,Sand_Save_Percentage_# SAVES,Sand_Save_Percentage_# BUNKERS,Sand_Save_Percentage_TOTAL O/U PAR
0,1,1,Kevin Na,98.0,63.19,91.0,144.0,37.0
1,T2,T2,Sung Joon Park,79.0,63.08,82.0,130.0,35.0
2,T2,T2,Willy Wilcox,58.0,63.08,41.0,65.0,13.0
3,4,4,David Toms,62.0,63.04,58.0,92.0,20.0
4,5,5,Chad Collins,79.0,62.81,76.0,121.0,18.0
5,6,6,Brendon Todd,96.0,61.9,91.0,147.0,42.0
6,7,7,Danny Lee,120.0,61.54,104.0,169.0,47.0
7,8,8,Matt Kuchar,97.0,61.49,91.0,148.0,35.0
8,9,9,Luke Donald,71.0,61.17,63.0,103.0,31.0
9,10,10,Jason Day,75.0,61.11,66.0,108.0,11.0
10,11,11,Louis Oosthuizen,68.0,60.82,59.0,97.0,7.0
11,12,12,Justin Rose,69.0,60.75,65.0,107.0,23.0
12,13,13,Chris Kirk,76.0,60.47,78.0,129.0,35.0
13,14,14,Heath Slocum,57.0,60.44,55.0,91.0,20.0
14,15,15,Zac Blair,108.0,60.39,93.0,154.0,36.0
15,16,16,Padraig Harrington,60.0,59.79,58.0,97.0,27.0
16,17,17,Jonathan Byrd,69.0,59.6,59.0,99.0,19.0
17,18,18,Steven Bowditch,103.0,59.39,98.0,165.0,39.0
18,19,19,Webb Simpson,81.0,59.2,74.0,125.0,21.0
19,20,20,Aaron Baddeley,76.0,59.13,68.0,115.0,37.0
20,T21,T21,Brandt Snedeker,98.0,59.04,98.0,166.0,39.0
21,T21,T21,Lee Westwood,56.0,59.04,49.0,83.0,24.0
22,23,23,Jamie Donaldson,50.0,58.97,46.0,78.0,26.0
23,24,24,Jordan Spieth,91.0,58.14,75.0,129.0,23.0
24,25,25,Scott Langley,94.0,57.94,73.0,126.0,42.0
25,26,26,K.J. Choi,66.0,57.29,55.0,96.0,20.0
26,27,27,Jon Curran,83.0,57.14,72.0,126.0,43.0
27,28,28,Bill Lunde,50.0,56.9,33.0,58.0,11.0
28,T29,T29,Jonas Blixt,78.0,56.64,64.0,113.0,36.0
29,T29,T29,Sam Saunders,83.0,56.64,81.0,143.0,40.0
30,31,31,Michael Putnam,87.0,56.56,69.0,122.0,30.0
31,32,32,Zach Johnson,90.0,56.25,81.0,144.0,46.0
32,33,33,Ryan Moore,81.0,55.86,62.0,111.0,44.0
33,34,34,Rickie Fowler,76.0,55.83,67.0,120.0,38.0
34,35,35,Brian Harman,90.0,55.8,77.0,138.0,45.0
35,36,36,Kyle Reifers,96.0,55.63,89.0,160.0,41.0
36,37,37,James Hahn,94.0,55.47,71.0,128.0,48.0
37,38,38,Rory Sabbatini,81.0,55.45,61.0,110.0,41.0
38,39,39,Colt Knost,90.0,55.34,57.0,103.0,33.0
39,40,40,Carlos Ortiz,100.0,55.19,85.0,154.0,31.0
40,41,41,Roberto Castro,54.0,54.88,45.0,82.0,19.0
41,42,42,Chris Stroud,84.0,54.84,68.0,124.0,31.0
42,43,43,Mark Wilson,89.0,54.63,59.0,108.0,32.0
43,44,44,Scott Brown,97.0,54.2,71.0,131.0,44.0
44,45,45,Hunter Mahan,88.0,54.19,84.0,155.0,44.0
45,46,46,Brian Davis,86.0,54.14,85.0,157.0,60.0
46,47,47,Matt Jones,89.0,54.04,87.0,161.0,37.0
47,48,48,Chad Campbell,97.0,53.91,62.0,115.0,27.0
48,49,49,Tyrone Van Aswegen,58.0,53.85,35.0,65.0,20.0
49,50,50,Mark Hubbard,79.0,53.78,64.0,119.0,39.0
50,T51,T51,Brooks Koepka,84.0,53.68,73.0,136.0,31.0
51,T51,T51,George McNeill,93.0,53.68,73.0,136.0,37.0
52,53,53,Eric Axley,57.0,53.54,53.0,99.0,48.0
53,54,54,D.A. Points,72.0,53.49,46.0,86.0,33.0
54,55,55,Cameron Tringale,96.0,53.47,77.0,144.0,44.0
55,T56,T56,William McGirt,103.0,53.42,78.0,146.0,42.0
56,T56,T56,Jimmy Walker,89.0,53.42,86.0,161.0,57.0
57,58,58,Daniel Berger,97.0,53.38,71.0,133.0,27.0
58,59,59,Phil Mickelson,70.0,53.29,81.0,152.0,48.0
59,60,60,Stewart Cink,77.0,53.26,49.0,92.0,43.0
60,61,61,David Lingmerth,90.0,53.24,74.0,139.0,53.0
61,62,62,Pat Perez,96.0,52.86,74.0,140.0,40.0
62,63,63,Tim Wilkinson,73.0,52.71,68.0,129.0,42.0
63,64,64,Ben Crane,62.0,52.63,50.0,95.0,44.0
64,65,65,Ian Poulter,68.0,52.54,62.0,118.0,43.0
65,66,66,Robert Streb,110.0,52.53,83.0,158.0,42.0
66,67,67,Bill Haas,89.0,52.5,63.0,120.0,38.0
67,68,68,Jonathan Randolph,72.0,52.29,57.0,109.0,27.0
68,69,69,Matt Every,73.0,52.27,69.0,132.0,50.0
69,70,70,Patrick Reed,103.0,52.24,70.0,134.0,49.0
70,71,71,Bryce Molder,91.0,52.03,64.0,123.0,52.0
71,72,72,Sangmoon Bae,98.0,52.0,91.0,175.0,66.0
72,T73,T73,Martin Laird,77.0,51.82,57.0,110.0,36.0
73,T73,T73,Andrew Putnam,68.0,51.82,57.0,110.0,38.0
74,T75,T75,Sean O'Hair,86.0,51.77,73.0,141.0,43.0
75,T75,T75,Steve Wheatcroft,87.0,51.77,73.0,141.0,49.0
76,77,77,Ernie Els,57.0,51.76,44.0,85.0,25.0
77,T78,T78,Jim Herman,88.0,51.75,59.0,114.0,27.0
78,T78,T78,Brendan Steele,88.0,51.75,59.0,114.0,30.0
79,80,80,John Huh,102.0,51.63,95.0,184.0,56.0
80,81,81,Steven Alker,62.0,51.61,48.0,93.0,25.0
81,82,82,Seung-Yul Noh,65.0,51.55,50.0,97.0,30.0
82,83,83,John Peterson,84.0,51.26,61.0,119.0,33.0
83,84,84,Vijay Singh,78.0,51.16,66.0,129.0,45.0
84,85,85,Charl Schwartzel,67.0,50.98,52.0,102.0,36.0
85,86,86,Adam Hadwin,95.0,50.96,80.0,157.0,47.0
86,87,87,Luke Guthrie,84.0,50.85,60.0,118.0,44.0
87,88,88,Derek Fathauer,81.0,50.78,65.0,128.0,38.0
88,89,89,Erik Compton,86.0,50.77,66.0,130.0,49.0
89,90,90,Brian Stuard,97.0,50.7,72.0,142.0,53.0
90,91,91,Greg Chalmers,58.0,50.63,40.0,79.0,30.0
91,92,92,Graham DeLaet,65.0,50.54,47.0,93.0,35.0
92,93,93,Jason Gore,76.0,50.51,50.0,99.0,30.0
93,94,94,Nick Watney,91.0,50.42,60.0,119.0,33.0
94,95,95,Martin Flores,,,,,
95,T96,T96,Charley Hoffman,97.0,50.3,85.0,169.0,52.0
96,T96,T96,Carl Pettersson,106.0,50.3,84.0,167.0,75.0
97,T98,T98,Kevin Kisner,104.0,50.0,71.0,142.0,51.0
98,T98,T98,Adam Scott,51.0,50.0,38.0,76.0,31.0
99,T98,T98,John Senden,80.0,50.0,68.0,136.0,40.0
100,T98,T98,Nick Taylor,91.0,50.0,72.0,144.0,53.0
101,102,102,Justin Thomas,106.0,49.64,69.0,139.0,48.0
102,103,103,Ben Martin,93.0,49.59,60.0,121.0,61.0
103,104,104,Brice Garnett,81.0,49.58,59.0,119.0,37.0
104,105,105,Marc Leishman,74.0,49.57,57.0,115.0,36.0
105,106,106,Chesson Hadley,101.0,49.44,89.0,180.0,66.0
106,107,107,Henrik Stenson,63.0,49.43,43.0,87.0,22.0
107,108,108,Ryo Ishikawa,90.0,49.31,71.0,144.0,40.0
108,109,109,Scott Pinckney,88.0,49.17,59.0,120.0,33.0
109,110,110,Ryan Palmer,80.0,49.15,58.0,118.0,51.0
110,111,111,Lucas Glover,79.0,49.11,55.0,112.0,44.0
111,112,112,Michael Thompson,83.0,48.92,68.0,139.0,50.0
112,113,113,Cameron Percy,72.0,48.86,43.0,88.0,34.0
