,Sand_Saves_from_30_yards_RANK THIS WEEK,Sand_Saves_from_30_yards_RANK LAST WEEK,Sand_Saves_from_30_yards_PLAYER NAME,Sand_Saves_from_30_yards_ROUNDS,Sand_Saves_from_30_yards_%,Sand_Saves_from_30_yards_# OF SAVES,Sand_Saves_from_30_yards_# OF BUNKERS
0,1,1,Willy Wilcox,58,100.0,3.0,3
1,2,2,Jonas Blixt,78,70.0,7.0,10
2,T3,T3,Ángel Cabrera,53,66.67,4.0,6
3,T3,T3,Marc Leishman,74,66.67,8.0,12
4,5,5,Steven Bowditch,103,61.54,8.0,13
5,T6,T6,Heath Slocum,57,60.0,3.0,5
6,T6,T6,Johnson Wagner,68,60.0,3.0,5
7,T6,T6,Lee Westwood,56,60.0,3.0,5
8,T6,T6,Tim Wilkinson,73,60.0,6.0,10
9,10,10,Sung Joon Park,79,58.33,7.0,12
10,T11,T11,Ryan Palmer,80,57.14,4.0,7
11,T11,T11,Jimmy Walker,89,57.14,8.0,14
12,T13,T13,Rickie Fowler,76,55.56,5.0,9
13,T13,T13,Zach Johnson,90,55.56,10.0,18
14,T13,T13,Camilo Villegas,83,55.56,5.0,9
15,T16,T16,Luke Guthrie,84,54.55,6.0,11
16,T16,T16,James Hahn,94,54.55,6.0,11
17,T16,T16,Chris Kirk,76,54.55,6.0,11
18,19,19,Brian Harman,90,53.85,7.0,13
19,20,20,J.B. Holmes,89,53.33,8.0,15
20,T21,T21,Blayne Barber,76,50.0,4.0,8
21,T21,T21,Zac Blair,108,50.0,8.0,16
22,T21,T21,Roberto Castro,54,50.0,2.0,4
23,T21,T21,Greg Chalmers,58,50.0,3.0,6
24,T21,T21,Stewart Cink,77,50.0,8.0,16
25,T21,T21,Jon Curran,83,50.0,8.0,16
26,T21,T21,Dustin Johnson,75,50.0,4.0,8
27,T21,T21,Jason Kokrak,88,50.0,10.0,20
28,T21,T21,Ben Martin,93,50.0,5.0,10
29,T21,T21,Kevin Na,98,50.0,7.0,14
30,T21,T21,Carlos Ortiz,100,50.0,13.0,26
31,T21,T21,D.A. Points,72,50.0,3.0,6
32,T21,T21,Sam Saunders,83,50.0,5.0,10
33,T21,T21,David Toms,62,50.0,5.0,10
34,T21,T21,Boo Weekley,79,50.0,4.0,8
35,36,36,David Hearn,97,47.37,9.0,19
36,37,37,Justin Thomas,106,46.67,7.0,15
37,T38,T38,Alex Cejka,94,46.15,6.0,13
38,T38,T38,Matt Every,73,46.15,6.0,13
39,T40,T40,Ernie Els,57,45.45,5.0,11
40,T40,T40,Brendon Todd,96,45.45,5.0,11
41,42,42,Cameron Tringale,96,45.0,9.0,20
42,T43,T43,Jamie Donaldson,50,44.44,4.0,9
43,T43,T43,Morgan Hoffmann,85,44.44,8.0,18
44,T43,T43,Seung-Yul Noh,65,44.44,8.0,18
45,T43,T43,John Peterson,84,44.44,8.0,18
46,T43,T43,Andrew Putnam,68,44.44,4.0,9
47,48,48,Daniel Berger,97,43.75,7.0,16
48,T49,T49,Charlie Beljan,76,42.86,3.0,7
49,T49,T49,Charley Hoffman,97,42.86,6.0,14
50,T49,T49,Martin Laird,77,42.86,3.0,7
51,T49,T49,Cameron Percy,72,42.86,3.0,7
52,T49,T49,Rory Sabbatini,81,42.86,3.0,7
53,T49,T49,Adam Scott,51,42.86,3.0,7
54,T49,T49,Henrik Stenson,63,42.86,3.0,7
55,T49,T49,Hudson Swafford,97,42.86,3.0,7
56,T49,T49,Bubba Watson,71,42.86,6.0,14
57,58,58,Kevin Kisner,104,41.18,7.0,17
58,59,59,Brendon de Jonge,106,40.91,9.0,22
59,T60,T60,Aaron Baddeley,76,40.0,4.0,10
60,T60,T60,Scott Brown,97,40.0,6.0,15
61,T60,T60,Lucas Glover,79,40.0,4.0,10
62,T60,T60,David Lingmerth,90,40.0,4.0,10
63,T60,T60,William McGirt,103,40.0,6.0,15
64,T60,T60,Ryan Moore,81,40.0,4.0,10
65,T60,T60,Ian Poulter,68,40.0,4.0,10
66,T60,T60,Jonathan Randolph,72,40.0,4.0,10
67,T60,T60,Chez Reavie,56,40.0,2.0,5
68,T60,T60,John Senden,80,40.0,6.0,15
69,T60,T60,Jordan Spieth,91,40.0,4.0,10
70,T60,T60,Tyrone Van Aswegen,58,40.0,2.0,5
71,T60,T60,Gary Woodland,81,40.0,4.0,10
72,73,73,Charles Howell III,105,39.13,9.0,23
73,T74,T74,Daniel Summerhays,101,38.89,7.0,18
74,T74,T74,Michael Thompson,83,38.89,7.0,18
75,T76,T76,Russell Henley,87,37.5,6.0,16
76,T76,T76,Tom Hoge,83,37.5,3.0,8
77,T76,T76,Billy Hurley III,83,37.5,3.0,8
78,T76,T76,Scott Langley,94,37.5,3.0,8
79,T76,T76,Patrick Rodgers,57,37.5,3.0,8
80,81,81,Hideki Matsuyama,95,36.84,7.0,19
81,T82,T82,Jason Bohn,95,36.36,4.0,11
82,T82,T82,Jim Herman,88,36.36,4.0,11
