,Scrambling_from__30_yards_RANK THIS WEEK,Scrambling_from__30_yards_RANK LAST WEEK,Scrambling_from__30_yards_PLAYER NAME,Scrambling_from__30_yards_ROUNDS,Scrambling_from__30_yards_%,Scrambling_from__30_yards_SUCCESSES,Scrambling_from__30_yards_ATTEMPTS
0,1,1,Henrik Stenson,63,48.48,16,33
1,2,2,Daniel Summerhays,101,42.86,33,77
2,3,3,Jerry Kelly,79,42.31,22,52
3,4,4,Kevin Na,98,40.74,33,81
4,5,5,Steven Bowditch,103,40.54,45,111
5,6,6,Camilo Villegas,83,40.0,36,90
6,7,7,Zac Blair,108,39.18,38,97
7,8,8,Brooks Koepka,84,38.89,28,72
8,9,9,David Hearn,97,38.83,40,103
9,10,10,Jordan Spieth,91,38.81,26,67
10,11,11,Oscar Fraustro,58,38.46,15,39
11,12,12,Blayne Barber,76,38.1,24,63
12,13,13,Brendon Todd,96,37.97,30,79
13,14,14,John Huh,102,37.89,36,95
14,15,15,Jimmy Walker,89,37.04,30,81
15,16,16,Bubba Watson,71,36.92,24,65
16,17,17,Scott Pinckney,88,36.84,35,95
17,18,18,Morgan Hoffmann,85,36.46,35,96
18,T19,T19,Tom Hoge,83,35.71,25,70
19,T19,T19,Sung Joon Park,79,35.71,25,70
20,21,21,Luke Donald,71,35.53,27,76
21,22,22,Hunter Mahan,88,35.29,30,85
22,23,23,Francesco Molinari,56,35.14,13,37
23,24,24,Mark Wilson,89,34.88,30,86
24,25,25,Jason Dufner,76,34.78,16,46
25,26,26,Justin Leonard,61,34.72,25,72
26,T27,T27,Jonathan Byrd,69,34.69,17,49
27,T27,T27,John Senden,80,34.69,17,49
28,29,29,K.J. Choi,66,34.67,26,75
29,30,30,Jim Furyk,71,34.62,18,52
30,T31,T31,Chad Collins,79,34.33,23,67
31,T31,T31,Zach Johnson,90,34.33,23,67
32,T31,T31,William McGirt,103,34.33,23,67
33,T31,T31,D.A. Points,72,34.33,23,67
34,35,35,Ken Duke,93,34.21,26,76
35,36,36,Matt Every,73,33.98,35,103
36,37,37,Brian Davis,86,33.8,24,71
37,38,38,Jonas Blixt,78,33.78,25,74
38,39,39,Jhonattan Vegas,90,33.73,28,83
39,T40,T40,Ben Crane,62,33.33,23,69
40,T40,T40,Jason Day,75,33.33,17,51
41,T40,T40,Ian Poulter,68,33.33,17,51
42,T40,T40,Webb Simpson,81,33.33,20,60
43,T40,T40,Vijay Singh,78,33.33,18,54
44,45,45,Kevin Kisner,104,32.98,31,94
45,46,46,Chad Campbell,97,32.94,28,85
46,47,47,Tim Wilkinson,73,32.81,21,64
47,48,48,Sangmoon Bae,98,32.71,35,107
48,49,49,Heath Slocum,57,32.56,14,43
49,50,50,Patrick Reed,103,32.29,31,96
50,51,51,Seung-Yul Noh,65,32.18,28,87
51,52,52,Charley Hoffman,97,32.05,25,78
52,53,53,Aaron Baddeley,76,31.96,31,97
53,54,54,Justin Rose,69,31.91,15,47
54,55,55,Brian Harman,90,31.87,29,91
55,56,56,Charles Howell III,105,31.86,36,113
56,57,57,Daniel Berger,97,31.82,28,88
57,58,58,Michael Putnam,87,31.67,19,60
58,59,59,Brendon de Jonge,106,31.33,26,83
59,T60,T60,Russell Henley,87,31.25,25,80
60,T60,T60,Martin Laird,77,31.25,30,96
61,T60,T60,Ryan Moore,81,31.25,20,64
62,63,63,John Peterson,84,31.15,19,61
63,64,64,Jonathan Randolph,72,31.03,18,58
64,65,65,Scott Piercy,90,30.85,29,94
65,66,66,Davis Love III,51,30.77,12,39
66,T67,T67,David Lingmerth,90,30.65,19,62
67,T67,T67,Boo Weekley,79,30.65,19,62
68,69,69,Cameron Tringale,96,30.61,30,98
69,70,70,Pat Perez,96,30.56,22,72
70,71,71,Kyle Reifers,96,30.53,29,95
71,T72,T72,Paul Casey,87,30.43,21,69
72,T72,T72,Greg Chalmers,58,30.43,14,46
73,T72,T72,Fabián Gómez,83,30.43,28,92
74,75,75,Derek Ernst,75,30.19,16,53
75,76,76,Matt Jones,89,30.16,19,63
76,77,77,Troy Merritt,91,30.0,30,100
77,78,78,Bill Haas,89,29.85,20,67
78,79,79,Matt Kuchar,97,29.55,26,88
79,80,80,Harris English,105,29.52,31,105
80,81,81,Jason Kokrak,88,29.49,23,78
81,T82,T82,Ángel Cabrera,53,29.41,15,51
82,T82,T82,Patrick Rodgers,57,29.41,15,51
83,84,84,Martin Flores,95,29.33,22,75
84,85,85,David Toms,62,29.17,14,48
85,86,86,Mark Hubbard,79,29.09,16,55
86,T87,T87,Gonzalo Fernandez-Castaño,81,28.99,20,69
87,T87,T87,Jim Herman,88,28.99,20,69
88,89,89,Sergio Garcia,59,28.95,11,38
89,90,90,Danny Lee,120,28.85,30,104
90,91,91,Marc Leishman,74,28.79,19,66
91,92,92,Jason Bohn,95,28.77,21,73
92,93,93,Brandt Snedeker,98,28.74,25,87
93,94,94,Stewart Cink,77,28.57,20,70
94,95,95,Keegan Bradley,87,28.38,21,74
95,96,96,Ryan Palmer,80,28.36,19,67
96,97,97,Willy Wilcox,58,28.13,9,32
97,98,98,Brian Stuard,97,28.0,21,75
98,T99,T99,Scott Brown,97,27.78,20,72
99,T99,T99,Adam Scott,51,27.78,10,36
100,101,101,Chesson Hadley,101,27.73,33,119
101,102,102,Carlos Ortiz,100,27.72,28,101
102,103,103,J.B. Holmes,89,27.55,27,98
103,T104,T104,James Hahn,94,27.5,22,80
104,T104,T104,Russell Knox,96,27.5,22,80
105,106,106,Scott Stallings,60,27.27,21,77
106,107,107,Sean O'Hair,86,27.16,22,81
107,T108,T108,Colt Knost,90,27.14,19,70
108,T108,T108,Kevin Streelman,95,27.14,19,70
109,110,110,Carl Pettersson,106,27.12,32,118
110,111,111,Adam Hadwin,95,27.1,29,107
111,112,112,Chris Stroud,84,27.06,23,85
112,113,113,George McNeill,93,27.03,20,74
113,114,114,Justin Thomas,106,26.92,28,104
114,115,115,Nicholas Thompson,90,26.87,18,67
115,116,116,Ricky Barnes,82,26.74,23,86
116,117,117,Steve Wheatcroft,87,26.67,20,75
117,118,118,Luke Guthrie,84,26.51,22,83
118,119,119,Ryo Ishikawa,90,26.47,27,102
119,120,120,John Merrick,78,26.42,14,53
120,T121,T121,Bryce Molder,91,26.32,20,76
121,T121,T121,Hudson Swafford,97,26.32,20,76
122,123,123,Phil Mickelson,70,26.23,16,61
123,T124,T124,Rickie Fowler,76,26.15,17,65
124,T124,T124,Chris Kirk,76,26.15,17,65
125,126,126,Louis Oosthuizen,68,26.0,13,50
126,127,127,Alex Cejka,94,25.84,23,89
127,T128,T128,J.J. Henry,94,25.81,24,93
128,T128,T128,Michael Thompson,83,25.81,24,93
129,T128,T128,Bo Van Pelt,81,25.81,24,93
130,131,131,Rory Sabbatini,81,25.71,18,70
131,132,132,Billy Horschel,99,25.61,21,82
132,133,133,Billy Hurley III,83,25.42,15,59
133,134,134,Johnson Wagner,68,25.0,14,56
134,135,135,Kevin Chappell,86,24.69,20,81
135,136,136,Tyrone Van Aswegen,58,24.59,15,61
136,137,137,Nick Taylor,91,24.47,23,94
137,138,138,Geoff Ogilvy,50,24.39,10,41
138,139,139,Chez Reavie,56,24.32,9,37
139,T140,T140,Jamie Donaldson,50,24.24,8,33
140,T140,T140,Jim Renner,68,24.24,16,66
141,T140,T140,Charl Schwartzel,67,24.24,8,33
142,143,143,Brice Garnett,81,24.1,20,83
143,144,144,Jon Curran,83,23.88,16,67
144,145,145,Spencer Levin,99,23.81,15,63
145,146,146,Robert Streb,110,23.76,24,101
146,147,147,Ernie Els,57,23.73,14,59
147,148,148,Andres Gonzales,90,23.68,27,114
148,149,149,Ben Martin,93,23.61,17,72
149,150,150,Jeff Overton,94,23.53,20,85
150,151,151,Shawn Stefani,94,23.4,22,94
151,152,152,Andrew Svoboda,80,23.23,23,99
152,153,153,Andrew Putnam,68,23.16,22,95
153,154,154,Max Homa,78,23.08,15,65
154,155,155,Tony Finau,106,23.01,26,113
155,156,156,Alex Prugh,84,22.97,17,74
156,157,157,Scott Langley,94,22.78,18,79
157,158,158,Sam Saunders,83,22.45,11,49
158,159,159,Cameron Percy,72,22.39,15,67
159,160,160,Derek Fathauer,81,22.09,19,86
160,161,161,Brendan Steele,88,22.08,17,77
161,162,162,Roberto Castro,54,21.88,7,32
162,163,163,Erik Compton,86,21.79,17,78
163,164,164,Gary Woodland,81,21.67,13,60
164,165,165,Jason Gore,76,21.15,11,52
165,166,166,Robert Allenby,63,21.05,12,57
166,167,167,Lee Westwood,56,20.83,10,48
167,168,168,Nick Watney,91,20.69,18,87
168,169,169,Lucas Glover,79,20.63,13,63
169,170,170,Greg Owen,58,20.0,8,40
170,171,171,Andres Romero,69,19.74,15,76
171,172,172,Hideki Matsuyama,95,18.97,11,58
172,173,173,Padraig Harrington,60,18.84,13,69
173,174,174,Byron Smith,59,18.42,7,38
174,175,175,Robert Garrigus,70,18.18,12,66
175,176,176,Graham DeLaet,65,17.74,11,62
176,177,177,Bill Lunde,50,17.65,6,34
177,178,178,Dustin Johnson,75,17.07,7,41
178,T179,T179,Eric Axley,57,16.67,10,60
179,T179,T179,Roger Sloan,56,16.67,10,60
180,181,181,Retief Goosen,81,15.19,12,79
181,182,182,Whee Kim,71,15.15,10,66
182,183,183,Charlie Beljan,76,14.29,8,56
183,184,184,Steven Alker,62,13.89,5,36
