,Proximity_to_Hole_from_Rough_RANK THIS WEEK,Proximity_to_Hole_from_Rough_RANK LAST WEEK,Proximity_to_Hole_from_Rough_PLAYER NAME,Proximity_to_Hole_from_Rough_ROUNDS,Proximity_to_Hole_from_Rough_AVG DTP,Proximity_to_Hole_from_Rough_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Rough_# OF SHOTS,Proximity_to_Hole_from_Rough_SCRAMBLING RANK
0,1,1,Francesco Molinari,56,"6' 3""",596.25,95,111
1,2,2,Jordan Spieth,91,"6' 5""",1258.917,195,4
2,3,3,Justin Leonard,61,"6' 7""",765.0,116,34
3,T4,T4,Jerry Kelly,79,"6' 8""",1095.083,165,7
4,T4,T4,Heath Slocum,57,"6' 8""",609.75,92,138
5,6,6,Jim Furyk,71,"6' 9""",794.6669999999999,118,18
6,T7,T7,Sergio Garcia,59,"6' 10""",734.9169999999999,107,109
7,T7,T7,Scott Langley,94,"6' 10""",1399.25,204,93
8,T7,T7,Webb Simpson,81,"6' 10""",1072.0,157,9
9,T7,T7,Tim Wilkinson,73,"6' 10""",1159.75,169,111
10,T11,T11,Jason Dufner,76,"6' 11""",645.5,93,162
11,T11,T11,Kevin Kisner,104,"6' 11""",1802.0829999999999,259,21
12,T11,T11,John Merrick,78,"6' 11""",887.25,128,134
13,T11,T11,Patrick Rodgers,57,"6' 11""",880.6669999999999,127,145
14,T11,T11,Brandt Snedeker,98,"6' 11""",1383.75,201,15
15,T11,T11,Justin Thomas,106,"6' 11""",1544.25,224,37
16,T11,T11,Brendon Todd,96,"6' 11""",1357.0829999999999,196,22
17,T18,T18,Chad Collins,79,"7' 0""",898.6669999999999,129,1
18,T18,T18,Kevin Na,98,"7' 0""",1371.0,197,19
19,T18,T18,Byron Smith,59,"7' 0""",665.5830000000001,95,172
20,T18,T18,Boo Weekley,79,"7' 0""",1140.75,163,73
21,22,22,Jason Bohn,95,"7' 1""",1376.25,194,51
22,T23,T23,Zac Blair,108,"7' 2""",1678.1670000000001,234,6
23,T23,T23,Kevin Chappell,86,"7' 2""",1466.0829999999999,204,87
24,T23,T23,Erik Compton,86,"7' 2""",1473.6670000000001,205,61
25,T26,T26,Ernie Els,57,"7' 3""",753.1669999999999,104,144
26,T26,T26,Rickie Fowler,76,"7' 3""",1093.667,151,47
27,T26,T26,Luke Guthrie,84,"7' 3""",1250.0,173,127
28,T26,T26,Hideki Matsuyama,95,"7' 3""",1362.6670000000001,189,30
29,T26,T26,Patrick Reed,103,"7' 3""",1631.9170000000001,224,28
30,T26,T26,Camilo Villegas,83,"7' 3""",1411.0,195,96
31,T32,T32,Zach Johnson,90,"7' 4""",1278.833,174,49
32,T32,T32,Cameron Tringale,96,"7' 4""",1519.0,207,27
33,T34,T34,Steven Alker,62,"7' 5""",849.6669999999999,114,39
34,T34,T34,Ben Crane,62,"7' 5""",966.75,130,29
35,T34,T34,Whee Kim,71,"7' 5""",793.0,107,123
36,T34,T34,Ian Poulter,68,"7' 5""",985.75,133,54
37,T34,T34,Jim Renner,68,"7' 5""",960.25,130,165
38,T34,T34,Rory Sabbatini,81,"7' 5""",1170.667,158,17
39,T34,T34,Adam Scott,51,"7' 5""",685.0,92,173
40,T41,T41,Aaron Baddeley,76,"7' 6""",1419.0,190,48
41,T41,T41,Greg Chalmers,58,"7' 6""",835.6669999999999,111,132
42,T41,T41,Tony Finau,106,"7' 6""",1784.25,238,149
43,T41,T41,Morgan Hoffmann,85,"7' 6""",1575.75,211,92
44,T41,T41,Billy Hurley III,83,"7' 6""",1246.583,166,10
45,T41,T41,Chris Kirk,76,"7' 6""",1066.417,142,64
46,T41,T41,Phil Mickelson,70,"7' 6""",1370.6670000000001,183,84
47,T41,T41,Seung-Yul Noh,65,"7' 6""",1066.917,142,166
48,T41,T41,Mark Wilson,89,"7' 6""",1409.8329999999999,187,63
49,T50,T50,Alex Cejka,94,"7' 7""",1653.1670000000001,219,62
50,T50,T50,Gonzalo Fernandez-Castaño,81,"7' 7""",1277.5,168,120
51,T50,T50,Padraig Harrington,60,"7' 7""",909.0830000000001,120,137
52,T50,T50,David Hearn,97,"7' 7""",1459.5829999999999,193,131
53,T50,T50,J.B. Holmes,89,"7' 7""",1455.9170000000001,192,85
54,T50,T50,Bryce Molder,91,"7' 7""",1351.5,179,20
55,T50,T50,Chez Reavie,56,"7' 7""",819.4169999999999,108,152
56,T50,T50,Justin Rose,69,"7' 7""",841.5830000000001,111,94
57,T58,T58,Steven Bowditch,103,"7' 8""",1859.4170000000001,242,3
58,T58,T58,Jason Kokrak,88,"7' 8""",1380.8329999999999,181,114
59,T58,T58,Matt Kuchar,97,"7' 8""",1756.5,229,13
60,T58,T58,Charl Schwartzel,67,"7' 8""",1001.8330000000001,131,168
61,T62,T62,Scott Brown,97,"7' 9""",1513.9170000000001,195,55
62,T62,T62,Jonathan Byrd,69,"7' 9""",801.0830000000001,103,5
63,T62,T62,Retief Goosen,81,"7' 9""",1456.4170000000001,188,85
64,T62,T62,David Lingmerth,90,"7' 9""",1432.9170000000001,185,42
65,T62,T62,George McNeill,93,"7' 9""",1503.5,194,44
66,T62,T62,Louis Oosthuizen,68,"7' 9""",1013.0,131,41
67,T68,T68,Luke Donald,71,"7' 10""",1083.167,138,46
68,T68,T68,Ryan Moore,81,"7' 10""",1231.167,158,65
69,T68,T68,Pat Perez,96,"7' 10""",1619.6670000000001,207,69
70,T68,T68,Nick Watney,91,"7' 10""",1563.25,199,103
71,T72,T72,Jonas Blixt,78,"7' 11""",1008.5,127,107
72,T72,T72,Brian Davis,86,"7' 11""",1337.75,169,56
73,T72,T72,Ken Duke,93,"7' 11""",1454.6670000000001,184,102
74,T72,T72,Fabián Gómez,83,"7' 11""",1323.75,168,101
75,T72,T72,Ryo Ishikawa,90,"7' 11""",1511.1670000000001,190,159
76,T72,T72,Ryan Palmer,80,"7' 11""",1059.5,134,60
77,T72,T72,Brian Stuard,97,"7' 11""",1638.9170000000001,207,66
78,T72,T72,Nick Taylor,91,"7' 11""",1757.9170000000001,221,113
79,T80,T80,Ricky Barnes,82,"8' 0""",1402.5829999999999,176,69
80,T80,T80,K.J. Choi,66,"8' 0""",1119.0,140,16
81,T80,T80,Danny Lee,120,"8' 0""",2228.667,279,52
82,T80,T80,D.A. Points,72,"8' 0""",1162.833,146,75
83,T80,T80,Sam Saunders,83,"8' 0""",1330.8329999999999,166,121
84,T80,T80,Chris Stroud,84,"8' 0""",1240.583,155,71
85,T80,T80,David Toms,62,"8' 0""",819.75,102,12
86,T80,T80,Tyrone Van Aswegen,58,"8' 0""",733.5830000000001,92,116
87,T88,T88,Derek Ernst,75,"8' 1""",1364.4170000000001,168,135
88,T88,T88,Matt Every,73,"8' 1""",1459.5,181,153
89,T88,T88,Robert Garrigus,70,"8' 1""",1442.9170000000001,179,176
90,T88,T88,Marc Leishman,74,"8' 1""",1280.417,159,141
91,T88,T88,Jeff Overton,94,"8' 1""",1588.8329999999999,197,98
92,T88,T88,Greg Owen,58,"8' 1""",747.25,92,74
93,T88,T88,Bo Van Pelt,81,"8' 1""",1087.833,134,154
94,T95,T95,Jon Curran,83,"8' 2""",1147.917,140,35
95,T95,T95,James Hahn,94,"8' 2""",1861.5829999999999,229,108
96,T95,T95,Scott Piercy,90,"8' 2""",1821.1670000000001,224,105
97,T95,T95,Vijay Singh,78,"8' 2""",1493.25,182,50
98,T95,T95,Roger Sloan,56,"8' 2""",926.0830000000001,113,175
99,T95,T95,Robert Streb,110,"8' 2""",1932.6670000000001,236,79
100,T101,T101,Roberto Castro,54,"8' 3""",670.4169999999999,81,169
101,T101,T101,Harris English,105,"8' 3""",2022.5,245,36
102,T101,T101,Derek Fathauer,81,"8' 3""",1664.5,202,129
103,T101,T101,Andres Gonzales,90,"8' 3""",1780.8329999999999,215,157
104,T101,T101,Matt Jones,89,"8' 3""",1528.25,185,42
105,T101,T101,Russell Knox,96,"8' 3""",1522.3329999999999,185,71
106,T101,T101,Carl Pettersson,106,"8' 3""",2147.417,259,26
107,T101,T101,Henrik Stenson,63,"8' 3""",892.75,108,25
108,T101,T101,Jimmy Walker,89,"8' 3""",1596.5,193,124
109,T110,T110,Jamie Donaldson,50,"8' 4""",765.5,92,81
110,T110,T110,Bill Haas,89,"8' 4""",1238.75,149,31
111,T110,T110,Sung Joon Park,79,"8' 4""",1302.583,156,8
112,T110,T110,Andrew Putnam,68,"8' 4""",1161.75,140,139
113,T110,T110,Jonathan Randolph,72,"8' 4""",1225.333,147,53
114,T110,T110,Kyle Reifers,96,"8' 4""",1403.0829999999999,168,40
