,Scrambling_RANK THIS WEEK,Scrambling_RANK LAST WEEK,Scrambling_PLAYER NAME,Scrambling_ROUNDS,Scrambling_%,Scrambling_PAR OR BETTER,Scrambling_MISSED GIR
0,1,1,Chad Collins,79,66.18,319,482
1,2,2,Jason Day,75,65.34,247,378
2,3,3,Steven Bowditch,103,65.19,442,678
3,4,4,Jordan Spieth,91,65.03,331,509
4,5,5,Jonathan Byrd,69,64.92,248,382
5,6,6,Zac Blair,108,64.81,418,645
6,7,7,Jerry Kelly,79,64.46,312,484
7,8,8,Sung Joon Park,79,64.42,315,489
8,9,9,Webb Simpson,81,64.38,291,452
9,10,10,Billy Hurley III,83,64.17,317,494
10,11,11,William McGirt,103,64.09,382,596
11,12,12,David Toms,62,63.96,236,369
12,13,13,Matt Kuchar,97,63.78,361,566
13,14,14,John Peterson,84,63.47,304,479
14,15,15,Brandt Snedeker,98,63.27,379,599
15,16,16,K.J. Choi,66,63.12,255,404
16,17,17,Rory Sabbatini,81,63.11,296,469
17,18,18,Jim Furyk,71,62.93,219,348
18,19,19,Kevin Na,98,62.87,381,606
19,20,20,Bryce Molder,91,62.85,340,541
20,21,21,Kevin Kisner,104,62.66,396,632
21,22,22,Brendon Todd,96,62.63,362,578
22,23,23,John Huh,102,62.6,400,639
23,24,24,Willy Wilcox,58,62.55,167,267
24,25,25,Henrik Stenson,63,62.24,178,286
25,26,26,Carl Pettersson,106,62.18,439,706
26,27,27,Cameron Tringale,96,62.09,380,612
27,28,28,Patrick Reed,103,61.99,393,634
28,29,29,Ben Crane,62,61.98,238,384
29,30,30,Hideki Matsuyama,95,61.92,309,499
30,31,31,Bill Haas,89,61.9,299,483
31,32,32,Bubba Watson,71,61.89,229,370
32,33,33,Troy Merritt,91,61.83,371,600
33,34,34,Justin Leonard,61,61.8,254,411
34,35,35,Jon Curran,83,61.72,295,478
35,36,36,Harris English,105,61.65,373,605
36,37,37,Justin Thomas,106,61.55,365,593
37,38,38,Mark Hubbard,79,61.52,283,460
38,39,39,Steven Alker,62,61.5,222,361
39,40,40,Kyle Reifers,96,61.36,335,546
40,41,41,Louis Oosthuizen,68,61.3,217,354
41,T42,T42,Matt Jones,89,61.27,337,550
42,T42,T42,David Lingmerth,90,61.27,348,568
43,44,44,George McNeill,93,61.21,344,562
44,45,45,Sangmoon Bae,98,61.16,400,654
45,46,46,Luke Donald,71,61.14,269,440
46,47,47,Rickie Fowler,76,61.1,267,437
47,48,48,Aaron Baddeley,76,61.0,305,500
48,49,49,Zach Johnson,90,60.98,300,492
49,50,50,Vijay Singh,78,60.97,289,474
50,51,51,Jason Bohn,95,60.9,324,532
51,52,52,Danny Lee,120,60.86,451,741
52,53,53,Jonathan Randolph,72,60.8,273,449
53,54,54,Ian Poulter,68,60.76,240,395
54,55,55,Scott Brown,97,60.69,369,608
55,T56,T56,Eric Axley,57,60.68,233,384
56,T56,T56,Brian Davis,86,60.68,338,557
57,T56,T56,Steve Wheatcroft,87,60.68,321,529
58,59,59,Daniel Berger,97,60.66,330,544
59,60,60,Ryan Palmer,80,60.57,275,454
60,61,61,Erik Compton,86,60.53,345,570
61,62,62,Alex Cejka,94,60.39,343,568
62,63,63,Mark Wilson,89,60.37,297,492
63,64,64,Chris Kirk,76,60.3,281,466
64,65,65,Ryan Moore,81,60.25,294,488
65,66,66,Brian Stuard,97,60.23,371,616
66,67,67,Martin Laird,77,60.17,281,467
67,68,68,Brendan Steele,88,60.08,286,476
68,T69,T69,Ricky Barnes,82,60.0,333,555
69,T69,T69,Pat Perez,96,60.0,333,555
70,T71,T71,Russell Knox,96,59.92,302,504
71,T71,T71,Chris Stroud,84,59.92,311,519
72,73,73,Boo Weekley,79,59.91,275,459
