,Proximity_to_Hole_from_Fringe_RANK THIS WEEK,Proximity_to_Hole_from_Fringe_RANK LAST WEEK,Proximity_to_Hole_from_Fringe_PLAYER NAME,Proximity_to_Hole_from_Fringe_ROUNDS,Proximity_to_Hole_from_Fringe_AVG DTP,Proximity_to_Hole_from_Fringe_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Fringe_# OF SHOTS,Proximity_to_Hole_from_Fringe_SCRAMBLING RANK
0,1,1,Jordan Spieth,91,"1' 8""",108.833,66,4
1,2,2,Adam Scott,51,"2' 0""",55.75,28,173
2,T3,T3,Robert Allenby,63,"2' 3""",123.75,56,180
3,T3,T3,Bill Haas,89,"2' 3""",163.667,72,31
4,T3,T3,Davis Love III,51,"2' 3""",116.5,51,136
5,T6,T6,Jim Furyk,71,"2' 4""",115.667,49,18
6,T6,T6,Russell Henley,87,"2' 4""",168.083,71,130
7,T8,T8,Blayne Barber,76,"2' 5""",199.25,83,80
8,T8,T8,Ricky Barnes,82,"2' 5""",152.75,63,69
9,T8,T8,Luke Guthrie,84,"2' 5""",173.917,73,127
10,T8,T8,Phil Mickelson,70,"2' 5""",113.583,47,84
11,T8,T8,Cameron Tringale,96,"2' 5""",185.5,76,27
12,T13,T13,Jason Bohn,95,"2' 6""",217.167,87,51
13,T13,T13,Paul Casey,87,"2' 6""",123.667,50,150
14,T13,T13,Mark Hubbard,79,"2' 6""",132.75,54,38
15,T13,T13,Kevin Na,98,"2' 6""",149.333,59,19
16,T13,T13,Louis Oosthuizen,68,"2' 6""",111.417,45,41
17,T13,T13,John Peterson,84,"2' 6""",222.917,88,14
18,T19,T19,Roberto Castro,54,"2' 7""",97.0,37,169
19,T19,T19,Greg Chalmers,58,"2' 7""",97.333,38,132
20,T19,T19,Tom Hoge,83,"2' 7""",158.75,61,106
21,T19,T19,Whee Kim,71,"2' 7""",132.75,51,123
22,T19,T19,Brooks Koepka,84,"2' 7""",130.417,50,143
23,T19,T19,Carlos Ortiz,100,"2' 7""",201.083,77,158
24,T19,T19,Ryan Palmer,80,"2' 7""",150.667,58,60
25,T19,T19,Charl Schwartzel,67,"2' 7""",132.417,51,168
26,T19,T19,Vijay Singh,78,"2' 7""",209.417,80,50
27,T19,T19,Chris Stroud,84,"2' 7""",215.0,83,71
28,T19,T19,Camilo Villegas,83,"2' 7""",186.167,73,96
29,T30,T30,Charlie Beljan,76,"2' 8""",138.5,52,184
30,T30,T30,Scott Brown,97,"2' 8""",289.75,107,55
31,T30,T30,Ben Crane,62,"2' 8""",95.833,36,29
32,T30,T30,Brian Davis,86,"2' 8""",197.083,74,56
33,T30,T30,Brendon de Jonge,106,"2' 8""",267.83299999999997,100,91
34,T30,T30,Graham DeLaet,65,"2' 8""",124.5,46,133
35,T30,T30,Padraig Harrington,60,"2' 8""",167.5,63,137
36,T30,T30,Billy Horschel,99,"2' 8""",202.833,75,126
