,Proximity_to_Hole_from_Other_Locations_RANK THIS WEEK,Proximity_to_Hole_from_Other_Locations_RANK LAST WEEK,Proximity_to_Hole_from_Other_Locations_PLAYER NAME,Proximity_to_Hole_from_Other_Locations_ROUNDS,Proximity_to_Hole_from_Other_Locations_AVG DTP,Proximity_to_Hole_from_Other_Locations_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Other_Locations_# OF SHOTS,Proximity_to_Hole_from_Other_Locations_SCRAMBLING RANK
0,T1,T1,Jordan Spieth,91,"5' 5""",7.64,118,4
1,T1,T1,Tim Wilkinson,73,"5' 5""",7.506,116,111
2,T3,T3,Jim Furyk,71,"5' 6""",5.033,76,18
3,T3,T3,Ian Poulter,68,"5' 6""",6.0889999999999995,92,54
4,5,5,Keegan Bradley,87,"5' 7""",9.472000000000001,141,115
5,6,6,J.J. Henry,94,"5' 8""",8.849,131,170
6,T7,T7,Jason Dufner,76,"5' 9""",6.945,100,162
7,T7,T7,Chris Kirk,76,"5' 9""",7.126,104,64
8,T7,T7,John Merrick,78,"5' 9""",9.439,136,134
9,T7,T7,Kevin Na,98,"5' 9""",10.902999999999999,157,19
10,T7,T7,Andrew Putnam,68,"5' 9""",7.9639999999999995,116,139
11,T7,T7,Webb Simpson,81,"5' 9""",7.745,112,9
12,T13,T13,Steven Alker,62,"5' 10""",7.419,106,39
13,T13,T13,Jon Curran,83,"5' 10""",8.306000000000001,119,35
14,T15,T15,Derek Ernst,75,"5' 11""",9.19,129,135
15,T15,T15,Brian Harman,90,"5' 11""",11.649000000000001,163,77
16,T15,T15,Mark Hubbard,79,"5' 11""",9.381,132,38
17,T15,T15,Greg Owen,58,"5' 11""",5.3660000000000005,76,74
18,T19,T19,Chad Collins,79,"6' 0""",10.685,149,1
19,T19,T19,Jason Day,75,"6' 0""",7.428999999999999,103,2
20,T19,T19,Justin Leonard,61,"6' 0""",9.55,132,34
21,T19,T19,Scott Stallings,60,"6' 0""",6.655,93,171
22,T19,T19,Cameron Tringale,96,"6' 0""",12.415999999999999,173,27
23,T24,T24,Chad Campbell,97,"6' 1""",12.323,169,88
24,T24,T24,Russell Knox,96,"6' 1""",10.45,143,71
25,T24,T24,William McGirt,103,"6' 1""",13.297,181,11
26,T24,T24,Ryan Moore,81,"6' 1""",8.861,122,65
27,28,28,Steven Bowditch,103,"6' 2""",13.915,187,3
28,T29,T29,Robert Allenby,63,"6' 3""",7.087000000000001,94,180
29,T29,T29,Jonas Blixt,78,"6' 3""",7.504,100,107
30,T29,T29,Graham DeLaet,65,"6' 3""",8.135,109,133
31,T29,T29,Morgan Hoffmann,85,"6' 3""",12.175,162,92
32,T29,T29,Matt Jones,89,"6' 3""",11.267999999999999,151,42
33,T29,T29,Patrick Reed,103,"6' 3""",13.014000000000001,174,28
34,T29,T29,Brendon Todd,96,"6' 3""",10.834000000000001,144,22
35,T36,T36,Kevin Chappell,86,"6' 4""",10.583,140,87
36,T36,T36,K.J. Choi,66,"6' 4""",8.488,111,16
37,T36,T36,Troy Merritt,91,"6' 4""",11.431,151,33
38,T36,T36,Phil Mickelson,70,"6' 4""",8.641,114,84
39,T36,T36,Sung Joon Park,79,"6' 4""",9.786,129,8
40,T36,T36,Justin Thomas,106,"6' 4""",15.379000000000001,202,37
41,T36,T36,Tyrone Van Aswegen,58,"6' 4""",6.481,85,116
42,T43,T43,Scott Brown,97,"6' 5""",14.702,192,55
43,T43,T43,Jonathan Byrd,69,"6' 5""",8.958,116,5
44,T43,T43,Roberto Castro,54,"6' 5""",5.106,66,169
45,T43,T43,Erik Compton,86,"6' 5""",10.306,133,61
46,T43,T43,Charley Hoffman,97,"6' 5""",11.228,145,100
47,T43,T43,Billy Hurley III,83,"6' 5""",8.579,112,10
48,T43,T43,Marc Leishman,74,"6' 5""",8.532,111,141
49,T43,T43,Hideki Matsuyama,95,"6' 5""",9.369,122,30
50,T43,T43,Ryan Palmer,80,"6' 5""",6.9639999999999995,91,60
51,T43,T43,Pat Perez,96,"6' 5""",11.58,150,69
52,T43,T43,Brandt Snedeker,98,"6' 5""",10.482000000000001,137,15
53,T43,T43,David Toms,62,"6' 5""",8.586,111,12
54,T43,T43,Camilo Villegas,83,"6' 5""",10.825,140,96
55,T43,T43,Bubba Watson,71,"6' 5""",9.222000000000001,119,32
56,T57,T57,Ricky Barnes,82,"6' 6""",11.532,147,69
57,T57,T57,Daniel Berger,97,"6' 6""",13.573,175,59
58,T57,T57,Luke Donald,71,"6' 6""",6.98,89,46
59,T57,T57,Matt Kuchar,97,"6' 6""",11.12,143,13
60,T57,T57,Martin Laird,77,"6' 6""",12.270999999999999,157,67
61,T57,T57,Patrick Rodgers,57,"6' 6""",6.409,82,145
62,T57,T57,Chris Stroud,84,"6' 6""",9.934,127,71
63,T57,T57,Bo Van Pelt,81,"6' 6""",9.743,125,154
64,T65,T65,Harris English,105,"6' 7""",11.970999999999998,151,36
65,T65,T65,J.B. Holmes,89,"6' 7""",11.118,141,85
66,T65,T65,Max Homa,78,"6' 7""",11.738,149,90
67,T65,T65,Jerry Kelly,79,"6' 7""",10.745,136,7
68,T65,T65,Davis Love III,51,"6' 7""",6.702999999999999,85,136
69,T65,T65,Jhonattan Vegas,90,"6' 7""",13.626,173,89
70,T71,T71,Jason Bohn,95,"6' 8""",11.485,144,51
71,T71,T71,Paul Casey,87,"6' 8""",7.319,92,150
72,T71,T71,Jamie Donaldson,50,"6' 8""",5.216,65,81
73,T71,T71,Kevin Kisner,104,"6' 8""",14.568,182,21
74,T71,T71,Scott Langley,94,"6' 8""",11.415,143,93
