,Scrambling_Average_Distance_to_Hole_RANK THIS WEEK,Scrambling_Average_Distance_to_Hole_RANK LAST WEEK,Scrambling_Average_Distance_to_Hole_PLAYER NAME,Scrambling_Average_Distance_to_Hole_ROUNDS,Scrambling_Average_Distance_to_Hole_AVG DTP,Scrambling_Average_Distance_to_Hole_TOTAL DISTANCE (FEET),Scrambling_Average_Distance_to_Hole_ATTEMPTS
0,1,1,Webb Simpson,81,"6' 6""",2193.75,336
1,2,2,Keegan Bradley,87,"6' 11""",2316.083,333
2,3,3,Jonathan Byrd,69,"7' 0""",1836.9170000000001,263
3,T4,T4,Steven Bowditch,103,"7' 1""",3535.5,497
4,T4,T4,Kevin Na,98,"7' 1""",3041.0,429
5,T4,T4,Justin Rose,69,"7' 1""",1586.5829999999999,223
6,T4,T4,Mark Wilson,89,"7' 1""",2868.167,404
7,8,8,Jordan Spieth,91,"7' 2""",2571.75,360
8,9,9,Scott Langley,94,"7' 3""",3159.167,435
9,T10,T10,Luke Donald,71,"7' 4""",2151.083,292
10,T10,T10,Jerry Kelly,79,"7' 4""",2735.75,372
11,T10,T10,Chris Stroud,84,"7' 4""",2634.917,361
12,T10,T10,David Toms,62,"7' 4""",2377.5,326
13,T10,T10,Cameron Tringale,96,"7' 4""",3369.833,459
14,T15,T15,Jon Curran,83,"7' 5""",2612.083,352
15,T15,T15,Jim Furyk,71,"7' 5""",1814.8329999999999,245
16,T15,T15,Ryo Ishikawa,90,"7' 5""",2734.667,370
17,T15,T15,Jim Renner,68,"7' 5""",2268.0,307
18,T15,T15,Henrik Stenson,63,"7' 5""",1519.9170000000001,204
19,T20,T20,Steven Alker,62,"7' 6""",2042.25,273
20,T20,T20,Billy Hurley III,83,"7' 6""",2716.5,363
21,T20,T20,Greg Owen,58,"7' 6""",1474.4170000000001,196
22,T23,T23,Brandt Snedeker,98,"7' 7""",3262.417,428
23,T23,T23,Tyrone Van Aswegen,58,"7' 7""",1541.75,203
24,T25,T25,Roberto Castro,54,"7' 8""",1455.9170000000001,189
25,T25,T25,K.J. Choi,66,"7' 8""",2540.417,333
26,T25,T25,Padraig Harrington,60,"7' 8""",2291.167,300
27,T25,T25,J.B. Holmes,89,"7' 8""",2776.5,361
28,T25,T25,Russell Knox,96,"7' 8""",3026.833,395
29,T25,T25,Tim Wilkinson,73,"7' 8""",2690.667,350
30,T31,T31,Alex Cejka,94,"7' 9""",3390.75,436
31,T31,T31,Chad Collins,79,"7' 9""",2676.5,347
32,T31,T31,Jason Day,75,"7' 9""",2084.25,270
33,T31,T31,Jason Dufner,76,"7' 9""",1852.0,238
34,T31,T31,Ernie Els,57,"7' 9""",1690.25,218
35,T31,T31,Gonzalo Fernandez-Castaño,81,"7' 9""",2820.25,362
36,T31,T31,Retief Goosen,81,"7' 9""",2817.917,362
37,T31,T31,Hideki Matsuyama,95,"7' 9""",2739.917,354
38,T31,T31,William McGirt,103,"7' 9""",4094.5,528
39,T31,T31,Bryce Molder,91,"7' 9""",3245.333,420
