,Sand_Saves_from_10-20_yards_RANK THIS WEEK,Sand_Saves_from_10-20_yards_RANK LAST WEEK,Sand_Saves_from_10-20_yards_PLAYER NAME,Sand_Saves_from_10-20_yards_ROUNDS,Sand_Saves_from_10-20_yards_%,Sand_Saves_from_10-20_yards_# OF SAVES,Sand_Saves_from_10-20_yards_# OF BUNKERS
0,1,1,Luke Donald,71,81.58,31,38
1,2,2,Louis Oosthuizen,68,75.0,30,40
2,3,3,Jason Day,75,73.81,31,42
3,4,4,Matt Kuchar,97,72.22,39,54
4,T5,T5,Jamie Donaldson,50,71.43,20,28
5,T5,T5,Lee Westwood,56,71.43,20,28
6,7,7,Kevin Na,98,70.37,38,54
7,8,8,Brendon Todd,96,70.31,45,64
8,9,9,K.J. Choi,66,68.75,33,48
9,10,10,Aaron Baddeley,76,67.24,39,58
10,11,11,Sean O'Hair,86,66.2,47,71
11,12,12,Chris Kirk,76,66.04,35,53
12,13,13,Ernie Els,57,65.52,19,29
13,14,14,David Toms,62,65.31,32,49
14,15,15,Zach Johnson,90,64.81,35,54
15,16,16,Sung Joon Park,79,64.71,33,51
16,17,17,Chad Collins,79,64.58,31,48
17,18,18,Justin Rose,69,64.44,29,45
18,T19,T19,Chad Campbell,97,64.06,41,64
19,T19,T19,Adam Hadwin,95,64.06,41,64
20,21,21,Charl Schwartzel,67,63.89,23,36
21,T22,T22,Brian Harman,90,63.51,47,74
22,T22,T22,Matt Jones,89,63.51,47,74
23,24,24,Hideki Matsuyama,95,63.46,33,52
24,25,25,Stewart Cink,77,63.04,29,46
25,T26,T26,Eric Axley,57,62.96,34,54
26,T26,T26,Keegan Bradley,87,62.96,34,54
27,T26,T26,Rory Sabbatini,81,62.96,34,54
28,T29,T29,Hunter Mahan,88,62.9,39,62
29,T29,T29,Cameron Tringale,96,62.9,39,62
30,31,31,Kyle Reifers,96,62.82,49,78
31,T32,T32,Steven Alker,62,62.79,27,43
32,T32,T32,Heath Slocum,57,62.79,27,43
33,T34,T34,Zac Blair,108,62.5,40,64
34,T34,T34,George McNeill,93,62.5,45,72
35,T34,T34,Phil Mickelson,70,62.5,40,64
36,37,37,Pat Perez,96,62.3,38,61
37,38,38,Danny Lee,120,62.2,51,82
38,39,39,Rickie Fowler,76,62.07,36,58
39,40,40,Roberto Castro,54,61.76,21,34
40,41,41,Webb Simpson,81,61.7,29,47
41,42,42,John Huh,102,61.25,49,80
42,43,43,Jon Curran,83,61.22,30,49
43,44,44,Brian Stuard,97,61.11,44,72
44,T45,T45,James Hahn,94,61.02,36,59
45,T45,T45,Michael Putnam,87,61.02,36,59
46,T47,T47,Scott Langley,94,60.87,42,69
47,T47,T47,Bill Lunde,50,60.87,14,23
48,T49,T49,Padraig Harrington,60,60.0,24,40
49,T49,T49,Francesco Molinari,56,60.0,15,25
50,51,51,Brandt Snedeker,98,59.74,46,77
51,52,52,John Senden,80,59.65,34,57
52,53,53,Vijay Singh,78,59.32,35,59
